ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
104,480,401320,6212,401320
104,480,402130,6212,402130
105,482,402940,6212,402940
105,482,403750,6212,403750
105,482,403910,6212,403910
106,490,404370,6212,404370
106,490,404370,6212,404370
106,490,404690,6212,404690
106,490,405160,6212,405160
107,492,405970,6212,405970
107,492,406340,6212,406340
107,492,406810,6212,406810
107,492,406810,6212,406810
107,492,406810,6212,406810
107,492,407130,6212,407130
107,492,407680,6212,407680
107,492,408490,6212,408490
107,492,409140,6212,409140
107,492,409950,6212,409950
107,492,410760,6212,410760
107,492,411080,6212,411080
107,492,411550,6212,411550
107,492,412020,6212,412020
108,500,412490,6212,412490
108,500,413300,6212,413300
108,500,414110,6212,414110
108,500,414160,6212,414160
108,500,414620,6212,414620
108,500,415090,6212,415090
108,500,415320,6212,415320
108,500,416130,6212,416130
108,500,416130,6212,416130
108,500,416130,6212,416130
108,500,416130,6212,416130
108,500,416780,6212,416780
108,500,417370,6212,417370
108,500,417420,6212,417420
108,500,417890,6212,417890
108,500,418210,6212,418210
108,500,419020,6212,419020
108,500,419340,6212,419340
108,500,419340,6212,419340
108,500,419810,6212,419810
109,508,420620,6212,420620
109,508,421080,6212,421080
109,508,421550,6212,421550
109,508,422200,6212,422200
109,508,423010,6212,423010
109,508,423480,6212,423480
109,508,423950,6212,423950
109,508,424760,6212,424760
109,508,424760,6212,424760
109,508,424760,6212,424760
109,508,425410,6212,425410
109,508,425520,6212,425520
109,508,425980,6212,425980
109,508,426210,6212,426210
110,510,426860,6212,426860
110,510,426860,6212,426860
110,510,427180,6212,427180
110,510,427830,6212,427830
111,518,428640,6212,428640
111,518,429110,6212,429110
111,518,429660,6212,429660
111,518,430310,6212,430310
111,518,430780,6212,430780
111,518,431590,6212,431590
111,518,432240,6212,432240
111,518,433050,6212,433050
111,518,433640,6212,433640
112,520,434290,6212,434290
112,520,434610,6212,434610
112,520,435080,6212,435080
112,520,435890,6212,435890
113,522,436700,6212,436700
113,522,437170,6212,437170
113,522,437490,6212,437490
113,522,437810,6212,437810
114,524,438620,6212,438620
114,524,438990,6212,438990
114,524,439460,6212,439460
114,524,440110,6212,440110
115,532,440570,6212,440570
115,532,441380,6212,441380
115,532,442190,6212,442190
115,532,442660,6212,442660
115,532,442880,6212,442880
115,532,442880,6212,442880
115,532,443690,6212,443690
115,532,444170,6212,444170
115,532,444980,6212,444980
115,532,445790,6212,445790
