ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
376,836,689610,6212,689610
376,836,690200,6212,690200
376,836,690200,6212,690200
376,836,690430,6212,690430
377,838,691430,6212,691430
377,838,691890,6212,691890
378,840,692890,6212,692890
378,840,692890,6212,692890
378,840,693890,6212,693890
378,840,694260,6212,694260
379,842,695260,6212,695260
379,842,696070,6212,696070
380,844,697070,6212,697070
380,844,698070,6212,698070
381,846,699070,6212,699070
381,846,699540,6212,699540
382,848,700540,6212,700540
382,848,701540,6212,701540
383,850,702540,6212,702540
383,850,703540,6212,703540
384,852,704540,6212,704540
384,852,705540,6212,705540
384,852,705540,6212,705540
384,852,706000,6212,706000
385,854,707000,6212,707000
385,854,707000,6212,707000
385,854,708000,6212,708000
386,856,709000,6212,709000
386,856,709000,6212,709000
386,856,709000,6212,709000
386,856,710000,6212,710000
386,856,710000,6212,710000
387,858,711000,6212,711000
387,858,711000,6212,711000
387,858,711160,6212,711160
387,858,712160,6212,712160
388,860,712970,6212,712970
388,860,713970,6212,713970
388,860,713970,6212,713970
389,862,714970,6212,714970
