ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
881770.4,14.55,0.93,192543.77,3.18
882452.59,14.57,0.95,192614.69,3.18
882504.52,14.57,0.95,192670.78,3.18
882556.46,14.57,0.95,192687.86,3.18
882420.25,14.57,0.95,192642.17,3.18
882472.18,14.58,0.96,192765.14,3.18
882335.98,14.58,0.96,192745.8,3.18
882387.91,14.58,0.96,192447.52,3.18
882439.84,14.58,0.96,192447.64,3.18
882303.64,14.58,0.96,192447.38,3.18
882355.57,14.58,0.96,192447.38,3.18
882623.7,14.59,0.97,192436.88,3.18
882675.63,14.59,0.97,192559.85,3.18
882675.63,14.59,0.97,192559.59,3.18
882727.56,14.6,0.97,192743.95,3.19
882995.69,14.6,0.98,193177.2,3.19
882859.48,14.6,0.98,193131.5,3.19
882911.42,14.6,0.98,193254.48,3.2
883132.74,14.61,0.99,193461.17,3.2
883304.55,14.61,0.99,193460.91,3.2
883632.14,14.62,1.0,193460.65,3.2
883684.07,14.62,1.0,193460.76,3.2
883684.07,14.62,1.0,193465.15,3.2
883684.07,14.62,1.0,193657.58,3.2
883547.86,14.62,1.0,193566.45,3.2
883845.72,14.63,1.01,193566.84,3.2
883897.66,14.63,1.01,193569.26,3.2
883897.66,14.63,1.01,193438.84,3.2
884069.47,14.63,1.01,193519.42,3.2
884337.59,14.64,1.02,193519.15,3.2
884558.92,14.64,1.02,193547.23,3.2
884610.85,14.65,1.03,193547.35,3.2
884662.78,14.65,1.03,193547.46,3.21
884934.78,14.66,1.04,193407.31,3.2
884934.78,14.66,1.04,193407.31,3.2
884798.57,14.66,1.04,193407.31,3.2
884970.38,14.66,1.04,193483.9,3.21
885191.7,14.66,1.04,193515.67,3.21
885243.64,14.67,1.05,193566.85,3.21
885295.57,14.67,1.05,193566.96,3.21
885145.98,14.67,1.05,193404.77,3.21
885414.11,14.67,1.05,193404.77,3.21
885277.91,14.67,1.05,193404.51,3.21
885505.97,14.68,1.06,193404.25,3.21
885774.1,14.68,1.06,193406.61,3.21
885995.42,14.69,1.07,193438.38,3.21
886047.35,14.69,1.07,193438.5,3.21
886313.7,14.7,1.08,193195.0,3.2
886177.5,14.7,1.08,193194.74,3.2
886229.43,14.7,1.08,193194.86,3.2
886093.22,14.7,1.08,193064.44,3.2
886145.16,14.7,1.08,193187.41,3.21
886197.09,14.71,1.09,193187.41,3.21
886060.88,14.71,1.09,193445.07,3.21
886060.88,14.71,1.09,193444.81,3.21
886060.88,14.71,1.09,193444.81,3.21
886282.2,14.71,1.09,193445.31,3.21
886503.53,14.72,1.1,193477.09,3.21
886675.34,14.72,1.1,193476.83,3.21
886727.27,14.72,1.1,193547.95,3.21
886779.2,14.73,1.11,193548.07,3.21
886831.13,14.73,1.11,193671.04,3.22
888519.25,14.76,1.14,194747.9,3.23
888681.97,14.76,1.14,194748.34,3.23
888681.97,14.76,1.14,194664.18,3.23
888903.29,14.77,1.15,194663.92,3.23
888767.09,14.77,1.15,194663.66,3.23
888630.88,14.77,1.15,194663.4,3.23
888952.53,14.77,1.15,194653.31,3.23
889004.46,14.78,1.16,194653.43,3.24
889273.9,14.78,1.16,194653.17,3.24
889273.9,14.78,1.16,194569.01,3.23
889273.9,14.78,1.16,194517.23,3.23
889325.83,14.78,1.16,194640.2,3.24
888880.19,14.78,1.16,194218.43,3.23
888932.13,14.78,1.16,194218.55,3.23
888984.06,14.78,1.16,194341.52,3.23
889035.99,14.79,1.17,194341.52,3.23
888899.79,14.79,1.17,194319.51,3.23
889121.11,14.79,1.17,194453.75,3.24
888984.9,14.79,1.17,194453.05,3.24
888984.9,14.79,1.17,194453.05,3.24
889253.03,14.8,1.18,194453.05,3.24
889253.03,14.8,1.18,194451.73,3.24
889574.67,14.8,1.18,194441.65,3.24
889902.26,14.81,1.19,194414.01,3.24
890064.98,14.81,1.19,194413.75,3.24
889928.78,14.81,1.19,194413.49,3.24
890196.9,14.82,1.2,194395.29,3.24
890196.9,14.82,1.2,194264.87,3.23
890196.9,14.82,1.2,194264.61,3.23
890248.84,14.82,1.2,194264.61,3.23
890503.89,14.83,1.21,195006.63,3.25
890725.21,14.83,1.21,195038.41,3.25
890980.27,14.84,1.22,195038.92,3.25
891235.33,14.84,1.22,195104.28,3.25
891287.26,14.85,1.23,195227.26,3.25
891343.06,14.85,1.23,194869.09,3.25
891394.99,14.85,1.23,194869.2,3.25
891258.79,14.85,1.23,194800.17,3.25
891310.72,14.85,1.23,194923.14,3.25
891482.53,14.86,1.24,194922.88,3.25
891702.81,14.86,1.24,194922.88,3.25
891702.81,14.86,1.24,194922.88,3.25
891754.74,14.87,1.25,194923.0,3.25
891982.81,14.87,1.25,194907.03,3.25
892034.74,14.88,1.25,194907.14,3.25
895489.92,14.93,1.31,198128.45,3.3
895541.85,14.94,1.32,198128.57,3.3
895713.66,14.94,1.32,198128.3,3.3
895981.79,14.95,1.32,198128.04,3.3
896303.43,14.95,1.33,198332.38,3.31
896558.49,14.96,1.34,198332.12,3.31
896721.21,14.96,1.34,198202.61,3.31
896949.27,14.96,1.34,198202.35,3.31
897163.85,14.97,1.35,198202.72,3.31
897027.64,14.97,1.35,198202.46,3.31
897027.64,14.97,1.35,198202.46,3.31
897349.29,14.98,1.36,198202.2,3.31
897349.29,14.98,1.36,198211.89,3.31
897570.61,14.98,1.36,198211.63,3.31
897622.54,14.98,1.36,198211.74,3.31
897674.47,14.99,1.37,198437.18,3.31
897895.79,14.99,1.37,198436.91,3.31
897895.79,14.99,1.37,198306.5,3.31
898123.86,15.0,1.38,198290.53,3.31
898345.18,15.0,1.38,198919.63,3.32
898613.31,15.01,1.39,199769.88,3.34
898834.63,15.01,1.39,199801.66,3.34
899006.44,15.02,1.4,199801.4,3.34
898870.23,15.02,1.4,199801.14,3.34
898734.03,15.02,1.4,199800.88,3.34
898905.84,15.02,1.4,199800.61,3.34
899127.16,15.03,1.41,199832.39,3.34
899355.23,15.03,1.41,199812.45,3.34
899527.04,15.04,1.41,200116.02,3.34
899748.36,15.04,1.42,200115.76,3.35
899804.16,15.04,1.42,199757.59,3.34
899682.66,15.04,1.42,199645.21,3.34
900296.32,15.06,1.43,199759.0,3.34
901071.15,15.07,1.45,200081.42,3.35
901071.15,15.07,1.45,200081.16,3.35
900934.94,15.07,1.45,200080.9,3.35
901203.07,15.08,1.45,200080.9,3.35
901417.65,15.08,1.46,200240.55,3.35
901469.58,15.08,1.46,200240.66,3.35
901525.38,15.09,1.47,199882.49,3.34
901746.7,15.09,1.47,199914.27,3.35
901746.7,15.09,1.47,200079.61,3.35
901746.7,15.09,1.47,199826.22,3.34
901798.63,15.09,1.47,199826.33,3.34
902019.95,15.1,1.48,199826.33,3.34
902019.95,15.1,1.48,199695.91,3.34
902182.67,15.1,1.48,199695.91,3.34
902234.6,15.1,1.48,199818.89,3.35
902406.42,15.11,1.49,199818.63,3.35
902274.08,15.11,1.49,199176.54,3.34
902137.87,15.11,1.49,199176.28,3.34
902359.2,15.11,1.49,199176.28,3.34
902580.52,15.12,1.5,199176.02,3.34
902580.52,15.12,1.5,199175.76,3.34
902632.45,15.12,1.5,199175.88,3.34
902684.38,15.13,1.5,199175.99,3.34
902684.38,15.13,1.5,199180.38,3.34
902548.17,15.13,1.51,199134.69,3.34
902600.11,15.13,1.51,199148.03,3.34
902927.7,15.13,1.51,199120.39,3.34
903149.02,15.14,1.52,199152.16,3.34
903200.95,15.14,1.52,199342.85,3.34
903522.59,15.15,1.53,199342.59,3.34
903743.91,15.15,1.53,199342.33,3.34
903607.71,15.15,1.53,199341.95,3.34
903770.43,15.16,1.54,199341.95,3.34
903634.22,15.16,1.54,199341.69,3.34
903806.03,15.16,1.54,199342.35,3.34
903857.96,15.16,1.54,199342.46,3.34
904282.63,15.17,1.55,199086.62,3.34
904334.56,15.18,1.56,199086.62,3.34
904555.89,15.18,1.56,199086.36,3.34
904555.89,15.18,1.56,199088.07,3.34
904607.82,15.18,1.56,199211.05,3.34
904471.61,15.18,1.56,199191.71,3.34
904699.68,15.19,1.57,199191.71,3.34
904927.75,15.19,1.57,199175.74,3.34
904927.75,15.19,1.57,199185.42,3.34
905163.77,15.2,1.58,199085.91,3.34
905027.56,15.2,1.58,199085.65,3.34
905027.56,15.2,1.58,199085.39,3.34
905083.37,15.2,1.58,198727.22,3.34
905135.3,15.21,1.58,198850.19,3.34
905307.11,15.21,1.59,198849.93,3.34
905170.9,15.21,1.59,198815.54,3.34
905034.7,15.21,1.59,198769.85,3.34
905256.02,15.22,1.59,198769.59,3.34
905307.95,15.22,1.6,198769.59,3.34
905359.88,15.22,1.6,198769.7,3.34
906134.71,15.24,1.61,199092.12,3.35
906356.04,15.24,1.62,199045.06,3.35
905780.5,15.23,1.61,198358.13,3.34
906042.68,15.24,1.62,198358.5,3.34
905906.47,15.24,1.62,198359.54,3.34
905829.47,15.24,1.62,198185.75,3.33
905693.27,15.24,1.62,198185.49,3.33
905557.06,15.24,1.62,198166.15,3.34
905608.99,15.24,1.62,198289.12,3.34
905608.99,15.24,1.62,198293.51,3.34
905780.8,15.25,1.63,198374.08,3.34
905952.61,15.25,1.63,198373.82,3.34
906532.0,15.26,1.64,198750.15,3.35
906756.15,15.27,1.65,198244.32,3.34
906918.87,15.27,1.65,198244.06,3.34
907187.0,15.28,1.66,198243.8,3.34
907050.79,15.28,1.66,198337.52,3.34
906914.59,15.28,1.66,198337.26,3.34
906966.52,15.28,1.66,198107.75,3.34
907187.84,15.28,1.66,198107.49,3.34
907239.77,15.29,1.67,198226.01,3.34
907103.57,15.29,1.67,198095.59,3.34
907159.37,15.29,1.67,197737.42,3.33
907696.93,15.3,1.68,197886.65,3.34
907696.93,15.3,1.68,197756.23,3.33
907773.63,15.3,1.68,197391.1,3.33
907773.63,15.3,1.68,197391.1,3.33
907994.95,15.31,1.69,197871.68,3.34
908166.76,15.31,1.69,197871.42,3.34
908368.62,15.32,1.7,197871.87,3.34
908368.62,15.32,1.7,197871.61,3.34
908589.94,15.32,1.7,198234.87,3.34
908770.45,15.33,1.71,198284.66,3.34
908770.45,15.33,1.71,198284.4,3.34
908634.25,15.33,1.71,198283.69,3.34
908902.38,15.33,1.71,198284.64,3.34
908954.31,15.33,1.71,198407.61,3.35
909182.38,15.34,1.72,198407.35,3.35
909234.31,15.34,1.72,198484.89,3.35
909234.31,15.34,1.72,198489.28,3.35
909555.95,15.35,1.73,198479.2,3.35
909555.95,15.35,1.73,198478.94,3.35
909419.75,15.35,1.73,198478.94,3.35
909641.07,15.35,1.73,198478.56,3.35
909862.39,15.36,1.74,198478.56,3.35
909914.32,15.36,1.74,198549.68,3.35
910134.6,15.37,1.75,198549.42,3.35
910355.92,15.37,1.75,198549.16,3.35
910219.71,15.37,1.75,198549.16,3.35
910541.36,15.38,1.76,198548.9,3.35
910806.78,15.38,1.76,197939.19,3.34
910670.57,15.38,1.76,197939.19,3.34
910534.36,15.38,1.76,197939.19,3.34
910398.16,15.38,1.76,197938.93,3.34
910450.09,15.39,1.77,198061.9,3.35
910450.09,15.39,1.77,198066.29,3.35
910313.89,15.39,1.77,197935.87,3.35
910535.21,15.39,1.77,197936.05,3.35
910803.34,15.4,1.78,198595.88,3.36
910667.13,15.4,1.78,199320.39,3.37
910935.26,15.4,1.78,199465.81,3.37
911190.31,15.41,1.79,199531.17,3.37
911190.31,15.41,1.79,199400.75,3.37
911411.64,15.41,1.79,199400.38,3.37
911733.28,15.42,1.8,199390.3,3.37
911954.6,15.43,1.8,199390.04,3.37
911954.6,15.43,1.8,199390.04,3.37
912006.53,15.43,1.81,199390.15,3.37
912006.53,15.43,1.81,199390.15,3.37
912328.17,15.43,1.81,199390.15,3.37
912549.5,15.44,1.82,199389.89,3.37
912770.82,15.44,1.82,199421.67,3.37
912822.75,15.45,1.83,199421.78,3.37
913089.1,15.45,1.83,199155.34,3.37
913141.03,15.46,1.84,199278.32,3.37
913192.96,15.46,1.84,199598.05,3.38
913192.96,15.46,1.84,199597.79,3.38
913192.96,15.46,1.84,199597.53,3.38
913514.6,15.47,1.85,199597.27,3.38
913378.4,15.47,1.85,199597.0,3.38
913242.19,15.47,1.85,199577.67,3.38
913045.8,15.47,1.84,199209.9,3.37
913267.12,15.47,1.85,199209.64,3.37
913130.92,15.47,1.85,199179.79,3.37
912994.71,15.47,1.85,199179.52,3.38
912858.51,15.47,1.85,199178.87,3.38
913094.53,15.48,1.86,199079.36,3.37
913315.85,15.48,1.86,199090.2,3.37
913315.85,15.48,1.86,199090.2,3.37
913371.65,15.48,1.86,198732.03,3.37
913235.45,15.48,1.86,198732.03,3.37
913287.38,15.49,1.87,198855.0,3.37
913151.18,15.49,1.87,198776.55,3.37
913322.99,15.49,1.87,199269.82,3.38
913544.31,15.5,1.88,199269.56,3.38
913865.95,15.5,1.88,199269.56,3.38
913716.37,15.5,1.88,199107.37,3.38
913639.0,15.5,1.88,199426.35,3.38
913690.93,15.5,1.88,199426.35,3.38
913742.86,15.51,1.89,199426.46,3.38
913964.18,15.51,1.89,199426.46,3.38
914219.24,15.52,1.9,199491.82,3.39
914083.03,15.52,1.9,199491.82,3.39
914254.85,15.52,1.9,199572.4,3.39
914254.85,15.52,1.9,199441.98,3.39
914118.64,15.52,1.9,199311.56,3.38
913982.44,15.52,1.9,199292.22,3.38
913846.23,15.52,1.9,199291.96,3.39
914114.36,15.53,1.91,199253.72,3.39
914369.41,15.54,1.91,199253.72,3.39
914369.41,15.54,1.91,199253.72,3.39
914421.35,15.54,1.92,199253.84,3.39
914689.48,15.54,1.92,199253.46,3.39
914910.8,15.55,1.93,199253.46,3.39
915132.12,15.55,1.93,199503.99,3.39
