ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
455,2227,413020,6212,413020
456,2235,413240,6212,413240
457,2243,413240,6212,413240
458,2245,414240,6212,414240
459,2253,422240,6212,422240
459,2253,423240,6212,423240
460,2255,424050,6212,424050
460,2255,424050,6212,424050
461,2263,425050,6212,425050
462,2265,426050,6212,426050
463,2273,426270,6212,426270
464,2275,426920,6212,426920
464,2275,427920,6212,427920
464,2275,428920,6212,428920
464,2275,429920,6212,429920
465,2277,430570,6212,430570
466,2285,431380,6212,431380
467,2293,432380,6212,432380
468,2295,433030,6212,433030
469,2303,433500,6212,433500
469,2303,433500,6212,433500
470,2311,434310,6212,434310
471,2319,434780,6212,434780
471,2319,435250,6212,435250
471,2319,435720,6212,435720
471,2319,436190,6212,436190
472,2327,437000,6212,437000
473,2335,438000,6212,438000
474,2337,438320,6212,438320
475,2339,439320,6212,439320
476,2341,440130,6212,440130
476,2341,440600,6212,440600
477,2343,441600,6212,441600
477,2343,441920,6212,441920
478,2351,442730,6212,442730
479,2359,442890,6212,442890
480,2367,443890,6212,443890
481,2369,444540,6212,444540
481,2369,444540,6212,444540
481,2369,445540,6212,445540
482,2377,446010,6212,446010
