ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
124,366,304550,6212,304550
124,366,305550,6212,305550
124,366,305550,6212,305550
124,366,306550,6212,306550
124,366,306550,6212,306550
124,366,307550,6212,307550
124,366,308550,6212,308550
124,366,308550,6212,308550
124,366,309550,6212,309550
124,366,309780,6212,309780
124,366,310780,6212,310780
125,374,311780,6212,311780
125,374,311780,6212,311780
125,374,311780,6212,311780
125,374,312240,6212,312240
125,374,313240,6212,313240
125,374,314050,6212,314050
125,374,314050,6212,314050
125,374,315050,6212,315050
125,374,315270,6212,315270
125,374,316270,6212,316270
125,374,317080,6212,317080
125,374,318080,6212,318080
125,374,318540,6212,318540
125,374,319350,6212,319350
125,374,320160,6212,320160
125,374,320810,6212,320810
126,382,321810,6212,321810
126,382,322040,6212,322040
126,382,323040,6212,323040
126,382,324040,6212,324040
126,382,325040,6212,325040
126,382,326040,6212,326040
126,382,326510,6212,326510
126,382,326980,6212,326980
126,382,327980,6212,327980
126,382,328980,6212,328980
126,382,329980,6212,329980
126,382,330980,6212,330980
126,382,331300,6212,331300
127,390,332300,6212,332300
127,390,333110,6212,333110
127,390,333920,6212,333920
127,390,334920,6212,334920
127,390,335920,6212,335920
127,390,336920,6212,336920
127,390,337730,6212,337730
127,390,338540,6212,338540
128,398,339540,6212,339540
128,398,340010,6212,340010
128,398,341010,6212,341010
128,398,341010,6212,341010
128,398,341010,6212,341010
128,398,342010,6212,342010
128,398,342010,6212,342010
128,398,343010,6212,343010
128,398,343010,6212,343010
128,398,343820,6212,343820
128,398,344820,6212,344820
128,398,345050,6212,345050
128,398,346050,6212,346050
129,406,346860,6212,346860
129,406,347670,6212,347670
129,406,347670,6212,347670
129,406,348670,6212,348670
129,406,349020,6212,349020
129,406,350020,6212,350020
129,406,351020,6212,351020
129,406,351020,6212,351020
129,406,351340,6212,351340
129,406,352340,6212,352340
130,414,353340,6212,353340
130,414,353340,6212,353340
130,414,354340,6212,354340
130,414,355340,6212,355340
130,414,356150,6212,356150
130,414,357150,6212,357150
130,414,357150,6212,357150
130,414,358150,6212,358150
130,414,359150,6212,359150
130,414,360150,6212,360150
130,414,360620,6212,360620
130,414,361620,6212,361620
130,414,362620,6212,362620
131,422,363430,6212,363430
131,422,364240,6212,364240
131,422,365240,6212,365240
131,422,365240,6212,365240
131,422,365240,6212,365240
131,422,366240,6212,366240
131,422,366470,6212,366470
131,422,367470,6212,367470
131,422,368470,6212,368470
131,422,369280,6212,369280
131,422,369930,6212,369930
131,422,369930,6212,369930
132,426,370930,6212,370930
132,426,371930,6212,371930
132,426,372390,6212,372390
132,426,373200,6212,373200
132,426,374200,6212,374200
133,428,375200,6212,375200
133,428,376200,6212,376200
134,430,377200,6212,377200
135,434,378010,6212,378010
135,434,378010,6212,378010
135,434,379010,6212,379010
135,434,380010,6212,380010
136,436,381010,6212,381010
136,436,381480,6212,381480
137,438,382480,6212,382480
137,438,383480,6212,383480
137,438,383480,6212,383480
137,438,384480,6212,384480
137,438,385290,6212,385290
137,438,385520,6212,385520
138,440,386520,6212,386520
138,440,387520,6212,387520
139,442,388520,6212,388520
