ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
747948.0,12.49,0.91,435859.89,7.28
748142.74,12.49,0.91,435799.11,7.28
748142.74,12.49,0.91,435799.11,7.28
748016.42,12.49,0.91,436163.67,7.28
747742.74,12.49,0.91,435956.56,7.28
747531.16,12.49,0.91,435654.73,7.28
747133.68,12.48,0.91,435246.96,7.27
746965.26,12.48,0.9,434615.67,7.26
746902.63,12.48,0.91,434439.49,7.26
746755.26,12.48,0.91,434447.29,7.26
746618.42,12.48,0.9,433947.06,7.26
746492.11,12.48,0.9,433840.41,7.26
746513.68,12.49,0.91,433405.65,7.25
746513.68,12.49,0.91,433405.65,7.25
746451.05,12.49,0.91,433222.94,7.25
745861.05,12.48,0.9,432632.94,7.24
746250.53,12.49,0.91,433088.06,7.25
746082.11,12.48,0.91,432456.77,7.24
746082.11,12.48,0.91,432456.77,7.24
746082.11,12.48,0.91,432456.77,7.24
745755.26,12.48,0.9,432111.18,7.23
745692.63,12.48,0.9,431935.01,7.23
745692.63,12.48,0.9,431935.01,7.23
745524.21,12.48,0.9,431303.71,7.22
745960.53,12.49,0.91,431602.17,7.23
745834.21,12.49,0.91,431532.99,7.23
745686.84,12.49,0.91,431395.05,7.22
745560.53,12.49,0.91,431326.07,7.22
745560.53,12.49,0.91,431326.07,7.22
745321.58,12.48,0.9,431111.44,7.22
745631.68,12.49,0.91,431372.57,7.23
745505.37,12.49,0.91,431303.38,7.23
745505.37,12.49,0.91,431303.38,7.23
745689.58,12.49,0.92,431456.5,7.23
745711.16,12.5,0.92,431021.74,7.22
744784.84,12.5,0.92,430691.12,7.23
744658.53,12.5,0.92,430584.7,7.23
744405.89,12.5,0.92,430212.0,7.22
744258.53,12.5,0.92,430111.3,7.22
744453.26,12.5,0.92,430033.97,7.22
744326.95,12.5,0.92,429860.09,7.22
743929.47,12.49,0.92,429520.83,7.21
743761.05,12.49,0.91,428889.54,7.2
743508.42,12.49,0.91,428523.36,7.2
743361.05,12.49,0.91,428490.12,7.2
743234.74,12.49,0.91,428420.94,7.2
743087.37,12.49,0.91,428283.0,7.2
742875.79,12.49,0.91,428111.95,7.2
742749.47,12.49,0.91,428005.53,7.2
742581.05,12.49,0.91,427374.24,7.19
742518.42,12.49,0.91,427198.06,7.18
742592.63,12.49,0.91,427762.67,7.19
742902.74,12.5,0.92,428062.5,7.2
742776.42,12.5,0.92,427886.96,7.2
742629.05,12.5,0.92,427855.38,7.2
742502.74,12.5,0.92,427786.4,7.2
742355.37,12.5,0.92,427648.27,7.2
742355.37,12.5,0.92,427648.27,7.2
742665.89,12.5,0.92,427243.29,7.19
742268.42,12.5,0.92,426902.77,7.19
742463.16,12.5,0.92,426831.22,7.19
742463.16,12.5,0.92,426831.22,7.19
742336.84,12.5,0.92,426762.04,7.19
742189.47,12.5,0.92,426624.11,7.19
742211.05,12.5,0.92,426189.34,7.18
742460.53,12.51,0.93,426308.74,7.18
742334.21,12.51,0.93,426992.77,7.19
742165.79,12.51,0.93,426361.48,7.19
741913.16,12.5,0.93,425995.3,7.18
741934.74,12.51,0.93,425560.54,7.17
741682.11,12.5,0.93,425187.84,7.17
740671.58,12.5,0.93,424770.43,7.17
740693.16,12.51,0.93,424335.66,7.16
740440.53,12.5,0.93,423962.96,7.16
740719.47,12.51,0.93,424228.73,7.16
740593.16,12.51,0.93,424122.08,7.16
740445.79,12.51,0.93,424021.61,7.16
740766.42,12.52,0.94,423848.56,7.16
740598.0,12.52,0.94,423229.33,7.15
740535.37,12.52,0.94,423041.09,7.15
740730.11,12.52,0.94,422875.45,7.15
740603.79,12.52,0.94,422806.47,7.15
740456.42,12.52,0.94,422668.34,7.15
740330.11,12.52,0.94,422561.68,7.15
740161.68,12.52,0.94,421930.39,7.14
1081024.32,18.29,0.39,180804.22,3.06
1080845.37,18.29,0.39,180800.33,3.06
1080655.89,18.29,0.39,180256.2,3.05
1080466.42,18.29,0.39,180097.67,3.05
1080052.21,18.28,0.39,179659.84,3.04
1079873.26,18.28,0.39,179657.78,3.04
1079873.26,18.28,0.39,179657.78,3.04
1079694.32,18.28,0.39,180249.68,3.05
1079694.32,18.28,0.39,180249.68,3.05
1079515.37,18.28,0.39,179978.09,3.05
1079336.42,18.28,0.39,179878.28,3.05
1079336.42,18.28,0.39,179878.28,3.05
1079168.0,18.28,0.39,179335.38,3.04
1078952.74,18.28,0.39,179015.57,3.03
1078746.95,18.28,0.39,178848.11,3.03
1078568.0,18.28,0.39,178842.16,3.03
1078568.0,18.28,0.39,178842.16,3.03
1078568.0,18.28,0.39,178842.16,3.03
1078872.21,18.29,0.39,178920.14,3.03
1078693.26,18.29,0.39,178843.42,3.03
1078714.84,18.29,0.39,178683.52,3.03
1078714.84,18.29,0.39,178683.52,3.03
1078525.37,18.29,0.39,178498.56,3.03
1078319.58,18.29,0.39,178298.77,3.02
1078140.63,18.29,0.39,178297.51,3.02
1078172.74,18.29,0.4,178980.68,3.04
1077993.79,18.29,0.4,179307.45,3.04
1077590.63,18.28,0.39,179382.5,3.04
1077591.16,18.29,0.39,179076.01,3.04
1077591.68,18.29,0.39,179048.83,3.04
1077748.0,18.29,0.4,178899.29,3.04
1077569.05,18.29,0.4,178899.29,3.04
1077353.79,18.29,0.4,178785.95,3.04
1077185.37,18.29,0.4,179093.11,3.04
1076995.89,18.29,0.4,178847.01,3.04
1076816.95,18.29,0.4,178847.01,3.04
1076638.0,18.29,0.4,178850.15,3.04
1076933.26,18.3,0.4,178847.01,3.04
1076519.05,18.29,0.4,178847.01,3.04
1076340.11,18.29,0.4,178887.75,3.04
1076161.16,18.29,0.4,178856.59,3.04
1075982.21,18.29,0.4,178847.01,3.04
1075803.26,18.29,0.4,178907.01,3.04
1075498.0,18.29,0.39,178681.85,3.04
1075319.05,18.29,0.39,178681.85,3.04
1075330.11,18.29,0.4,178681.85,3.04
1075341.16,18.29,0.4,178681.85,3.04
1075162.21,18.29,0.4,178683.88,3.04
1074983.26,18.29,0.4,178682.71,3.04
1074804.32,18.29,0.4,178681.85,3.04
1074815.37,18.3,0.4,178681.85,3.04
1074826.42,18.3,0.4,179441.85,3.06
1074647.47,18.3,0.41,179437.96,3.06
1074942.74,18.31,0.41,179435.9,3.06
1074763.79,18.31,0.41,179526.76,3.06
1074763.79,18.31,0.41,179526.76,3.06
1074763.79,18.31,0.41,179526.76,3.06
1074584.84,18.31,0.41,179471.52,3.06
1074584.84,18.31,0.41,179471.52,3.06
1074405.89,18.31,0.41,179452.33,3.06
1074405.89,18.31,0.41,179452.33,3.06
1074416.95,18.31,0.41,179435.9,3.06
1074238.0,18.31,0.41,180091.63,3.07
1074026.95,18.31,0.41,179883.51,3.07
1073848.0,18.31,0.41,179788.62,3.06
1073859.05,18.31,0.41,179784.48,3.07
1073870.11,18.31,0.42,179782.66,3.07
1073870.11,18.31,0.42,179782.66,3.07
1073691.16,18.31,0.42,179782.66,3.07
1073355.89,18.31,0.41,182393.7,3.11
1073176.95,18.31,0.41,182545.1,3.11
1072998.0,18.31,0.41,182593.91,3.12
1072998.0,18.31,0.41,182593.91,3.12
1072694.74,18.3,0.41,182281.18,3.11
1072515.79,18.3,0.41,182231.28,3.11
1072336.84,18.3,0.41,182225.33,3.11
1072336.84,18.3,0.41,182225.33,3.11
1072157.89,18.3,0.41,182225.33,3.11
1071978.95,18.3,0.41,182640.39,3.12
1071990.0,18.31,0.41,182645.01,3.12
1071811.05,18.31,0.41,182751.39,3.12
1071811.05,18.31,0.41,182751.39,3.12
1071632.11,18.31,0.41,182663.69,3.12
1071453.16,18.31,0.41,182645.01,3.12
1071274.21,18.31,0.41,182914.68,3.13
1070860.0,18.3,0.41,182603.84,3.12
1070681.05,18.3,0.41,182475.86,3.12
1070502.11,18.3,0.41,182334.17,3.12
1070513.16,18.3,0.41,182330.03,3.12
1070524.21,18.31,0.41,182328.22,3.12
