ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1779251.18,29.63,1.11,182209.83,3.03
1778800.94,29.62,1.11,181850.08,3.03
1778800.94,29.62,1.11,181850.08,3.03
1778877.89,29.63,1.11,181678.2,3.03
1778954.85,29.64,1.12,181485.95,3.02
1778978.04,29.64,1.12,181514.04,3.02
1778419.49,29.64,1.12,181805.22,3.03
1779081.33,29.65,1.13,182500.48,3.04
1778524.53,29.64,1.13,181968.94,3.03
1778524.53,29.64,1.13,181968.94,3.03
1778256.36,29.64,1.13,181969.38,3.03
1777525.28,29.64,1.12,181275.03,3.02
1776984.21,29.63,1.12,180770.68,3.01
1776912.17,29.64,1.12,181574.43,3.03
1777003.84,29.64,1.13,181373.74,3.03
1777333.99,29.65,1.14,181459.94,3.03
1776762.46,29.65,1.13,180936.83,3.02
1776538.28,29.65,1.13,180805.88,3.02
1775997.2,29.64,1.13,180301.53,3.01
1776056.08,29.65,1.13,180064.17,3.01
1776147.75,29.65,1.14,179863.48,3.0
1776147.75,29.65,1.14,179863.48,3.0
1776224.7,29.66,1.15,179671.23,3.0
1777403.38,29.68,1.17,180315.36,3.01
1777403.38,29.68,1.17,180315.36,3.01
1777104.99,29.68,1.17,180245.18,3.01
1776592.14,29.68,1.17,179591.02,3.0
1776600.62,29.68,1.17,179647.91,3.0
1777246.43,29.7,1.18,180763.15,3.02
1776499.63,29.69,1.18,180041.6,3.01
1776470.55,29.69,1.18,180199.56,3.01
1776985.72,29.71,1.19,180327.77,3.01
1776685.79,29.71,1.19,180322.47,3.02
1776400.7,29.71,1.19,179839.4,3.01
1775860.6,29.7,1.19,179351.32,3.0
1775860.6,29.7,1.19,179351.32,3.0
1775212.77,29.7,1.18,178717.22,2.99
1774891.7,29.69,1.18,178432.87,2.99
1775199.04,29.7,1.19,178493.14,2.99
1774467.97,29.69,1.18,177798.79,2.98
1774467.97,29.69,1.18,177798.79,2.98
1774467.97,29.69,1.18,177798.79,2.98
1774738.21,29.7,1.19,177933.38,2.98
1774197.14,29.69,1.18,177429.03,2.97
1774197.14,29.69,1.18,177429.03,2.97
1773466.07,29.69,1.18,176734.68,2.96
1773888.95,29.7,1.18,178112.96,2.98
1773603.86,29.7,1.18,178165.0,2.98
1773998.44,29.71,1.2,178359.25,2.99
1773713.35,29.71,1.2,178410.85,2.99
1773713.35,29.71,1.2,178410.85,2.99
1774043.63,29.71,1.2,178949.15,3.0
1774230.74,29.72,1.21,178856.33,3.0
1774625.32,29.73,1.22,179051.03,3.0
1774625.32,29.73,1.22,179051.03,3.0
1774652.66,29.74,1.22,179042.81,3.0
1774623.58,29.74,1.23,179449.44,3.01
1772268.52,29.74,1.23,179398.9,3.01
1771968.58,29.74,1.23,179649.05,3.02
1771670.19,29.74,1.23,179637.17,3.02
1771598.15,29.74,1.23,180440.92,3.03
1771623.94,29.75,1.24,180693.05,3.03
1771275.72,29.75,1.24,180551.35,3.03
1772126.89,29.76,1.25,180615.29,3.03
1771463.11,29.76,1.25,179808.4,3.02
