ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
86,314,235830,6212,235830
87,316,236300,6212,236300
87,316,237110,6212,237110
87,316,237110,6212,237110
87,316,238110,6212,238110
87,316,238340,6212,238340
87,316,239340,6212,239340
87,316,240340,6212,240340
88,320,241340,6212,241340
88,320,241340,6212,241340
88,320,241660,6212,241660
89,322,242130,6212,242130
90,326,243130,6212,243130
90,326,243130,6212,243130
91,328,243780,6212,243780
91,328,244590,6212,244590
92,336,252590,6212,252590
92,336,253590,6212,253590
92,336,254590,6212,254590
93,340,255590,6212,255590
94,344,256240,6212,256240
94,344,257240,6212,257240
94,344,257710,6212,257710
94,344,258710,6212,258710
94,344,259710,6212,259710
94,344,260710,6212,260710
95,348,261710,6212,261710
96,350,262710,6212,262710
96,350,262940,6212,262940
97,358,263940,6212,263940
97,358,264940,6212,264940
97,358,265750,6212,265750
97,358,266560,6212,266560
97,358,267030,6212,267030
97,358,268030,6212,268030
97,358,269030,6212,269030
98,362,270030,6212,270030
99,364,271030,6212,271030
99,364,271030,6212,271030
99,364,271580,6212,271580
99,364,272050,6212,272050
99,364,272700,6212,272700
99,364,272700,6212,272700
99,364,273700,6212,273700
100,368,274700,6212,274700
100,368,275510,6212,275510
100,368,275980,6212,275980
100,368,276980,6212,276980
100,368,277980,6212,277980
101,376,278980,6212,278980
101,376,279790,6212,279790
101,376,280790,6212,280790
102,384,288790,6212,288790
102,384,289600,6212,289600
103,386,290600,6212,290600
103,386,291150,6212,291150
104,388,292150,6212,292150
105,392,293150,6212,293150
106,394,293620,6212,293620
106,394,294620,6212,294620
106,394,295430,6212,295430
107,402,296080,6212,296080
108,406,297080,6212,297080
109,408,298080,6212,298080
109,408,299080,6212,299080
109,408,300080,6212,300080
109,408,301080,6212,301080
110,412,302080,6212,302080
111,416,303080,6212,303080
111,416,304080,6212,304080
111,416,304550,6212,304550
112,418,305550,6212,305550
112,418,305550,6212,305550
112,418,306550,6212,306550
112,418,306550,6212,306550
112,418,307550,6212,307550
113,426,308550,6212,308550
113,426,308550,6212,308550
113,426,309550,6212,309550
113,426,309780,6212,309780
114,430,310780,6212,310780
114,430,311780,6212,311780
114,430,311780,6212,311780
114,430,311780,6212,311780
114,430,312240,6212,312240
115,434,313240,6212,313240
115,434,314050,6212,314050
115,434,314050,6212,314050
115,434,315050,6212,315050
115,434,315270,6212,315270
115,434,316270,6212,316270
115,434,317080,6212,317080
116,442,318080,6212,318080
116,442,318540,6212,318540
116,442,319350,6212,319350
116,442,320160,6212,320160
116,442,320810,6212,320810
117,444,321810,6212,321810
117,444,322040,6212,322040
117,444,323040,6212,323040
117,444,324040,6212,324040
118,448,325040,6212,325040
118,448,326040,6212,326040
118,448,326510,6212,326510
118,448,326980,6212,326980
119,452,327980,6212,327980
120,454,328980,6212,328980
121,462,329980,6212,329980
122,464,330980,6212,330980
122,464,331300,6212,331300
122,464,332300,6212,332300
122,464,333110,6212,333110
123,466,333920,6212,333920
123,466,334920,6212,334920
123,466,335920,6212,335920
124,470,336920,6212,336920
124,470,337730,6212,337730
125,472,338540,6212,338540
125,472,339540,6212,339540
125,472,340010,6212,340010
125,472,341010,6212,341010
125,472,341010,6212,341010
125,472,341010,6212,341010
125,472,342010,6212,342010
125,472,342010,6212,342010
126,476,343010,6212,343010
126,476,343010,6212,343010
127,478,343820,6212,343820
127,478,344820,6212,344820
127,478,345050,6212,345050
128,482,346050,6212,346050
128,482,346860,6212,346860
128,482,347670,6212,347670
128,482,347670,6212,347670
128,482,348670,6212,348670
128,482,349020,6212,349020
129,490,350020,6212,350020
130,492,351020,6212,351020
130,492,351020,6212,351020
130,492,351340,6212,351340
131,494,352340,6212,352340
131,494,353340,6212,353340
131,494,353340,6212,353340
132,496,354340,6212,354340
132,496,355340,6212,355340
132,496,356150,6212,356150
132,496,357150,6212,357150
132,496,357150,6212,357150
132,496,358150,6212,358150
133,498,359150,6212,359150
133,498,360150,6212,360150
133,498,360620,6212,360620
134,500,361620,6212,361620
134,500,362620,6212,362620
134,500,363430,6212,363430
134,500,364240,6212,364240
135,502,365240,6212,365240
135,502,365240,6212,365240
135,502,365240,6212,365240
135,502,366240,6212,366240
135,502,366470,6212,366470
136,506,367470,6212,367470
137,508,368470,6212,368470
137,508,369280,6212,369280
137,508,369930,6212,369930
137,508,369930,6212,369930
138,510,370930,6212,370930
138,510,371930,6212,371930
138,510,372390,6212,372390
139,512,373200,6212,373200
140,520,374200,6212,374200
140,520,375200,6212,375200
141,522,376200,6212,376200
141,522,377200,6212,377200
141,522,378010,6212,378010
141,522,378010,6212,378010
142,524,379010,6212,379010
142,524,380010,6212,380010
142,524,381010,6212,381010
142,524,381480,6212,381480
142,524,382480,6212,382480
143,528,383480,6212,383480
143,528,383480,6212,383480
144,532,384480,6212,384480
144,532,385290,6212,385290
144,532,385520,6212,385520
145,536,386520,6212,386520
145,536,387520,6212,387520
145,536,388520,6212,388520
145,536,389520,6212,389520
145,536,389990,6212,389990
146,540,390990,6212,390990
147,544,391990,6212,391990
148,548,392990,6212,392990
148,548,393990,6212,393990
148,548,394800,6212,394800
149,550,395800,6212,395800
149,550,396800,6212,396800
150,552,397800,6212,397800
150,552,398030,6212,398030
150,552,398030,6212,398030
151,560,399030,6212,399030
151,560,399840,6212,399840
152,564,400840,6212,400840
152,564,401840,6212,401840
153,566,402160,6212,402160
153,566,403160,6212,403160
153,566,403160,6212,403160
154,568,404160,6212,404160
154,568,404970,6212,404970
154,568,405520,6212,405520
154,568,405520,6212,405520
154,568,405680,6212,405680
154,568,406000,6212,406000
154,568,406810,6212,406810
154,568,407280,6212,407280
155,570,408280,6212,408280
155,570,409090,6212,409090
155,570,409560,6212,409560
155,570,410020,6212,410020
156,572,411020,6212,411020
156,572,412020,6212,412020
157,574,413020,6212,413020
157,574,413240,6212,413240
157,574,413240,6212,413240
158,578,414240,6212,414240
159,586,422240,6212,422240
159,586,423240,6212,423240
160,588,424050,6212,424050
160,588,424050,6212,424050
160,588,425050,6212,425050
160,588,426050,6212,426050
160,588,426270,6212,426270
161,592,426920,6212,426920
162,596,427920,6212,427920
163,604,428920,6212,428920
164,608,429920,6212,429920
165,610,430570,6212,430570
165,610,431380,6212,431380
165,610,432380,6212,432380
166,612,433030,6212,433030
166,612,433500,6212,433500
166,612,433500,6212,433500
166,612,434310,6212,434310
166,612,434780,6212,434780
166,612,435250,6212,435250
166,612,435720,6212,435720
166,612,436190,6212,436190
166,612,437000,6212,437000
167,616,438000,6212,438000
167,616,438320,6212,438320
167,616,439320,6212,439320
167,616,440130,6212,440130
167,616,440600,6212,440600
168,624,441600,6212,441600
169,626,441920,6212,441920
169,626,442730,6212,442730
169,626,442890,6212,442890
169,626,443890,6212,443890
169,626,444540,6212,444540
169,626,444540,6212,444540
169,626,445540,6212,445540
169,626,446010,6212,446010
169,626,447010,6212,447010
169,626,447330,6212,447330
169,626,448330,6212,448330
169,626,449330,6212,449330
170,628,449700,6212,449700
170,628,450700,6212,450700
171,636,451700,6212,451700
171,636,452700,6212,452700
172,640,453700,6212,453700
172,640,454700,6212,454700
173,648,455700,6212,455700
173,648,456700,6212,456700
173,648,456700,6212,456700
173,648,456700,6212,456700
173,648,456930,6212,456930
173,648,457930,6212,457930
173,648,457930,6212,457930
173,648,458250,6212,458250
173,648,458720,6212,458720
173,648,459720,6212,459720
173,648,460720,6212,460720
173,648,461720,6212,461720
173,648,462530,6212,462530
173,648,463340,6212,463340
173,648,463820,6212,463820
174,652,464820,6212,464820
175,656,465820,6212,465820
175,656,466820,6212,466820
175,656,466820,6212,466820
175,656,467820,6212,467820
176,658,468820,6212,468820
176,658,469630,6212,469630
176,658,470630,6212,470630
176,658,471100,6212,471100
176,658,472100,6212,472100
176,658,472910,6212,472910
176,658,473720,6212,473720
176,658,474720,6212,474720
176,658,475720,6212,475720
177,666,476720,6212,476720
178,668,477530,6212,477530
178,668,477760,6212,477760
178,668,478760,6212,478760
178,668,478760,6212,478760
178,668,479760,6212,479760
178,668,479980,6212,479980
178,668,480450,6212,480450
178,668,481260,6212,481260
179,672,482260,6212,482260
179,672,483260,6212,483260
180,680,484260,6212,484260
180,680,485070,6212,485070
180,680,485660,6212,485660
180,680,486660,6212,486660
181,688,494660,6212,494660
181,688,495210,6212,495210
181,688,496020,6212,496020
181,688,496020,6212,496020
182,696,497020,6212,497020
182,696,498020,6212,498020
182,696,498020,6212,498020
182,696,499020,6212,499020
182,696,500020,6212,500020
182,696,500250,6212,500250
182,696,501250,6212,501250
182,696,501410,6212,501410
182,696,502410,6212,502410
182,696,503410,6212,503410
183,698,504410,6212,504410
183,698,504880,6212,504880
183,698,505350,6212,505350
183,698,505820,6212,505820
184,700,506820,6212,506820
185,702,507630,6212,507630
185,702,508630,6212,508630
185,702,509630,6212,509630
186,704,509950,6212,509950
186,704,510760,6212,510760
186,704,511080,6212,511080
186,704,511550,6212,511550
186,704,512360,6212,512360
186,704,512830,6212,512830
186,704,513830,6212,513830
186,704,514300,6212,514300
186,704,514300,6212,514300
186,704,514620,6212,514620
187,712,515620,6212,515620
188,714,516620,6212,516620
188,714,517430,6212,517430
189,722,518430,6212,518430
189,722,518900,6212,518900
189,722,519220,6212,519220
189,722,519690,6212,519690
189,722,520500,6212,520500
189,722,520970,6212,520970
189,722,521970,6212,521970
190,724,522970,6212,522970
190,724,523970,6212,523970
191,732,523970,6212,523970
191,732,524620,6212,524620
191,732,525620,6212,525620
191,732,526430,6212,526430
192,740,526430,6212,526430
192,740,527240,6212,527240
192,740,528240,6212,528240
192,740,529240,6212,529240
192,740,529710,6212,529710
192,740,529710,6212,529710
192,740,529710,6212,529710
192,740,530710,6212,530710
192,740,531710,6212,531710
192,740,532710,6212,532710
192,740,533710,6212,533710
193,748,534710,6212,534710
193,748,535030,6212,535030
193,748,536030,6212,536030
193,748,537030,6212,537030
193,748,537030,6212,537030
193,748,537030,6212,537030
194,752,538030,6212,538030
194,752,539030,6212,539030
194,752,539500,6212,539500
194,752,540500,6212,540500
194,752,540500,6212,540500
194,752,541150,6212,541150
195,754,542150,6212,542150
195,754,542620,6212,542620
195,754,542620,6212,542620
195,754,542730,6212,542730
195,754,543200,6212,543200
195,754,544200,6212,544200
195,754,544200,6212,544200
195,754,545200,6212,545200
195,754,546200,6212,546200
195,754,547200,6212,547200
196,756,548200,6212,548200
196,756,549200,6212,549200
196,756,550200,6212,550200
196,756,551200,6212,551200
196,756,551430,6212,551430
197,764,552430,6212,552430
197,764,553430,6212,553430
198,766,554240,6212,554240
198,766,555240,6212,555240
198,766,556240,6212,556240
198,766,556700,6212,556700
198,766,557700,6212,557700
198,766,558160,6212,558160
198,766,559160,6212,559160
198,766,559970,6212,559970
198,766,559970,6212,559970
198,766,560970,6212,560970
198,766,561970,6212,561970
199,774,562970,6212,562970
199,774,563780,6212,563780
199,774,564370,6212,564370
199,774,564840,6212,564840
199,774,565840,6212,565840
200,782,569840,6212,569840
200,782,569840,6212,569840
200,782,570310,6212,570310
200,782,570310,6212,570310
201,784,570630,6212,570630
201,784,571440,6212,571440
202,792,572440,6212,572440
202,792,573440,6212,573440
202,792,573440,6212,573440
202,792,574440,6212,574440
202,792,574670,6212,574670
203,794,575670,6212,575670
203,794,576670,6212,576670
203,794,577670,6212,577670
204,802,577670,6212,577670
204,802,578670,6212,578670
204,802,579140,6212,579140
205,806,579790,6212,579790
206,814,580790,6212,580790
206,814,581790,6212,581790
206,814,581790,6212,581790
206,814,582790,6212,582790
206,814,583260,6212,583260
206,814,583580,6212,583580
206,814,584390,6212,584390
206,814,585200,6212,585200
207,816,585670,6212,585670
207,816,586670,6212,586670
207,816,586670,6212,586670
208,824,587670,6212,587670
209,832,588670,6212,588670
210,834,589670,6212,589670
210,834,590670,6212,590670
210,834,590890,6212,590890
211,836,591890,6212,591890
211,836,592890,6212,592890
