ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
250,584,508890,6212,508890
250,584,509050,6212,509050
250,584,509050,6212,509050
251,586,510050,6212,510050
251,586,510860,6212,510860
251,586,511230,6212,511230
251,586,512230,6212,512230
251,586,513230,6212,513230
252,588,514230,6212,514230
253,590,515040,6212,515040
253,590,516040,6212,516040
253,590,516040,6212,516040
254,592,517040,6212,517040
254,592,517850,6212,517850
255,594,518320,6212,518320
255,594,518790,6212,518790
256,596,519790,6212,519790
257,600,523790,6212,523790
257,600,524790,6212,524790
258,602,525790,6212,525790
259,604,526110,6212,526110
259,604,527110,6212,527110
259,604,527110,6212,527110
259,604,527920,6212,527920
260,606,528920,6212,528920
260,606,528920,6212,528920
260,606,529920,6212,529920
261,608,530920,6212,530920
262,610,532920,6212,532920
263,612,533920,6212,533920
263,612,533920,6212,533920
263,612,534920,6212,534920
264,614,536920,6212,536920
265,616,537920,6212,537920
265,616,538380,6212,538380
266,618,539190,6212,539190
266,618,540190,6212,540190
266,618,541190,6212,541190
267,620,542190,6212,542190
267,620,543190,6212,543190
268,622,544190,6212,544190
268,622,545190,6212,545190
268,622,546000,6212,546000
268,622,546000,6212,546000
268,622,547000,6212,547000
269,624,548000,6212,548000
269,624,549000,6212,549000
270,626,549810,6212,549810
271,628,550810,6212,550810
271,628,551130,6212,551130
272,630,551600,6212,551600
272,630,552600,6212,552600
272,630,552820,6212,552820
272,630,552820,6212,552820
272,630,553630,6212,553630
272,630,553630,6212,553630
273,638,561630,6212,561630
274,640,562440,6212,562440
275,642,563440,6212,563440
275,642,563440,6212,563440
275,642,564090,6212,564090
276,644,564900,6212,564900
276,644,564900,6212,564900
276,644,564900,6212,564900
276,644,565900,6212,565900
276,644,566220,6212,566220
276,644,566540,6212,566540
276,644,567130,6212,567130
277,646,568130,6212,568130
278,648,568780,6212,568780
279,650,569780,6212,569780
279,650,569780,6212,569780
280,652,570430,6212,570430
281,654,571430,6212,571430
281,654,572240,6212,572240
281,654,572240,6212,572240
281,654,572350,6212,572350
281,654,572350,6212,572350
281,654,572820,6212,572820
281,654,573140,6212,573140
281,654,573140,6212,573140
281,654,574140,6212,574140
281,654,574140,6212,574140
282,656,574790,6212,574790
282,656,575600,6212,575600
283,658,576600,6212,576600
283,658,577070,6212,577070
283,658,577070,6212,577070
284,660,577540,6212,577540
284,660,578540,6212,578540
285,662,580540,6212,580540
286,664,581540,6212,581540
286,664,581860,6212,581860
286,664,582860,6212,582860
286,664,583090,6212,583090
287,666,583740,6212,583740
287,666,583740,6212,583740
288,668,584740,6212,584740
288,668,585740,6212,585740
288,668,585960,6212,585960
288,668,585960,6212,585960
288,668,586960,6212,586960
288,668,587960,6212,587960
289,670,588960,6212,588960
290,672,589960,6212,589960
291,674,590960,6212,590960
292,682,590960,6212,590960
292,682,590960,6212,590960
292,682,591960,6212,591960
293,684,592960,6212,592960
293,684,593280,6212,593280
293,684,593280,6212,593280
293,684,593740,6212,593740
293,684,594740,6212,594740
294,686,595740,6212,595740
295,688,596550,6212,596550
295,688,597550,6212,597550
295,688,598550,6212,598550
296,690,599550,6212,599550
296,690,600550,6212,600550
297,692,601550,6212,601550
297,692,602550,6212,602550
297,692,603360,6212,603360
297,692,603360,6212,603360
297,692,603680,6212,603680
298,694,604680,6212,604680
298,694,604680,6212,604680
298,694,605680,6212,605680
298,694,606680,6212,606680
299,696,607680,6212,607680
299,696,608680,6212,608680
300,698,609680,6212,609680
300,698,610680,6212,610680
301,700,611680,6212,611680
301,700,612150,6212,612150
302,702,612610,6212,612610
302,702,613610,6212,613610
302,702,614420,6212,614420
302,702,614420,6212,614420
302,702,614420,6212,614420
303,704,615420,6212,615420
303,704,616420,6212,616420
304,706,617420,6212,617420
304,706,618420,6212,618420
305,708,619230,6212,619230
305,708,619700,6212,619700
306,710,620700,6212,620700
306,710,621510,6212,621510
307,712,622510,6212,622510
307,712,623510,6212,623510
308,714,625510,6212,625510
309,716,625980,6212,625980
310,718,626980,6212,626980
311,720,627980,6212,627980
312,728,627980,6212,627980
313,730,628630,6212,628630
314,732,629630,6212,629630
315,734,630630,6212,630630
315,734,631630,6212,631630
315,734,631630,6212,631630
315,734,632440,6212,632440
315,734,633440,6212,633440
315,734,634250,6212,634250
315,734,634570,6212,634570
316,736,635570,6212,635570
316,736,636570,6212,636570
317,738,637570,6212,637570
318,740,638570,6212,638570
319,742,639380,6212,639380
319,742,639380,6212,639380
319,742,640380,6212,640380
319,742,640970,6212,640970
320,744,641970,6212,641970
320,744,642970,6212,642970
320,744,643200,6212,643200
321,746,645200,6212,645200
322,748,645670,6212,645670
323,750,646670,6212,646670
324,752,647670,6212,647670
325,756,651670,6212,651670
325,756,652670,6212,652670
326,758,653670,6212,653670
326,758,654260,6212,654260
327,760,655070,6212,655070
327,760,656070,6212,656070
327,760,656070,6212,656070
327,760,656540,6212,656540
327,760,656540,6212,656540
328,762,657540,6212,657540
328,762,658540,6212,658540
329,764,659350,6212,659350
329,764,660000,6212,660000
330,766,660810,6212,660810
330,766,660810,6212,660810
330,766,661620,6212,661620
330,766,662620,6212,662620
331,774,670620,6212,670620
331,774,671620,6212,671620
331,774,672620,6212,672620
332,776,673620,6212,673620
333,778,674270,6212,674270
333,778,675270,6212,675270
333,778,675270,6212,675270
334,780,676270,6212,676270
334,780,676590,6212,676590
334,780,677400,6212,677400
335,782,678210,6212,678210
335,782,679210,6212,679210
336,790,679210,6212,679210
336,790,680210,6212,680210
336,790,680680,6212,680680
337,792,681680,6212,681680
338,794,682680,6212,682680
338,794,682680,6212,682680
338,794,683680,6212,683680
339,796,684680,6212,684680
339,796,685150,6212,685150
339,796,686150,6212,686150
339,796,686620,6212,686620
340,798,687620,6212,687620
340,798,687620,6212,687620
340,798,688620,6212,688620
340,798,688620,6212,688620
341,800,689090,6212,689090
341,800,689560,6212,689560
342,802,690560,6212,690560
342,802,691560,6212,691560
342,802,692370,6212,692370
342,802,692600,6212,692600
343,804,693410,6212,693410
344,806,694410,6212,694410
344,806,695220,6212,695220
345,808,695870,6212,695870
345,808,696680,6212,696680
346,810,697490,6212,697490
346,810,697960,6212,697960
346,810,698960,6212,698960
346,810,699960,6212,699960
347,812,700960,6212,700960
347,812,701960,6212,701960
348,814,702960,6212,702960
349,816,703770,6212,703770
349,816,703770,6212,703770
349,816,704770,6212,704770
349,816,705580,6212,705580
350,818,706580,6212,706580
350,818,707050,6212,707050
350,818,708050,6212,708050
351,820,708860,6212,708860
352,822,709860,6212,709860
352,822,710860,6212,710860
353,824,711860,6212,711860
353,824,712860,6212,712860
354,826,713860,6212,713860
354,826,714860,6212,714860
355,828,715860,6212,715860
355,828,716670,6212,716670
355,828,717670,6212,717670
356,830,718670,6212,718670
357,832,719140,6212,719140
357,832,719950,6212,719950
357,832,719950,6212,719950
357,832,720950,6212,720950
357,832,721420,6212,721420
357,832,721740,6212,721740
358,834,722740,6212,722740
358,834,723740,6212,723740
359,836,724550,6212,724550
359,836,724550,6212,724550
359,836,724870,6212,724870
359,836,725520,6212,725520
360,838,726110,6212,726110
361,840,727110,6212,727110
361,840,728110,6212,728110
361,840,728920,6212,728920
361,840,729240,6212,729240
361,840,729240,6212,729240
362,842,730240,6212,730240
362,842,731240,6212,731240
363,844,732240,6212,732240
364,846,732710,6212,732710
364,846,733710,6212,733710
364,846,734180,6212,734180
365,854,734180,6212,734180
365,854,734180,6212,734180
