ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
331,740,511700,6212,511700
332,742,512170,6212,512170
332,742,512640,6212,512640
332,742,513110,6212,513110
332,742,513340,6212,513340
333,744,514340,6212,514340
333,744,514660,6212,514660
333,744,514660,6212,514660
333,744,514660,6212,514660
333,744,514660,6212,514660
333,744,515660,6212,515660
334,746,516470,6212,516470
334,746,517280,6212,517280
335,748,518280,6212,518280
335,748,518750,6212,518750
335,748,519220,6212,519220
336,750,519690,6212,519690
336,750,519690,6212,519690
336,750,520500,6212,520500
337,752,521310,6212,521310
337,752,522310,6212,522310
337,752,522780,6212,522780
338,754,523780,6212,523780
338,754,524780,6212,524780
339,756,525780,6212,525780
339,756,526250,6212,526250
340,758,527250,6212,527250
340,758,527250,6212,527250
340,758,527250,6212,527250
340,758,528060,6212,528060
340,758,528530,6212,528530
340,758,528800,6212,528800
341,760,529610,6212,529610
341,760,530080,6212,530080
341,760,530080,6212,530080
341,760,530310,6212,530310
342,762,531310,6212,531310
342,762,532310,6212,532310
343,764,532780,6212,532780
343,764,533590,6212,533590
344,766,534590,6212,534590
344,766,535050,6212,535050
344,766,535860,6212,535860
345,768,536860,6212,536860
345,768,537510,6212,537510
346,772,537980,6212,537980
347,774,538980,6212,538980
347,774,539790,6212,539790
347,774,540790,6212,540790
347,774,541600,6212,541600
347,774,542070,6212,542070
347,774,542720,6212,542720
347,774,542950,6212,542950
348,776,543760,6212,543760
348,776,544570,6212,544570
348,776,544890,6212,544890
349,778,545700,6212,545700
349,778,545920,6212,545920
349,778,546730,6212,546730
350,780,547730,6212,547730
350,780,548200,6212,548200
350,780,548430,6212,548430
351,782,549430,6212,549430
351,782,549430,6212,549430
351,782,549750,6212,549750
351,782,550220,6212,550220
352,784,551220,6212,551220
352,784,551690,6212,551690
353,786,552690,6212,552690
353,786,553500,6212,553500
353,786,553500,6212,553500
353,786,553970,6212,553970
353,786,554780,6212,554780
354,788,555590,6212,555590
354,788,556400,6212,556400
355,790,557050,6212,557050
355,790,558050,6212,558050
356,792,558520,6212,558520
356,792,559330,6212,559330
356,792,559330,6212,559330
357,794,560330,6212,560330
357,794,560330,6212,560330
357,794,561330,6212,561330
358,796,562140,6212,562140
358,796,562460,6212,562460
358,796,563460,6212,563460
358,796,563690,6212,563690
359,798,564500,6212,564500
359,798,565500,6212,565500
360,800,566310,6212,566310
360,800,566310,6212,566310
360,800,567120,6212,567120
