ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
939784.27,15.52,1.9,222863.48,3.68
939836.2,15.52,1.9,222864.16,3.68
940102.55,15.53,1.91,222620.66,3.68
939714.32,15.53,1.91,222131.02,3.67
939464.36,15.52,1.9,221578.02,3.66
939598.12,15.53,1.91,221076.65,3.65
939340.62,15.53,1.91,220843.02,3.65
939192.38,15.52,1.9,220847.97,3.65
939244.31,15.53,1.91,220966.57,3.65
940932.43,15.56,1.94,222043.43,3.67
940984.36,15.56,1.94,222112.89,3.67
941107.65,15.56,1.94,222077.33,3.67
940550.94,15.55,1.93,221361.77,3.66
940184.23,15.55,1.93,220836.21,3.65
940721.79,15.56,1.94,220985.44,3.66
941335.45,15.57,1.95,221099.23,3.66
941119.42,15.57,1.95,220863.52,3.65
940733.89,15.57,1.95,220366.59,3.65
944189.06,15.62,2.0,223587.89,3.7
944336.1,15.63,2.0,224432.19,3.71
944602.45,15.63,2.01,224188.7,3.71
944732.99,15.64,2.01,224150.36,3.71
944344.76,15.63,2.01,223660.72,3.7
947652.9,15.69,2.06,226037.73,3.74
948266.56,15.7,2.08,226151.52,3.74
948389.85,15.7,2.08,226115.96,3.74
949164.68,15.71,2.09,226438.38,3.75
948634.7,15.71,2.09,225854.35,3.74
948249.17,15.7,2.08,225357.42,3.73
948372.46,15.71,2.09,225321.86,3.73
949500.54,15.72,2.1,226141.72,3.75
