ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
317,726,536110,6212,536110
317,726,536920,6212,536920
317,726,537920,6212,537920
318,728,538920,6212,538920
318,728,538920,6212,538920
318,728,539730,6212,539730
318,728,540730,6212,540730
318,728,541050,6212,541050
318,728,542050,6212,542050
319,730,542860,6212,542860
319,730,543230,6212,543230
319,730,544040,6212,544040
320,732,544850,6212,544850
321,734,546850,6212,546850
322,742,546850,6212,546850
323,744,547850,6212,547850
323,744,548850,6212,548850
323,744,549850,6212,549850
323,744,550660,6212,550660
323,744,551130,6212,551130
323,744,551450,6212,551450
324,746,552260,6212,552260
324,746,552720,6212,552720
325,748,553720,6212,553720
325,748,554190,6212,554190
326,750,554840,6212,554840
326,750,554840,6212,554840
326,750,555650,6212,555650
327,752,556120,6212,556120
328,754,556590,6212,556590
328,754,557590,6212,557590
329,756,558590,6212,558590
329,756,558590,6212,558590
329,756,558590,6212,558590
329,756,559400,6212,559400
329,756,560050,6212,560050
329,756,561050,6212,561050
330,758,562050,6212,562050
331,760,562860,6212,562860
331,760,563330,6212,563330
331,760,564330,6212,564330
331,760,565140,6212,565140
331,760,566140,6212,566140
332,762,567140,6212,567140
332,762,568140,6212,568140
332,762,568460,6212,568460
333,764,569110,6212,569110
333,764,569660,6212,569660
334,766,570250,6212,570250
335,768,571250,6212,571250
335,768,572250,6212,572250
336,776,572250,6212,572250
336,776,572250,6212,572250
336,776,572250,6212,572250
337,778,573250,6212,573250
337,778,573720,6212,573720
338,780,574190,6212,574190
338,780,575190,6212,575190
338,780,575660,6212,575660
338,780,576130,6212,576130
339,782,576940,6212,576940
339,782,576940,6212,576940
339,782,577410,6212,577410
339,782,577520,6212,577520
340,784,578520,6212,578520
340,784,579330,6212,579330
