ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
868010.71,14.66,1.06,209020.86,3.53
867874.75,14.66,1.06,209001.24,3.53
867738.79,14.66,1.06,208917.95,3.53
867602.83,14.66,1.07,208918.21,3.53
867466.87,14.66,1.07,208815.04,3.53
867356.87,14.66,1.06,208705.04,3.53
867356.87,14.66,1.06,208708.32,3.53
867697.8,14.67,1.07,208448.95,3.52
867498.13,14.67,1.07,208337.37,3.52
870491.31,14.72,1.12,207387.0,3.51
870543.0,14.72,1.12,207510.1,3.51
870778.77,14.72,1.13,207746.51,3.51
870443.98,14.72,1.12,207546.05,3.51
870308.02,14.72,1.12,207546.31,3.51
870172.06,14.72,1.12,207443.14,3.51
870223.75,14.72,1.13,207566.25,3.51
870275.45,14.73,1.13,207663.87,3.51
870459.16,14.73,1.13,207748.51,3.52
869780.39,14.72,1.13,207069.74,3.5
869490.72,14.72,1.12,206787.14,3.5
869274.91,14.71,1.12,206552.56,3.5
869274.91,14.71,1.12,207199.49,3.51
869551.37,14.72,1.12,207738.03,3.52
869815.05,14.72,1.13,212266.84,3.59
869630.97,14.72,1.13,212174.0,3.59
870075.53,14.73,1.13,211873.72,3.59
869888.78,14.73,1.13,211816.13,3.59
874665.91,14.81,1.21,214009.58,3.62
874717.61,14.81,1.22,214132.68,3.63
874769.3,14.82,1.22,214230.31,3.63
874769.3,14.82,1.22,214230.12,3.63
874633.34,14.82,1.22,214128.85,3.63
874290.92,14.81,1.22,213744.65,3.62
874559.74,14.82,1.22,213819.13,3.62
874423.78,14.82,1.22,213817.49,3.62
874079.0,14.81,1.22,213640.11,3.62
874079.0,14.81,1.22,213640.11,3.62
874130.69,14.82,1.22,213881.98,3.63
877786.15,14.88,1.28,217653.15,3.69
877650.19,14.88,1.28,217633.54,3.69
877833.91,14.88,1.29,217718.17,3.69
877885.6,14.89,1.29,217950.42,3.7
878154.42,14.89,1.3,218024.9,3.7
878206.12,14.89,1.3,218299.52,3.7
877861.33,14.89,1.29,218089.38,3.7
877725.37,14.89,1.29,218006.09,3.7
877589.41,14.89,1.29,218006.35,3.7
877641.1,14.89,1.3,218129.46,3.7
877505.14,14.89,1.3,218026.28,3.7
877369.18,14.89,1.3,218026.55,3.7
877233.22,14.89,1.3,217923.38,3.7
877505.26,14.9,1.3,218190.61,3.7
877565.0,14.9,1.31,224057.43,3.8
877429.04,14.9,1.31,223954.52,3.8
877697.86,14.91,1.31,224029.0,3.8
877408.19,14.9,1.31,223787.11,3.8
877272.23,14.9,1.31,223787.11,3.8
877147.34,14.9,1.31,223170.9,3.79
876934.39,14.9,1.31,222848.98,3.79
876934.39,14.9,1.31,222852.25,3.79
876607.15,14.9,1.3,222539.73,3.78
876471.19,14.9,1.3,222540.0,3.78
876335.23,14.9,1.3,222436.83,3.78
880214.21,14.96,1.37,224213.48,3.81
880078.25,14.96,1.37,224213.75,3.81
880078.25,14.96,1.37,224210.28,3.81
880129.94,14.97,1.37,224484.89,3.82
880365.71,14.97,1.38,224455.53,3.82
880417.4,14.98,1.38,224837.93,3.82
880469.09,14.98,1.38,224961.04,3.83
880333.14,14.98,1.38,224857.86,3.83
880043.46,14.97,1.38,224650.92,3.82
879907.5,14.98,1.38,224616.75,3.82
879907.5,14.98,1.38,225534.39,3.84
879907.5,14.98,1.38,226230.49,3.85
879771.54,14.98,1.38,226161.75,3.85
879635.58,14.98,1.38,226142.14,3.85
879499.62,14.98,1.38,226058.85,3.85
879221.63,14.97,1.38,225876.53,3.85
879493.66,14.98,1.38,226143.76,3.85
879357.7,14.98,1.38,226124.15,3.85
879221.74,14.98,1.38,226040.86,3.85
879562.67,14.99,1.39,225781.49,3.85
879625.44,14.99,1.39,225394.77,3.84
879600.14,14.99,1.4,225218.67,3.84
881507.69,15.02,1.43,226409.61,3.86
881162.91,15.02,1.42,226199.47,3.86
881026.95,15.02,1.42,226096.57,3.85
880745.22,15.02,1.42,225906.44,3.85
880609.26,15.02,1.42,225906.44,3.85
880878.09,15.02,1.43,225980.91,3.85
880929.78,15.02,1.43,226255.53,3.86
880793.82,15.02,1.43,226299.31,3.86
880856.58,15.03,1.43,225912.58,3.85
880720.62,15.03,1.43,225765.9,3.85
880695.32,15.03,1.43,225589.8,3.85
880417.33,15.03,1.43,225407.48,3.85
880301.34,15.02,1.43,225425.55,3.85
880485.05,15.03,1.43,225510.18,3.85
880349.09,15.03,1.43,225510.44,3.85
880400.79,15.03,1.44,225742.69,3.85
880400.79,15.03,1.44,225742.5,3.85
880264.83,15.03,1.44,225639.33,3.85
880128.87,15.03,1.44,225600.95,3.85
879992.91,15.03,1.44,225529.95,3.85
879834.5,15.03,1.44,225371.54,3.85
880018.21,15.04,1.44,225456.17,3.85
