ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
238,576,390530,6212,391990
239,578,391530,6212,392990
239,578,392530,6212,393990
240,580,393340,6212,394800
240,580,394340,6212,395800
240,580,395340,6212,396800
240,580,396340,6212,397800
240,580,396340,6212,398030
240,580,396340,6212,398030
240,580,397340,6212,399030
241,582,398150,6212,399840
241,582,399150,6212,400840
241,582,400150,6212,401840
241,582,400470,6212,402160
241,582,401470,6212,403160
241,582,401470,6212,403160
241,582,402470,6212,404160
242,584,403280,6212,404970
242,584,403830,6212,405520
242,584,403830,6212,405520
242,584,403990,6212,405680
242,584,404310,6212,406000
243,586,405120,6212,406810
243,586,405590,6212,407280
244,588,406590,6212,408280
244,588,407400,6212,409090
244,588,407870,6212,409560
245,590,408330,6212,410020
245,590,409330,6212,411020
246,592,410330,6212,412020
246,592,411330,6212,413020
246,592,411550,6212,413240
246,592,411550,6212,413240
247,600,412550,6212,414240
248,608,420550,6212,422240
249,610,421550,6212,423240
249,610,422360,6212,424050
249,610,422360,6212,424050
250,612,423360,6212,425050
250,612,424360,6212,426050
250,612,424580,6212,426270
250,612,425230,6212,426920
250,612,426230,6212,427920
250,612,427230,6212,428920
251,614,428230,6212,429920
251,614,428880,6212,430570
251,614,429690,6212,431380
251,614,430690,6212,432380
251,614,431340,6212,433030
252,618,431810,6212,433500
252,618,431810,6212,433500
253,620,432620,6212,434310
253,620,433090,6212,434780
253,620,433560,6212,435250
253,620,434030,6212,435720
253,620,434500,6212,436190
253,620,435310,6212,437000
253,620,436310,6212,438000
253,620,436630,6212,438320
254,622,437630,6212,439320
254,622,438440,6212,440130
254,622,438910,6212,440600
255,630,439910,6212,441600
255,630,440230,6212,441920
255,630,440230,6212,442730
255,630,440390,6212,442890
256,632,441390,6212,443890
256,632,442040,6212,444540
256,632,442040,6212,444540
257,634,443040,6212,445540
257,634,443510,6212,446010
258,636,444510,6212,447010
258,636,444830,6212,447330
258,636,445830,6212,448330
258,636,446830,6212,449330
258,636,447200,6212,449700
259,638,448200,6212,450700
259,638,449200,6212,451700
260,640,450200,6212,452700
260,640,451200,6212,453700
260,640,452200,6212,454700
261,642,453200,6212,455700
261,642,454200,6212,456700
261,642,454200,6212,456700
261,642,454200,6212,456700
261,642,454430,6212,456930
262,644,455430,6212,457930
262,644,455430,6212,457930
262,644,455750,6212,458250
262,644,456220,6212,458720
263,646,457220,6212,459720
263,646,458220,6212,460720
264,648,459220,6212,461720
264,648,460030,6212,462530
265,650,460840,6212,463340
265,650,461320,6212,463820
265,650,462320,6212,464820
266,652,463320,6212,465820
266,652,464320,6212,466820
266,652,464320,6212,466820
266,652,465320,6212,467820
267,654,466320,6212,468820
267,654,467130,6212,469630
268,656,468130,6212,470630
268,656,468600,6212,471100
269,658,469600,6212,472100
269,658,470410,6212,472910
269,658,470410,6212,473720
270,660,471410,6212,474720
270,660,472410,6212,475720
271,662,473410,6212,476720
271,662,474220,6212,477530
271,662,474450,6212,477760
272,664,475450,6212,478760
272,664,475450,6212,478760
272,664,476450,6212,479760
272,664,476670,6212,479980
272,664,477140,6212,480450
273,666,477950,6212,481260
274,674,478950,6212,482260
274,674,479950,6212,483260
275,676,480950,6212,484260
275,676,481760,6212,485070
275,676,482350,6212,485660
276,678,483350,6212,486660
277,686,491350,6212,494660
277,686,491900,6212,495210
278,688,492710,6212,496020
278,688,492710,6212,496020
278,688,493710,6212,497020
279,690,494710,6212,498020
279,690,494710,6212,498020
279,690,495710,6212,499020
280,692,496710,6212,500020
280,692,496940,6212,500250
280,692,497940,6212,501250
280,692,498100,6212,501410
280,692,499100,6212,502410
280,692,500100,6212,503410
280,692,501100,6212,504410
280,692,501570,6212,504880
280,692,502040,6212,505350
280,692,502510,6212,505820
280,692,503510,6212,506820
280,692,504320,6212,507630
281,694,505320,6212,508630
281,694,506320,6212,509630
281,694,506640,6212,509950
282,696,507450,6212,510760
282,696,507770,6212,511080
282,696,508240,6212,511550
283,698,509050,6212,512360
284,702,509520,6212,512830
284,702,510520,6212,513830
284,702,510990,6212,514300
284,702,510990,6212,514300
284,702,511310,6212,514620
284,702,512310,6212,515620
284,702,513310,6212,516620
285,704,514120,6212,517430
285,704,515120,6212,518430
285,704,515590,6212,518900
285,704,515910,6212,519220
286,706,516380,6212,519690
286,706,517190,6212,520500
286,706,517190,6212,520970
287,708,518190,6212,521970
287,708,519190,6212,522970
288,710,520190,6212,523970
