ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1642559.53,27.27,1.83,233801.66,3.88
1643177.1,27.28,1.84,233876.78,3.88
1642633.34,27.28,1.83,233322.24,3.87
1642093.18,27.27,1.83,232824.5,3.87
1641809.42,27.27,1.83,232529.96,3.86
1641795.78,27.27,1.83,232728.62,3.87
1641795.78,27.27,1.83,232728.62,3.87
1642183.12,27.28,1.84,233331.05,3.88
1642826.55,27.29,1.85,233652.52,3.88
1642679.08,27.29,1.85,233888.12,3.89
1641930.09,27.28,1.84,233173.34,3.87
1641386.32,27.28,1.83,232618.8,3.87
1641120.34,27.28,1.83,232584.28,3.87
1640576.58,27.27,1.83,232029.74,3.86
1643458.96,27.32,1.88,235109.77,3.91
1643957.75,27.33,1.89,235254.25,3.91
1643925.09,27.34,1.89,236030.51,3.92
1644489.71,27.35,1.91,236158.83,3.93
1643945.95,27.34,1.9,235604.29,3.92
1643371.08,27.34,1.9,235053.59,3.91
1643385.54,27.34,1.9,234687.06,3.9
1644028.98,27.36,1.91,235008.53,3.91
1644156.67,27.36,1.92,234816.84,3.91
1643612.91,27.36,1.91,234262.31,3.9
1644006.84,27.37,1.93,234326.08,3.9
1643915.08,27.37,1.93,234285.16,3.9
1644945.94,27.39,1.94,235155.06,3.92
1644402.17,27.38,1.94,234600.52,3.91
1643858.41,27.38,1.93,234045.98,3.9
1643993.21,27.38,1.94,234536.22,3.91
1643727.23,27.38,1.94,234529.38,3.91
1643521.03,27.38,1.94,234527.21,3.91
1643312.76,27.38,1.93,234342.41,3.9
1642780.81,27.38,1.93,234259.56,3.9
1645528.39,27.42,1.98,236849.35,3.95
1645450.72,27.43,1.98,236934.86,3.95
1645450.72,27.43,1.98,236934.86,3.95
1645244.52,27.43,1.98,236860.79,3.95
1644607.59,27.42,1.98,236054.68,3.94
1644160.66,27.42,1.97,235438.56,3.93
1644128.0,27.42,1.98,236214.82,3.94
1645034.78,27.44,2.0,236516.04,3.95
1644768.8,27.44,2.0,236438.35,3.94
1644321.87,27.44,1.99,235822.24,3.93
1644588.04,27.44,2.0,236345.16,3.94
1644141.11,27.44,2.0,235729.05,3.93
1643875.14,27.44,2.0,235651.41,3.93
1643609.16,27.44,2.0,235646.19,3.93
1643609.16,27.44,2.0,235646.19,3.93
1643402.96,27.44,2.0,235644.02,3.93
1642900.81,27.44,1.99,235145.93,3.93
1642900.81,27.44,1.99,235145.93,3.93
1642634.84,27.44,1.99,235068.25,3.93
1642180.35,27.44,1.99,235134.9,3.93
1642516.95,27.44,2.0,235740.58,3.94
1642205.15,27.44,2.0,235377.56,3.93
1641998.95,27.44,2.0,235303.49,3.93
1641980.79,27.45,2.0,235399.88,3.93
1642059.94,27.45,2.01,235111.9,3.93
1641853.74,27.45,2.01,235122.82,3.93
1641587.77,27.45,2.01,235045.2,3.93
1641035.48,27.45,2.0,234536.55,3.92
1641035.48,27.45,2.0,234536.55,3.92
1640588.55,27.44,2.0,233920.44,3.91
1640361.63,27.44,2.0,233524.32,3.91
1640627.8,27.45,2.0,234045.43,3.92
1639990.87,27.44,2.0,233239.31,3.9
1640000.09,27.44,2.0,233291.49,3.9
1640000.09,27.44,2.0,233291.49,3.9
1639676.07,27.44,1.99,232943.67,3.9
1639229.14,27.44,1.99,232327.56,3.89
1639229.14,27.44,1.99,232351.29,3.89
1638592.22,27.43,1.98,231545.18,3.88
1639135.36,27.44,1.99,232219.24,3.89
1638869.38,27.44,2.0,232212.59,3.89
1638603.4,27.44,2.0,232136.39,3.89
1638337.43,27.44,2.0,232129.55,3.89
1638337.43,27.44,2.0,232112.93,3.89
1638603.59,27.45,2.0,232565.0,3.9
1638279.58,27.44,2.0,232215.44,3.89
1638073.38,27.44,2.0,232213.27,3.89
1638073.38,27.44,2.0,232231.83,3.89
1637599.63,27.44,1.99,231727.2,3.88
1637581.47,27.44,2.0,231814.65,3.88
1635497.03,27.44,2.0,231759.54,3.89
1635232.47,27.44,2.0,231739.6,3.89
1634966.49,27.44,2.0,231732.95,3.89
1634700.52,27.44,2.0,231656.75,3.89
1634819.06,27.45,2.0,231645.29,3.89
1634612.86,27.45,2.0,231894.77,3.89
1634791.32,27.46,2.01,231830.36,3.89
1634154.4,27.45,2.0,231024.25,3.88
1633893.33,27.45,2.0,232382.17,3.9
1634595.22,27.47,2.02,233046.19,3.92
1634329.24,27.47,2.02,233039.53,3.92
1634063.27,27.47,2.02,232963.34,3.92
1634412.92,27.47,2.03,233220.68,3.92
1634380.26,27.48,2.03,233996.94,3.93
1633743.33,27.47,2.03,233190.82,3.92
1633296.4,27.47,2.02,232574.71,3.91
1633278.24,27.47,2.02,232504.62,3.91
1634713.79,27.5,2.05,233327.94,3.92
1634447.81,27.5,2.05,233250.25,3.92
1634181.83,27.5,2.05,233245.08,3.92
1633975.64,27.5,2.05,233422.48,3.93
1633709.66,27.5,2.05,233344.79,3.93
1633709.66,27.5,2.05,233374.1,3.93
1633923.65,27.51,2.06,233354.31,3.93
1634095.16,27.51,2.06,233779.4,3.94
1634147.4,27.51,2.07,233726.68,3.94
1634147.86,27.51,2.07,233727.99,3.94
1633868.46,27.51,2.07,233654.68,3.93
1633671.3,27.52,2.07,234250.88,3.95
1633497.95,27.52,2.07,234054.36,3.94
1633120.47,27.51,2.07,233684.1,3.94
1632887.93,27.51,2.07,233680.14,3.94
1632251.01,27.51,2.06,232874.03,3.92
1631985.03,27.51,2.06,232867.19,3.92
1631538.1,27.5,2.06,232251.07,3.92
1631272.12,27.5,2.06,232175.06,3.91
1629187.68,27.51,2.06,232119.94,3.92
1628658.18,27.5,2.06,231582.25,3.91
1628451.98,27.5,2.06,231571.39,3.91
1628661.33,27.51,2.06,232305.21,3.92
1628455.13,27.51,2.06,232271.87,3.92
1628189.15,27.51,2.06,232265.03,3.92
1628360.65,27.51,2.07,232543.21,3.93
1627641.15,27.51,2.06,231815.52,3.92
1627139.54,27.5,2.06,231103.8,3.91
1627199.79,27.51,2.06,231088.17,3.91
1626993.6,27.51,2.06,231086.14,3.91
1626727.62,27.51,2.06,231335.68,3.91
1626461.64,27.51,2.06,231260.87,3.91
1626255.44,27.51,2.06,231186.66,3.91
1625989.46,27.51,2.06,231178.61,3.91
1625723.49,27.51,2.06,231103.81,3.91
1625236.01,27.5,2.06,230760.88,3.91
1624970.03,27.5,2.06,230752.83,3.91
1624592.55,27.5,2.05,230458.63,3.9
1625649.88,27.52,2.08,231780.41,3.92
1625649.88,27.52,2.08,231780.41,3.92
1625383.9,27.52,2.08,231773.76,3.92
1625383.9,27.52,2.08,231773.76,3.92
1625177.7,27.52,2.08,231702.76,3.92
1624911.72,27.52,2.08,231626.56,3.92
1624911.72,27.52,2.08,231626.56,3.92
1624705.53,27.53,2.08,231621.32,3.92
1624506.32,27.52,2.08,231531.25,3.92
1624240.34,27.52,2.08,231524.41,3.92
1623974.36,27.52,2.08,231448.4,3.92
1623974.36,27.52,2.08,231448.4,3.92
1623974.36,27.52,2.08,231448.4,3.92
1624150.99,27.53,2.08,231578.56,3.93
1623871.58,27.53,2.08,231331.79,3.92
1623412.0,27.53,2.08,230697.24,3.91
1623412.0,27.53,2.08,230725.08,3.91
1622692.49,27.52,2.07,229997.38,3.9
1622476.16,27.51,2.07,229726.08,3.9
1621756.65,27.51,2.06,228998.39,3.88
1621665.55,27.51,2.06,229461.41,3.89
1621386.15,27.51,2.06,229450.77,3.89
1621565.91,27.51,2.07,229441.63,3.89
1621462.93,27.52,2.07,229491.04,3.89
1620933.42,27.51,2.07,228953.35,3.89
1620993.67,27.52,2.07,229636.37,3.9
1620825.44,27.52,2.07,229664.2,3.9
1620626.23,27.52,2.07,229523.69,3.9
1620992.01,27.53,2.08,229745.04,3.9
1620737.01,27.53,2.08,229474.88,3.9
1621141.27,27.54,2.09,229916.87,3.91
1620568.38,27.53,2.09,229526.54,3.9
1620187.0,27.53,2.08,229221.92,3.89
1619811.27,27.52,2.08,228795.33,3.89
1619632.96,27.53,2.08,228161.03,3.88
1619426.76,27.53,2.08,228090.4,3.88
1619972.01,27.54,2.1,229582.04,3.9
1619803.78,27.54,2.1,229609.87,3.9
1619508.47,27.54,2.1,229330.06,3.9
1620043.66,27.55,2.11,229779.55,3.91
1619491.37,27.55,2.1,229190.74,3.9
1619473.21,27.55,2.11,229368.9,3.9
1619198.45,27.55,2.11,229178.87,3.9
1618656.55,27.55,2.1,228854.14,3.89
1618393.42,27.55,2.1,229508.23,3.91
1617857.21,27.54,2.1,228929.67,3.9
1617783.54,27.54,2.1,228621.59,3.89
1617470.43,27.54,2.1,228427.49,3.89
1617697.95,27.55,2.11,228511.88,3.89
1617491.75,27.55,2.11,228774.33,3.9
1617491.75,27.55,2.11,228774.33,3.9
1617491.75,27.55,2.11,228770.8,3.9
1617003.05,27.55,2.1,228370.96,3.89
1617003.05,27.55,2.1,228370.96,3.89
1616728.29,27.55,2.1,228309.75,3.89
1616728.29,27.55,2.1,228308.61,3.89
1616710.13,27.55,2.11,228405.0,3.89
1616430.73,27.55,2.11,228325.26,3.89
1616224.5,27.55,2.1,228129.65,3.89
1616027.34,27.55,2.11,228425.18,3.89
1615853.99,27.55,2.11,228227.94,3.89
1615835.83,27.55,2.11,228378.35,3.89
1615835.83,27.55,2.11,228378.35,3.89
1615561.08,27.55,2.11,228315.49,3.89
1615678.99,27.56,2.11,228548.27,3.9
1615466.98,27.56,2.12,228550.76,3.9
1615260.79,27.56,2.12,228479.93,3.9
1616626.31,27.58,2.14,230311.6,3.93
1616308.86,27.58,2.14,229986.0,3.92
1616102.66,27.58,2.14,229980.59,3.92
1615838.11,27.58,2.14,229953.45,3.93
1615838.11,27.58,2.14,229953.45,3.93
1615631.91,27.58,2.14,229951.28,3.93
1615367.35,27.58,2.14,229992.99,3.93
1614920.42,27.58,2.13,229376.87,3.92
1614714.23,27.58,2.13,229302.81,3.92
1614714.23,27.58,2.13,229302.81,3.92
1614508.03,27.58,2.13,229231.73,3.92
1614301.83,27.58,2.13,229226.57,3.92
1614095.63,27.58,2.13,229173.62,3.92
1613721.92,27.58,2.13,228810.54,3.91
1613515.72,27.58,2.13,228787.25,3.91
1613309.52,27.58,2.13,228785.23,3.91
1613291.36,27.58,2.13,228872.53,3.91
1613291.36,27.58,2.13,228872.53,3.91
1613085.16,27.59,2.13,228801.9,3.91
1613085.16,27.59,2.13,228801.9,3.91
1613085.16,27.59,2.13,228801.9,3.91
1612806.92,27.59,2.13,228802.81,3.91
1612600.47,27.58,2.13,228659.75,3.91
1612394.28,27.58,2.13,228654.15,3.91
1612188.08,27.59,2.13,228652.12,3.91
1612169.92,27.59,2.13,228739.43,3.91
1612169.92,27.59,2.13,228739.43,3.91
1612169.92,27.59,2.13,228739.43,3.91
1611703.5,27.59,2.13,227914.92,3.9
1611497.3,27.59,2.13,227912.89,3.9
1611733.01,27.59,2.14,228271.52,3.91
1611280.14,27.59,2.13,227636.98,3.9
1611073.94,27.59,2.13,227634.95,3.9
1610867.75,27.59,2.13,227560.74,3.9
1610603.19,27.59,2.13,227525.97,3.9
1610342.12,27.59,2.13,227750.38,3.9
1610239.14,27.59,2.14,227799.8,3.9
1610239.14,27.59,2.14,227760.76,3.9
1610745.79,27.61,2.15,229166.03,3.93
1610183.49,27.6,2.15,228243.08,3.91
1609977.29,27.6,2.15,228172.02,3.91
1609605.39,27.6,2.14,227809.18,3.91
1609399.19,27.6,2.14,227804.0,3.91
1608657.68,27.59,2.13,227105.36,3.9
1608657.68,27.59,2.13,227105.36,3.9
1608451.49,27.59,2.13,227103.33,3.9
1608433.33,27.6,2.14,227190.64,3.9
1608228.37,27.6,2.13,226979.42,3.89
1607995.83,27.6,2.14,226984.75,3.9
1607789.64,27.6,2.14,226931.8,3.9
1607583.44,27.6,2.14,226908.51,3.9
1607377.24,27.6,2.14,226906.49,3.9
1607604.76,27.61,2.14,227186.48,3.9
1607398.56,27.61,2.14,227115.84,3.9
1607192.37,27.61,2.14,227110.24,3.9
1606986.17,27.61,2.14,227108.07,3.9
1606779.97,27.61,2.14,227034.01,3.9
1606761.81,27.61,2.15,227130.4,3.9
1606497.25,27.61,2.15,227107.84,3.9
1606291.05,27.62,2.15,227096.73,3.9
1605295.19,27.6,2.13,226099.28,3.89
