ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
312,1695,269130,6212,269130
312,1695,270130,6212,270130
313,1697,270130,6212,270130
313,1697,271130,6212,271130
313,1697,271130,6212,271130
314,1705,272130,6212,272130
314,1705,273130,6212,273130
315,1709,273130,6212,273130
316,1711,273130,6212,273130
317,1719,281130,6212,281130
318,1721,282130,6212,282130
319,1723,283130,6212,283130
320,1725,283130,6212,283130
321,1733,284130,6212,284130
322,1735,284780,6212,284780
323,1743,292780,6212,292780
323,1743,293590,6212,293590
323,1743,294400,6212,294400
323,1743,294870,6212,294870
323,1743,295190,6212,295190
324,1751,296190,6212,296190
325,1759,296190,6212,296190
325,1759,297000,6212,297000
326,1767,297470,6212,297470
327,1775,298470,6212,298470
328,1779,298470,6212,298470
329,1781,298470,6212,298470
330,1789,298940,6212,298940
331,1797,299940,6212,299940
332,1799,300750,6212,300750
332,1799,301750,6212,301750
333,1801,302750,6212,302750
333,1801,303220,6212,303220
333,1801,303540,6212,303540
333,1801,303860,6212,303860
333,1801,304860,6212,304860
333,1801,304860,6212,304860
333,1801,305860,6212,305860
333,1801,306860,6212,306860
334,1809,307670,6212,307670
335,1811,308670,6212,308670
336,1819,309140,6212,309140
337,1823,310140,6212,310140
338,1831,310790,6212,310790
338,1831,311120,6212,311120
339,1835,311930,6212,311930
340,1843,312740,6212,312740
341,1851,313740,6212,313740
342,1853,314740,6212,314740
342,1853,315740,6212,315740
343,1861,315740,6212,315740
344,1863,316740,6212,316740
344,1863,317740,6212,317740
345,1871,317740,6212,317740
346,1873,318740,6212,318740
347,1877,318740,6212,318740
347,1877,319740,6212,319740
348,1885,319740,6212,319740
349,1889,320740,6212,320740
349,1889,320740,6212,320740
349,1889,321740,6212,321740
350,1897,322210,6212,322210
351,1899,323210,6212,323210
352,1907,324210,6212,324210
353,1915,325210,6212,325210
353,1915,325210,6212,325210
353,1915,326020,6212,326020
354,1923,326020,6212,326020
355,1931,327020,6212,327020
356,1935,327670,6212,327670
356,1935,328670,6212,328670
357,1937,329140,6212,329140
358,1939,329620,6212,329620
359,1941,329620,6212,329620
360,1943,330620,6212,330620
361,1951,331430,6212,331430
361,1951,332240,6212,332240
362,1959,333050,6212,333050
363,1967,334050,6212,334050
364,1975,334600,6212,334600
365,1983,335070,6212,335070
366,1991,336070,6212,336070
367,1999,337070,6212,337070
368,2001,338070,6212,338070
369,2009,338880,6212,338880
369,2009,339430,6212,339430
370,2011,339590,6212,339590
371,2013,340590,6212,340590
372,2015,341400,6212,341400
373,2017,342400,6212,342400
374,2019,342720,6212,342720
375,2027,343370,6212,343370
375,2027,344370,6212,344370
376,2035,344840,6212,344840
377,2037,345650,6212,345650
378,2041,345650,6212,345650
378,2041,346650,6212,346650
378,2041,347650,6212,347650
379,2049,348460,6212,348460
380,2051,349460,6212,349460
381,2059,350270,6212,350270
382,2061,351270,6212,351270
383,2069,351740,6212,351740
383,2069,352550,6212,352550
383,2069,353200,6212,353200
384,2073,353200,6212,353200
384,2073,354200,6212,354200
384,2073,355010,6212,355010
384,2073,355010,6212,355010
385,2081,356010,6212,356010
386,2083,356820,6212,356820
387,2091,356820,6212,356820
388,2093,357820,6212,357820
388,2093,358820,6212,358820
388,2093,359290,6212,359290
389,2095,359290,6212,359290
390,2097,360290,6212,360290
391,2099,361290,6212,361290
392,2107,361290,6212,361290
393,2115,362290,6212,362290
394,2117,363290,6212,363290
395,2119,363290,6212,363290
396,2121,363760,6212,363760
397,2129,364760,6212,364760
398,2131,365080,6212,365080
398,2131,365890,6212,365890
399,2133,366700,6212,366700
400,2141,367170,6212,367170
401,2143,368170,6212,368170
402,2147,368640,6212,368640
403,2155,368800,6212,368800
403,2155,369270,6212,369270
403,2155,369730,6212,369730
404,2163,370730,6212,370730
405,2165,371540,6212,371540
405,2165,372350,6212,372350
406,2167,372900,6212,372900
406,2167,373550,6212,373550
406,2167,374360,6212,374360
406,2167,375360,6212,375360
407,2175,375360,6212,375360
408,2183,376360,6212,376360
409,2191,377170,6212,377170
410,2199,378170,6212,378170
410,2199,378490,6212,378490
411,2201,379490,6212,379490
412,2203,379810,6212,379810
412,2203,380810,6212,380810
413,2211,380810,6212,380810
414,2213,381810,6212,381810
415,2221,382280,6212,382280
416,2229,382930,6212,382930
417,2237,382930,6212,382930
417,2237,382930,6212,382930
417,2237,382930,6212,382930
418,2239,382930,6212,382930
419,2247,383930,6212,383930
420,2255,384740,6212,384740
420,2255,385550,6212,385550
421,2257,386550,6212,386550
422,2259,387550,6212,387550
422,2259,387550,6212,387550
422,2259,388550,6212,388550
423,2263,389020,6212,389020
424,2271,389830,6212,389830
424,2271,389830,6212,389830
425,2279,390830,6212,390830
426,2287,391830,6212,391830
427,2289,392300,6212,392300
428,2297,393300,6212,393300
