ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
302,688,577030,6212,577030
303,690,578030,6212,578030
303,690,579030,6212,579030
304,692,580030,6212,580030
304,692,580500,6212,580500
305,694,581500,6212,581500
305,694,582150,6212,582150
306,696,583150,6212,583150
306,696,584150,6212,584150
307,698,584960,6212,584960
307,698,585430,6212,585430
307,698,585890,6212,585890
308,700,586890,6212,586890
308,700,587890,6212,587890
309,702,588890,6212,588890
309,702,589890,6212,589890
310,704,590700,6212,590700
310,704,591700,6212,591700
311,706,592700,6212,592700
311,706,593700,6212,593700
312,708,594510,6212,594510
312,708,595320,6212,595320
313,710,596130,6212,596130
313,710,597130,6212,597130
314,712,598130,6212,598130
314,712,598940,6212,598940
315,714,599940,6212,599940
315,714,600750,6212,600750
316,716,601340,6212,601340
316,716,602340,6212,602340
317,718,603340,6212,603340
317,718,603340,6212,603340
317,718,604340,6212,604340
317,718,604570,6212,604570
318,720,605380,6212,605380
318,720,606380,6212,606380
318,720,606850,6212,606850
318,720,607170,6212,607170
319,722,608170,6212,608170
319,722,608490,6212,608490
319,722,609300,6212,609300
320,724,610300,6212,610300
320,724,611300,6212,611300
321,726,611760,6212,611760
321,726,612760,6212,612760
322,728,613760,6212,613760
322,728,614230,6212,614230
322,728,615230,6212,615230
323,730,616230,6212,616230
323,730,617230,6212,617230
324,732,617780,6212,617780
324,732,618780,6212,618780
325,734,619780,6212,619780
325,734,620590,6212,620590
326,736,621590,6212,621590
326,736,622140,6212,622140
327,738,623140,6212,623140
327,738,623510,6212,623510
327,738,624510,6212,624510
328,740,625510,6212,625510
328,740,625830,6212,625830
328,740,626640,6212,626640
329,748,634640,6212,634640
330,750,635640,6212,635640
330,750,636640,6212,636640
331,752,637640,6212,637640
331,752,638640,6212,638640
332,754,639640,6212,639640
332,754,639870,6212,639870
332,754,640340,6212,640340
332,754,640570,6212,640570
333,756,641570,6212,641570
333,756,641890,6212,641890
333,756,642360,6212,642360
334,758,643360,6212,643360
334,758,644360,6212,644360
335,760,645170,6212,645170
335,760,645980,6212,645980
336,762,646980,6212,646980
336,762,647980,6212,647980
337,764,648980,6212,648980
337,764,649980,6212,649980
338,766,650980,6212,650980
338,766,650980,6212,650980
338,766,651980,6212,651980
339,768,652790,6212,652790
339,768,653600,6212,653600
339,768,654070,6212,654070
340,770,655070,6212,655070
340,770,656070,6212,656070
341,772,657070,6212,657070
341,772,657540,6212,657540
342,774,658540,6212,658540
342,774,659540,6212,659540
343,776,660540,6212,660540
343,776,661540,6212,661540
344,778,662540,6212,662540
344,778,662860,6212,662860
344,778,663670,6212,663670
345,780,664670,6212,664670
345,780,665670,6212,665670
346,782,666670,6212,666670
346,782,667670,6212,667670
347,784,668480,6212,668480
347,784,669480,6212,669480
348,786,670290,6212,670290
348,786,670610,6212,670610
348,786,671610,6212,671610
349,788,672260,6212,672260
349,788,673260,6212,673260
350,790,674260,6212,674260
350,790,675260,6212,675260
350,790,675580,6212,675580
