ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
117,302,243130,6212,243130
117,302,243130,6212,243130
117,302,243780,6212,243780
118,304,244590,6212,244590
119,312,252590,6212,252590
119,312,253590,6212,253590
120,314,254590,6212,254590
121,318,255590,6212,255590
122,320,256240,6212,256240
122,320,257240,6212,257240
122,320,257710,6212,257710
122,320,258710,6212,258710
122,320,259710,6212,259710
123,324,260710,6212,260710
124,326,261710,6212,261710
124,326,262710,6212,262710
124,326,262940,6212,262940
125,328,263940,6212,263940
125,328,264940,6212,264940
125,328,265750,6212,265750
125,328,266560,6212,266560
125,328,267030,6212,267030
126,330,268030,6212,268030
127,338,269030,6212,269030
127,338,270030,6212,270030
127,338,271030,6212,271030
127,338,271030,6212,271030
127,338,271580,6212,271580
127,338,272050,6212,272050
127,338,272700,6212,272700
127,338,272700,6212,272700
127,338,273700,6212,273700
127,338,274700,6212,274700
127,338,275510,6212,275510
127,338,275980,6212,275980
127,338,276980,6212,276980
128,340,277980,6212,277980
128,340,278980,6212,278980
128,340,279790,6212,279790
128,340,280790,6212,280790
129,348,288790,6212,288790
130,350,289600,6212,289600
130,350,290600,6212,290600
130,350,291150,6212,291150
130,350,292150,6212,292150
131,352,293150,6212,293150
132,354,293620,6212,293620
132,354,294620,6212,294620
132,354,295430,6212,295430
132,354,296080,6212,296080
133,356,297080,6212,297080
134,358,298080,6212,298080
134,358,299080,6212,299080
134,358,300080,6212,300080
135,360,301080,6212,301080
136,362,302080,6212,302080
136,362,303080,6212,303080
136,362,304080,6212,304080
136,362,304550,6212,304550
137,364,305550,6212,305550
137,364,305550,6212,305550
137,364,306550,6212,306550
137,364,306550,6212,306550
138,366,307550,6212,307550
139,368,308550,6212,308550
139,368,308550,6212,308550
139,368,309550,6212,309550
139,368,309780,6212,309780
140,376,310780,6212,310780
140,376,311780,6212,311780
140,376,311780,6212,311780
140,376,311780,6212,311780
140,376,312240,6212,312240
140,376,313240,6212,313240
141,378,314050,6212,314050
141,378,314050,6212,314050
141,378,315050,6212,315050
141,378,315270,6212,315270
141,378,316270,6212,316270
141,378,317080,6212,317080
141,378,318080,6212,318080
141,378,318540,6212,318540
141,378,319350,6212,319350
141,378,320160,6212,320160
142,380,320810,6212,320810
143,382,321810,6212,321810
143,382,322040,6212,322040
144,386,323040,6212,323040
144,386,324040,6212,324040
145,388,325040,6212,325040
145,388,326040,6212,326040
145,388,326510,6212,326510
145,388,326980,6212,326980
146,392,327980,6212,327980
146,392,328980,6212,328980
147,394,329980,6212,329980
147,394,330980,6212,330980
147,394,331300,6212,331300
148,396,332300,6212,332300
148,396,333110,6212,333110
148,396,333920,6212,333920
149,398,334920,6212,334920
149,398,335920,6212,335920
150,400,336920,6212,336920
150,400,337730,6212,337730
150,400,338540,6212,338540
151,408,339540,6212,339540
151,408,340010,6212,340010
151,408,341010,6212,341010
151,408,341010,6212,341010
151,408,341010,6212,341010
151,408,342010,6212,342010
151,408,342010,6212,342010
152,410,343010,6212,343010
152,410,343010,6212,343010
152,410,343820,6212,343820
153,414,344820,6212,344820
153,414,345050,6212,345050
153,414,346050,6212,346050
153,414,346860,6212,346860
153,414,347670,6212,347670
153,414,347670,6212,347670
