ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
68,278,243070,6212,243070
68,278,243070,6212,243070
68,278,243540,6212,243540
68,278,244350,6212,244350
68,278,244900,6212,244900
68,278,245220,6212,245220
68,278,246220,6212,246220
69,286,247220,6212,247220
69,286,248220,6212,248220
69,286,248680,6212,248680
69,286,249490,6212,249490
69,286,250490,6212,250490
69,286,251490,6212,251490
69,286,252140,6212,252140
69,286,252950,6212,252950
70,294,253950,6212,253950
70,294,254760,6212,254760
70,294,255080,6212,255080
70,294,255080,6212,255080
70,294,256080,6212,256080
70,294,256890,6212,256890
70,294,257540,6212,257540
70,294,258540,6212,258540
70,294,258770,6212,258770
70,294,259240,6212,259240
70,294,259240,6212,259240
70,294,259240,6212,259240
70,294,259470,6212,259470
70,294,260280,6212,260280
70,294,260280,6212,260280
70,294,260740,6212,260740
70,294,261210,6212,261210
71,302,262020,6212,262020
71,302,263020,6212,263020
71,302,264020,6212,264020
71,302,264250,6212,264250
71,302,264900,6212,264900
71,302,264900,6212,264900
71,302,265550,6212,265550
71,302,266550,6212,266550
71,302,266550,6212,266550
71,302,267550,6212,267550
71,302,268550,6212,268550
72,310,269360,6212,269360
