ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
841400.42,14.01,0.41,186665.89,3.11
841584.13,14.01,0.42,186667.19,3.11
841584.13,14.01,0.42,186667.19,3.11
841448.17,14.01,0.42,186665.89,3.11
841448.17,14.01,0.42,186689.22,3.11
841499.87,14.02,0.42,186689.22,3.11
841363.91,14.02,0.42,186689.22,3.11
841227.95,14.02,0.42,187141.22,3.12
841279.64,14.02,0.42,187367.01,3.12
841331.33,14.02,0.43,187876.16,3.13
841025.55,14.02,0.42,187569.13,3.13
841025.55,14.02,0.42,187569.13,3.13
841025.55,14.02,0.42,187569.13,3.13
841077.24,14.02,0.43,187569.31,3.13
840941.28,14.02,0.43,187568.93,3.13
840651.61,14.02,0.42,187442.16,3.13
840986.14,14.02,0.43,187442.16,3.13
841037.84,14.03,0.43,187455.97,3.13
840901.88,14.03,0.43,187447.83,3.13
840760.19,14.03,0.43,187442.16,3.13
840624.23,14.03,0.43,187975.17,3.14
840624.23,14.03,0.43,187975.17,3.14
840893.05,14.03,0.44,188106.05,3.14
840893.05,14.03,0.44,188106.05,3.14
840694.25,14.03,0.43,187518.33,3.13
840558.29,14.03,0.43,188358.57,3.14
840422.33,14.03,0.43,188358.83,3.14
840286.37,14.03,0.43,188255.66,3.14
840150.41,14.03,0.43,188255.47,3.14
840150.41,14.03,0.43,188301.04,3.14
840150.41,14.03,0.43,188255.47,3.14
839992.76,14.03,0.43,188085.01,3.14
839856.8,14.03,0.43,188085.01,3.14
839522.01,14.02,0.43,187746.56,3.14
839790.84,14.03,0.43,187804.52,3.14
839654.88,14.03,0.43,187778.02,3.14
839544.88,14.03,0.43,187668.02,3.14
839596.57,14.03,0.43,187660.72,3.14
839251.78,14.02,0.43,187637.5,3.14
839115.82,14.02,0.43,188280.59,3.15
839299.54,14.03,0.43,188280.4,3.15
839358.7,14.03,0.44,187707.66,3.14
839215.27,14.03,0.44,188074.35,3.14
839215.27,14.03,0.44,188122.57,3.15
839266.96,14.03,0.44,188122.57,3.15
839535.79,14.04,0.44,188122.57,3.15
839587.48,14.04,0.45,188154.02,3.15
839587.48,14.04,0.45,188148.41,3.15
839771.19,14.05,0.45,188128.6,3.15
839822.88,14.05,0.45,188123.32,3.15
839874.57,14.05,0.46,188116.96,3.15
839926.27,14.06,0.46,190095.92,3.18
839790.31,14.06,0.46,190061.75,3.18
839600.63,14.05,0.46,189313.25,3.17
839464.67,14.05,0.46,189244.51,3.17
839648.39,14.06,0.46,189244.32,3.17
839512.43,14.06,0.46,189244.32,3.17
839512.43,14.06,0.46,189151.04,3.17
839222.75,14.05,0.46,189411.57,3.17
839222.75,14.05,0.46,189411.57,3.17
839086.79,14.05,0.46,189411.57,3.17
839270.51,14.06,0.46,189660.64,3.18
839454.22,14.06,0.47,189605.55,3.18
839164.55,14.06,0.46,189411.57,3.17
839164.55,14.06,0.46,189411.57,3.17
838819.76,14.05,0.46,189056.07,3.17
838871.45,14.06,0.46,189970.51,3.18
839143.49,14.06,0.47,189706.86,3.18
838861.28,14.06,0.46,189147.92,3.17
838717.86,14.06,0.46,190074.96,3.19
838581.9,14.06,0.46,190074.76,3.19
838445.94,14.06,0.46,190074.76,3.19
838722.4,14.06,0.47,190085.48,3.19
838774.09,14.07,0.47,190081.98,3.19
838638.13,14.07,0.47,190074.76,3.19
838502.17,14.07,0.47,190505.88,3.2
838685.89,14.07,0.48,190612.65,3.2
838737.58,14.08,0.48,190919.47,3.2
838601.62,14.08,0.48,190919.47,3.2
838653.31,14.08,0.48,190919.47,3.2
838371.06,14.07,0.48,190608.77,3.2
838371.06,14.07,0.48,190711.76,3.2
838235.1,14.07,0.48,190711.76,3.2
838286.79,14.08,0.48,190712.63,3.2
838470.5,14.08,0.49,190711.76,3.2
838334.54,14.08,0.49,190711.76,3.2
838134.87,14.08,0.48,190797.49,3.2
837793.96,14.07,0.48,190432.28,3.2
837793.96,14.07,0.48,190432.28,3.2
837793.96,14.07,0.48,190354.8,3.2
837594.29,14.07,0.48,190663.39,3.2
837645.98,14.07,0.48,190938.51,3.21
837645.98,14.07,0.48,191020.88,3.21
837922.44,14.08,0.48,191209.35,3.21
837580.02,14.08,0.48,191183.98,3.21
837631.71,14.08,0.48,191183.98,3.21
837495.76,14.08,0.48,191183.98,3.21
837359.8,14.08,0.48,191183.98,3.21
837756.6,14.09,0.49,191183.98,3.21
837343.84,14.08,0.48,191183.98,3.21
837343.84,14.08,0.48,191183.98,3.21
837527.55,14.08,0.49,191238.91,3.22
837391.59,14.08,0.49,191184.16,3.22
837391.59,14.08,0.49,191184.16,3.22
837255.63,14.08,0.49,191183.98,3.22
837119.67,14.08,0.49,191800.92,3.23
837171.36,14.09,0.49,191801.1,3.23
837223.05,14.09,0.49,191800.73,3.23
837491.88,14.1,0.5,191800.73,3.23
837147.09,14.09,0.5,191815.21,3.23
837198.78,14.09,0.5,191808.78,3.23
837062.82,14.09,0.5,191805.79,3.23
837246.54,14.1,0.5,191800.73,3.23
837110.58,14.1,0.5,192710.08,3.25
837379.4,14.1,0.51,193064.39,3.25
837034.62,14.1,0.5,192648.05,3.25
837086.31,14.1,0.51,192648.23,3.25
836950.35,14.1,0.51,192647.85,3.25
837002.04,14.11,0.51,192647.85,3.25
837002.04,14.11,0.51,192552.52,3.24
836866.08,14.11,0.51,192565.52,3.25
836730.12,14.11,0.51,192559.27,3.25
836998.95,14.11,0.52,192552.52,3.25
836654.16,14.11,0.51,193021.13,3.25
836654.16,14.11,0.51,192985.49,3.25
836496.51,14.1,0.51,192838.15,3.25
836360.55,14.1,0.51,192824.79,3.25
836360.55,14.1,0.51,192952.59,3.25
836224.59,14.1,0.51,192934.57,3.25
836088.63,14.1,0.51,192914.96,3.25
835798.96,14.1,0.5,192587.58,3.25
835663.0,14.1,0.5,192504.29,3.25
835527.04,14.1,0.5,192504.1,3.25
835578.73,14.1,0.51,192504.1,3.25
835442.77,14.1,0.51,192504.1,3.25
835711.6,14.11,0.51,192518.25,3.25
835763.29,14.11,0.52,192513.34,3.25
835418.5,14.11,0.51,192509.85,3.25
835282.54,14.11,0.51,192504.1,3.25
835124.89,14.11,0.51,192346.73,3.25
834988.93,14.11,0.51,192915.46,3.26
834852.97,14.11,0.51,192737.9,3.26
834717.01,14.11,0.51,192738.17,3.26
834581.05,14.11,0.51,192634.99,3.26
834474.16,14.1,0.51,192536.48,3.25
834474.16,14.1,0.51,192584.22,3.25
834338.2,14.1,0.51,192584.22,3.26
834138.53,14.1,0.51,192542.89,3.25
834138.53,14.1,0.51,192542.89,3.25
834190.22,14.1,0.51,192542.89,3.26
834425.99,14.11,0.51,193082.79,3.26
834702.45,14.12,0.52,193505.06,3.27
834566.49,14.12,0.52,193505.33,3.27
834430.53,14.12,0.52,193402.16,3.27
