ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
257,638,448900,6212,448900
257,638,449490,6212,449490
258,640,450490,6212,450490
258,640,450810,6212,450810
258,640,450810,6212,450810
258,640,451130,6212,451130
258,640,452130,6212,452130
259,642,453130,6212,453130
259,642,453130,6212,453130
259,642,453130,6212,453130
260,644,455130,6212,455130
260,644,455600,6212,455600
260,644,456070,6212,456070
260,644,456070,6212,456070
261,646,456540,6212,456540
262,654,456540,6212,456540
262,654,457540,6212,457540
262,654,458010,6212,458010
263,656,458480,6212,458480
263,656,458480,6212,458480
263,656,458480,6212,458480
263,656,459480,6212,459480
263,656,459480,6212,459480
263,656,459480,6212,459480
263,656,459710,6212,459710
264,658,460710,6212,460710
264,658,461710,6212,461710
264,658,461710,6212,461710
265,660,462710,6212,462710
266,668,462710,6212,462710
266,668,463180,6212,463180
266,668,463180,6212,463180
266,668,463340,6212,463340
267,670,464340,6212,464340
267,670,464340,6212,464340
268,672,465340,6212,465340
268,672,465810,6212,465810
268,672,466810,6212,466810
269,674,467810,6212,467810
269,674,468810,6212,468810
270,676,469810,6212,469810
270,676,470460,6212,470460
270,676,470460,6212,470460
270,676,470460,6212,470460
270,676,471460,6212,471460
271,678,472460,6212,472460
272,686,472460,6212,472460
272,686,472460,6212,472460
272,686,473460,6212,473460
273,688,474460,6212,474460
273,688,475270,6212,475270
274,690,476270,6212,476270
274,690,477270,6212,477270
274,690,477270,6212,477270
275,692,478270,6212,478270
275,692,479270,6212,479270
276,694,479740,6212,479740
277,696,480740,6212,480740
277,696,481740,6212,481740
278,698,482740,6212,482740
278,698,483740,6212,483740
278,698,483740,6212,483740
278,698,484550,6212,484550
279,706,484550,6212,484550
280,708,485550,6212,485550
280,708,485710,6212,485710
280,708,486710,6212,486710
281,710,487710,6212,487710
282,712,488180,6212,488180
282,712,489180,6212,489180
283,714,490180,6212,490180
283,714,491180,6212,491180
283,714,491650,6212,491650
283,714,491970,6212,491970
284,716,492970,6212,492970
284,716,493290,6212,493290
284,716,494290,6212,494290
284,716,494290,6212,494290
285,718,495290,6212,495290
286,720,496290,6212,496290
