ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
167,382,333660,6212,333660
167,382,334660,6212,334660
168,384,335660,6212,335660
168,384,336660,6212,336660
169,386,337660,6212,337660
169,386,338660,6212,338660
170,388,339660,6212,339660
170,388,339660,6212,339660
170,388,340660,6212,340660
171,390,341660,6212,341660
171,390,342470,6212,342470
171,390,342840,6212,342840
171,390,343000,6212,343000
171,390,344000,6212,344000
172,392,345000,6212,345000
172,392,346000,6212,346000
172,392,346230,6212,346230
172,392,346230,6212,346230
172,392,346550,6212,346550
172,392,347550,6212,347550
173,394,348550,6212,348550
173,394,349550,6212,349550
174,396,350550,6212,350550
175,398,351010,6212,351010
176,402,355010,6212,355010
176,402,356010,6212,356010
177,404,357010,6212,357010
177,404,357480,6212,357480
178,406,358070,6212,358070
178,406,358540,6212,358540
178,406,359540,6212,359540
179,408,360540,6212,360540
179,408,361540,6212,361540
180,410,362540,6212,362540
180,410,362860,6212,362860
180,410,363860,6212,363860
181,412,364670,6212,364670
181,412,364900,6212,364900
182,414,365900,6212,365900
182,414,366710,6212,366710
182,414,367180,6212,367180
183,416,367650,6212,367650
183,416,368650,6212,368650
183,416,368650,6212,368650
184,418,369650,6212,369650
184,418,370300,6212,370300
184,418,370770,6212,370770
185,420,371580,6212,371580
