ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
229,520,414320,6212,414320
229,520,414320,6212,414320
229,520,414800,6212,414800
229,520,414800,6212,414800
229,520,414800,6212,414800
230,522,415800,6212,415800
230,522,415800,6212,415800
230,522,416800,6212,416800
230,522,416800,6212,416800
230,522,416800,6212,416800
230,522,417120,6212,417120
230,522,417120,6212,417120
231,524,418120,6212,418120
232,532,418120,6212,418120
232,532,418120,6212,418120
233,534,419120,6212,419120
233,534,419930,6212,419930
233,534,419930,6212,419930
233,534,420740,6212,420740
234,536,421740,6212,421740
234,536,422210,6212,422210
235,538,422680,6212,422680
235,538,423160,6212,423160
235,538,424160,6212,424160
235,538,424480,6212,424480
235,538,424480,6212,424480
235,538,424480,6212,424480
236,540,425480,6212,425480
236,540,426480,6212,426480
237,542,427480,6212,427480
237,542,428480,6212,428480
237,542,428480,6212,428480
237,542,428800,6212,428800
237,542,429260,6212,429260
238,544,429730,6212,429730
238,544,429730,6212,429730
238,544,430730,6212,430730
238,544,431730,6212,431730
238,544,431950,6212,431950
239,546,432950,6212,432950
239,546,432950,6212,432950
239,546,432950,6212,432950
240,554,432950,6212,432950
240,554,433420,6212,433420
240,554,434230,6212,434230
240,554,434340,6212,434340
241,556,435340,6212,435340
241,556,436340,6212,436340
242,558,436690,6212,436690
242,558,436850,6212,436850
242,558,437850,6212,437850
242,558,438170,6212,438170
243,560,439170,6212,439170
243,560,439170,6212,439170
243,560,440170,6212,440170
243,560,440400,6212,440400
244,562,441400,6212,441400
244,562,442400,6212,442400
245,564,443210,6212,443210
245,564,443680,6212,443680
246,566,444680,6212,444680
246,566,444680,6212,444680
246,566,444680,6212,444680
246,566,445150,6212,445150
246,566,445620,6212,445620
247,568,446620,6212,446620
247,568,447430,6212,447430
248,570,448430,6212,448430
249,572,449430,6212,449430
249,572,450430,6212,450430
250,574,451430,6212,451430
250,574,451430,6212,451430
250,574,452430,6212,452430
250,574,452430,6212,452430
250,574,452750,6212,452750
251,576,453750,6212,453750
251,576,453980,6212,453980
252,578,454980,6212,454980
252,578,455980,6212,455980
253,580,456980,6212,456980
254,588,456980,6212,456980
254,588,457980,6212,457980
255,590,458980,6212,458980
255,590,459450,6212,459450
255,590,459450,6212,459450
256,592,460450,6212,460450
256,592,460450,6212,460450
256,592,461450,6212,461450
256,592,462450,6212,462450
257,594,463450,6212,463450
257,594,464450,6212,464450
258,596,465260,6212,465260
258,596,465580,6212,465580
258,596,465580,6212,465580
258,596,465580,6212,465580
258,596,465800,6212,465800
258,596,466610,6212,466610
259,598,467610,6212,467610
259,598,467610,6212,467610
260,600,468080,6212,468080
260,600,469080,6212,469080
260,600,469550,6212,469550
261,602,470550,6212,470550
261,602,471020,6212,471020
262,604,472020,6212,472020
262,604,473020,6212,473020
262,604,473020,6212,473020
262,604,473490,6212,473490
263,606,474490,6212,474490
263,606,475300,6212,475300
263,606,475300,6212,475300
264,608,475780,6212,475780
264,608,476780,6212,476780
265,610,477430,6212,477430
265,610,478430,6212,478430
266,612,479430,6212,479430
266,612,480240,6212,480240
267,614,481050,6212,481050
267,614,482050,6212,482050
267,614,482050,6212,482050
268,616,482520,6212,482520
268,616,483520,6212,483520
269,618,484330,6212,484330
269,618,484330,6212,484330
269,618,484330,6212,484330
269,618,484330,6212,484330
269,618,484330,6212,484330
269,618,485330,6212,485330
269,618,485330,6212,485330
270,620,486330,6212,486330
270,620,487330,6212,487330
270,620,487330,6212,487330
270,620,487800,6212,487800
271,622,488800,6212,488800
271,622,489800,6212,489800
272,624,490800,6212,490800
273,626,491610,6212,491610
273,626,491610,6212,491610
273,626,491610,6212,491610
273,626,492200,6212,492200
274,628,493200,6212,493200
274,628,493200,6212,493200
274,628,493200,6212,493200
274,628,494200,6212,494200
275,630,495200,6212,495200
275,630,496200,6212,496200
276,632,497010,6212,497010
276,632,497820,6212,497820
276,632,497820,6212,497820
276,632,498140,6212,498140
277,634,499140,6212,499140
277,634,499950,6212,499950
277,634,499950,6212,499950
277,634,499950,6212,499950
278,636,500420,6212,500420
278,636,501230,6212,501230
278,636,501700,6212,501700
278,636,501700,6212,501700
279,638,502700,6212,502700
279,638,503510,6212,503510
280,640,503980,6212,503980
281,642,505980,6212,505980
281,642,506790,6212,506790
281,642,507110,6212,507110
282,644,507920,6212,507920
283,646,508920,6212,508920
283,646,509920,6212,509920
283,646,510920,6212,510920
284,648,511730,6212,511730
284,648,512100,6212,512100
284,648,512570,6212,512570
284,648,512570,6212,512570
285,650,513570,6212,513570
285,650,514570,6212,514570
286,652,515380,6212,515380
286,652,516190,6212,516190
287,654,517190,6212,517190
288,662,517190,6212,517190
288,662,518000,6212,518000
288,662,518000,6212,518000
289,664,519000,6212,519000
289,664,519000,6212,519000
289,664,519810,6212,519810
290,666,520810,6212,520810
290,666,521040,6212,521040
291,668,521850,6212,521850
291,668,522850,6212,522850
292,670,523850,6212,523850
293,672,524850,6212,524850
293,672,525850,6212,525850
294,674,526850,6212,526850
294,674,526850,6212,526850
294,674,527660,6212,527660
294,674,528130,6212,528130
294,674,528600,6212,528600
295,676,529600,6212,529600
295,676,530600,6212,530600
295,676,530830,6212,530830
296,678,531830,6212,531830
296,678,532640,6212,532640
296,678,532640,6212,532640
297,680,533450,6212,533450
297,680,534260,6212,534260
298,682,535260,6212,535260
298,682,535730,6212,535730
299,684,536730,6212,536730
299,684,537730,6212,537730
300,686,538380,6212,538380
300,686,539380,6212,539380
301,688,540380,6212,540380
301,688,540840,6212,540840
301,688,540840,6212,540840
301,688,541840,6212,541840
302,690,542840,6212,542840
302,690,543390,6212,543390
302,690,543620,6212,543620
303,692,544620,6212,544620
303,692,545620,6212,545620
304,694,546620,6212,546620
304,694,547620,6212,547620
305,696,548620,6212,548620
306,698,549620,6212,549620
306,698,549620,6212,549620
306,698,549940,6212,549940
306,698,550940,6212,550940
307,700,551750,6212,551750
307,700,552750,6212,552750
308,702,553750,6212,553750
308,702,554070,6212,554070
308,702,554070,6212,554070
309,710,554070,6212,554070
309,710,554070,6212,554070
309,710,554070,6212,554070
309,710,554390,6212,554390
309,710,554390,6212,554390
310,712,555390,6212,555390
310,712,556390,6212,556390
310,712,556390,6212,556390
311,714,556860,6212,556860
311,714,557180,6212,557180
311,714,557180,6212,557180
311,714,558180,6212,558180
312,722,558180,6212,558180
312,722,558650,6212,558650
312,722,558650,6212,558650
312,722,558650,6212,558650
312,722,558650,6212,558650
313,724,559650,6212,559650
313,724,559650,6212,559650
313,724,560240,6212,560240
314,726,561050,6212,561050
314,726,561050,6212,561050
314,726,562050,6212,562050
315,728,562520,6212,562520
315,728,562520,6212,562520
315,728,563520,6212,563520
316,730,564520,6212,564520
316,730,565520,6212,565520
317,732,566330,6212,566330
317,732,567140,6212,567140
318,734,567950,6212,567950
318,734,568950,6212,568950
318,734,568950,6212,568950
319,736,569760,6212,569760
319,736,570220,6212,570220
319,736,570440,6212,570440
320,738,571440,6212,571440
320,738,572440,6212,572440
320,738,572760,6212,572760
321,740,573760,6212,573760
321,740,574220,6212,574220
321,740,574870,6212,574870
322,742,575870,6212,575870
323,750,575870,6212,575870
323,750,576870,6212,576870
324,752,577330,6212,577330
325,754,577800,6212,577800
325,754,578800,6212,578800
325,754,578800,6212,578800
326,756,579800,6212,579800
326,756,580800,6212,580800
327,758,581450,6212,581450
327,758,582450,6212,582450
327,758,583450,6212,583450
328,760,584450,6212,584450
328,760,584920,6212,584920
328,760,585920,6212,585920
329,762,586920,6212,586920
329,762,587390,6212,587390
330,764,588390,6212,588390
330,764,588390,6212,588390
330,764,589200,6212,589200
331,766,590200,6212,590200
331,766,591200,6212,591200
332,768,592010,6212,592010
332,768,592010,6212,592010
332,768,593010,6212,593010
332,768,593480,6212,593480
332,768,593940,6212,593940
333,770,594940,6212,594940
333,770,595410,6212,595410
333,770,595880,6212,595880
334,772,596880,6212,596880
334,772,596880,6212,596880
334,772,597350,6212,597350
335,774,598350,6212,598350
336,782,598350,6212,598350
337,784,599350,6212,599350
337,784,600160,6212,600160
337,784,600320,6212,600320
337,784,601320,6212,601320
338,786,602130,6212,602130
338,786,603130,6212,603130
338,786,603130,6212,603130
339,788,604130,6212,604130
339,788,605130,6212,605130
340,790,606130,6212,606130
340,790,607130,6212,607130
340,790,607130,6212,607130
340,790,607130,6212,607130
341,792,608130,6212,608130
341,792,608600,6212,608600
341,792,609600,6212,609600
342,794,610600,6212,610600
342,794,611410,6212,611410
343,796,612410,6212,612410
343,796,612410,6212,612410
344,798,612880,6212,612880
344,798,613880,6212,613880
345,800,614880,6212,614880
345,800,615880,6212,615880
345,800,615880,6212,615880
345,800,616880,6212,616880
346,802,617880,6212,617880
346,802,617880,6212,617880
346,802,618530,6212,618530
346,802,618990,6212,618990
347,804,619460,6212,619460
347,804,620270,6212,620270
348,806,621270,6212,621270
348,806,621500,6212,621500
348,806,621970,6212,621970
348,806,621970,6212,621970
348,806,621970,6212,621970
348,806,622200,6212,622200
348,806,623200,6212,623200
349,808,624010,6212,624010
349,808,624480,6212,624480
349,808,624950,6212,624950
350,810,625760,6212,625760
350,810,626230,6212,626230
351,812,627230,6212,627230
351,812,628230,6212,628230
352,814,629230,6212,629230
352,814,630040,6212,630040
353,816,630850,6212,630850
354,818,631850,6212,631850
354,818,632660,6212,632660
354,818,633660,6212,633660
355,820,634660,6212,634660
355,820,634880,6212,634880
355,820,634880,6212,634880
356,822,635880,6212,635880
356,822,636880,6212,636880
357,830,636880,6212,636880
358,832,637880,6212,637880
358,832,638690,6212,638690
358,832,639690,6212,639690
359,834,640340,6212,640340
360,836,641340,6212,641340
360,836,642340,6212,642340
360,836,642660,6212,642660
361,838,643470,6212,643470
361,838,643940,6212,643940
