ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
117,270,205730,6212,205730
117,270,206540,6212,206540
117,270,207350,6212,207350
117,270,207350,6212,207350
117,270,208350,6212,208350
118,272,209350,6212,209350
118,272,209580,6212,209580
119,274,211580,6212,211580
119,274,211580,6212,211580
119,274,212390,6212,212390
119,274,212390,6212,212390
119,274,213390,6212,213390
120,282,214390,6212,214390
120,282,215200,6212,215200
120,282,216200,6212,216200
120,282,217200,6212,217200
120,282,218200,6212,218200
121,284,219010,6212,219010
121,284,219330,6212,219330
122,286,220140,6212,220140
122,286,221140,6212,221140
122,286,222140,6212,222140
122,286,222140,6212,222140
122,286,223140,6212,223140
122,286,223790,6212,223790
122,286,223790,6212,223790
123,288,224790,6212,224790
124,292,226790,6212,226790
124,292,227020,6212,227020
124,292,227490,6212,227490
124,292,228490,6212,228490
124,292,229300,6212,229300
125,294,230300,6212,230300
125,294,231300,6212,231300
126,296,232300,6212,232300
126,296,233110,6212,233110
126,296,233110,6212,233110
126,296,233920,6212,233920
126,296,234510,6212,234510
127,298,234830,6212,234830
127,298,235830,6212,235830
128,306,235830,6212,235830
128,306,235830,6212,235830
129,308,236300,6212,236300
129,308,237110,6212,237110
129,308,237110,6212,237110
130,310,238110,6212,238110
130,310,238340,6212,238340
131,312,239340,6212,239340
132,320,240340,6212,240340
132,320,241340,6212,241340
132,320,241340,6212,241340
132,320,241660,6212,241660
132,320,242130,6212,242130
132,320,243130,6212,243130
132,320,243130,6212,243130
