ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
2149758.46,36.21,0.86,206766.11,3.48
2149577.24,36.21,0.86,206758.92,3.48
2149661.47,36.21,0.87,206805.97,3.48
2149291.7,36.21,0.87,206767.25,3.48
2148921.92,36.21,0.87,206752.98,3.48
2148552.15,36.21,0.87,207232.25,3.49
2148370.93,36.22,0.87,207495.29,3.5
2147989.16,36.22,0.87,207672.86,3.5
2144793.49,36.21,0.87,207631.29,3.51
2144220.59,36.21,0.87,207126.79,3.5
2143975.75,36.21,0.87,207078.0,3.5
2144145.83,36.21,0.87,207480.27,3.5
2143900.99,36.22,0.87,207431.17,3.5
2143656.16,36.22,0.87,207427.77,3.5
2144145.39,36.23,0.88,207721.45,3.51
2143900.55,36.23,0.88,207672.44,3.51
2143330.57,36.23,0.88,207177.61,3.5
2143410.35,36.23,0.88,207487.88,3.51
2143058.26,36.23,0.88,207377.15,3.51
2142813.42,36.23,0.88,207328.29,3.51
2142568.58,36.24,0.88,207324.65,3.51
2142323.75,36.24,0.88,207275.79,3.51
2141912.28,36.24,0.88,207063.55,3.5
2141549.09,36.24,0.88,207025.77,3.5
2141304.26,36.24,0.88,207022.13,3.5
2141545.35,36.25,0.89,207332.28,3.51
2141151.35,36.24,0.89,206968.44,3.5
2140906.51,36.25,0.89,206919.3,3.5
2140907.96,36.25,0.89,206926.14,3.5
2140663.12,36.25,0.89,206922.79,3.5
2140663.12,36.25,0.89,206877.64,3.5
2140418.28,36.25,0.89,206828.54,3.5
2140124.79,36.25,0.89,206221.6,3.49
2140341.62,36.26,0.9,206387.72,3.5
2139591.47,36.25,0.89,205730.37,3.49
2139386.64,36.25,0.89,205522.1,3.48
2139141.81,36.25,0.89,205518.69,3.48
2138896.97,36.25,0.89,205469.55,3.48
2143433.88,36.33,0.96,212808.25,3.61
2143433.88,36.33,0.96,212808.25,3.61
2143565.78,36.33,0.97,213211.18,3.61
2143737.18,36.34,0.98,214090.5,3.63
2143680.47,36.35,0.98,214270.99,3.63
2143680.47,36.35,0.98,214270.99,3.63
2143435.64,36.35,0.98,214221.98,3.63
2143242.94,36.35,0.98,214030.64,3.63
2142998.1,36.35,0.98,214027.14,3.63
2142558.47,36.35,0.98,213856.58,3.63
2142313.64,36.35,0.98,213807.79,3.63
2141911.45,36.34,0.97,213403.81,3.62
2141322.97,36.34,0.97,212817.31,3.61
2141266.27,36.34,0.97,212997.05,3.62
2141346.05,36.35,0.98,213006.34,3.62
2141101.21,36.35,0.98,213220.01,3.62
2140878.99,36.35,0.97,213004.54,3.62
2140634.15,36.35,0.97,212955.44,3.62
2140389.31,36.35,0.97,212952.04,3.62
2140361.3,36.36,0.98,212778.45,3.61
2139598.4,36.35,0.97,212058.37,3.6
2139787.66,36.36,0.98,212115.28,3.6
2139413.56,36.35,0.97,212009.42,3.6
2139168.72,36.36,0.97,212065.87,3.6
2138923.89,36.36,0.97,212017.0,3.6
2138580.96,36.36,0.97,212020.36,3.6
2138790.05,36.37,0.98,212126.69,3.61
2138495.43,36.36,0.98,211881.23,3.6
2138125.66,36.36,0.98,211857.41,3.6
