ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
322,850,801000,6212,801000
322,850,801810,6212,801810
323,852,802810,6212,802810
323,852,803810,6212,803810
323,852,803810,6212,803810
323,852,803810,6212,803810
324,860,811810,6212,811810
324,860,812130,6212,812130
324,860,812450,6212,812450
324,860,812770,6212,812770
324,860,813090,6212,813090
325,862,813900,6212,813900
325,862,814370,6212,814370
326,864,815370,6212,815370
327,868,819370,6212,819370
327,868,820370,6212,820370
328,870,821370,6212,821370
328,870,822370,6212,822370
328,870,822920,6212,822920
329,872,823570,6212,823570
329,872,823890,6212,823890
329,872,824890,6212,824890
330,874,825890,6212,825890
330,874,826890,6212,826890
331,876,827890,6212,827890
331,876,827890,6212,827890
331,876,828700,6212,828700
332,878,829170,6212,829170
332,878,829170,6212,829170
332,878,829400,6212,829400
332,878,830400,6212,830400
333,880,831400,6212,831400
333,880,831630,6212,831630
333,880,832630,6212,832630
334,888,840630,6212,840630
334,888,840630,6212,840630
335,890,841000,6212,841000
335,890,842000,6212,842000
335,890,842000,6212,842000
336,892,843000,6212,843000
336,892,844000,6212,844000
336,892,844470,6212,844470
337,894,844940,6212,844940
337,894,845750,6212,845750
338,896,846560,6212,846560
338,896,847560,6212,847560
339,898,848560,6212,848560
339,898,849560,6212,849560
340,900,850560,6212,850560
340,900,851560,6212,851560
341,902,852370,6212,852370
341,902,853020,6212,853020
342,904,853670,6212,853670
342,904,854140,6212,854140
342,904,854730,6212,854730
343,906,855200,6212,855200
343,906,856200,6212,856200
344,908,856790,6212,856790
344,908,856790,6212,856790
344,908,857790,6212,857790
345,910,858790,6212,858790
345,910,858790,6212,858790
345,910,859790,6212,859790
345,910,859790,6212,859790
346,912,860790,6212,860790
346,912,861790,6212,861790
347,914,862600,6212,862600
347,914,863070,6212,863070
347,914,863720,6212,863720
347,914,863720,6212,863720
348,916,864720,6212,864720
348,916,865040,6212,865040
348,916,865040,6212,865040
348,916,865360,6212,865360
349,918,867360,6212,867360
349,918,867360,6212,867360
349,918,867360,6212,867360
349,918,867360,6212,867360
349,918,868360,6212,868360
350,920,868830,6212,868830
350,920,869640,6212,869640
351,922,870230,6212,870230
351,922,871230,6212,871230
352,924,871820,6212,871820
352,924,872630,6212,872630
353,926,873630,6212,873630
353,926,874630,6212,874630
353,926,874790,6212,874790
353,926,875250,6212,875250
354,928,876250,6212,876250
354,928,876570,6212,876570
354,928,877570,6212,877570
355,930,878570,6212,878570
355,930,879570,6212,879570
356,932,881570,6212,881570
357,934,882570,6212,882570
358,936,883570,6212,883570
358,936,883890,6212,883890
358,936,884890,6212,884890
359,944,892890,6212,892890
360,952,900890,6212,900890
360,952,901700,6212,901700
361,954,902700,6212,902700
361,954,902920,6212,902920
361,954,903080,6212,903080
361,954,903890,6212,903890
362,956,904890,6212,904890
362,956,905110,6212,905110
362,956,905270,6212,905270
362,956,906270,6212,906270
363,958,907270,6212,907270
363,958,908270,6212,908270
364,960,909270,6212,909270
364,960,910270,6212,910270
365,962,911270,6212,911270
365,962,912270,6212,912270
366,964,913270,6212,913270
366,964,913590,6212,913590
367,966,914590,6212,914590
367,966,915400,6212,915400
367,966,915400,6212,915400
367,966,915870,6212,915870
368,968,916680,6212,916680
368,968,917680,6212,917680
369,970,918680,6212,918680
369,970,918680,6212,918680
369,970,919680,6212,919680
370,972,920680,6212,920680
370,972,921680,6212,921680
371,974,922490,6212,922490
371,974,923490,6212,923490
372,976,923720,6212,923720
372,976,924720,6212,924720
373,978,925720,6212,925720
374,986,933720,6212,933720
374,986,933720,6212,933720
374,986,934190,6212,934190
374,986,935190,6212,935190
374,986,935420,6212,935420
375,988,936420,6212,936420
375,988,936790,6212,936790
376,990,937790,6212,937790
376,990,938790,6212,938790
376,990,938790,6212,938790
377,992,939600,6212,939600
378,994,941600,6212,941600
378,994,942410,6212,942410
379,996,943410,6212,943410
379,996,944410,6212,944410
380,998,945410,6212,945410
380,998,946410,6212,946410
381,1000,947220,6212,947220
381,1000,947220,6212,947220
381,1000,948220,6212,948220
382,1002,949220,6212,949220
382,1002,950220,6212,950220
383,1004,951220,6212,951220
383,1004,952220,6212,952220
383,1004,952220,6212,952220
384,1006,953220,6212,953220
384,1006,954220,6212,954220
384,1006,954220,6212,954220
384,1006,954810,6212,954810
385,1008,955280,6212,955280
386,1012,959280,6212,959280
387,1014,959750,6212,959750
387,1014,960560,6212,960560
387,1014,961560,6212,961560
387,1014,962030,6212,962030
388,1016,962490,6212,962490
388,1016,963490,6212,963490
389,1018,964490,6212,964490
