ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
920306.37,15.24,1.64,180500.6,2.99
920170.41,15.24,1.64,180500.6,2.99
920056.86,15.24,1.64,180570.44,2.99
919606.16,15.23,1.63,180032.42,2.98
919155.47,15.23,1.63,179494.4,2.97
919155.47,15.23,1.63,179494.4,2.97
919151.09,15.23,1.63,178858.65,2.96
919725.19,15.24,1.64,179543.53,2.98
919611.63,15.24,1.64,179585.67,2.98
919269.51,15.24,1.64,178991.28,2.97
920354.96,15.26,1.66,179565.01,2.98
920219.0,15.26,1.66,179455.63,2.98
919876.88,15.25,1.66,178861.24,2.97
920598.59,15.27,1.67,179552.05,2.98
920598.59,15.27,1.67,179552.05,2.98
920598.59,15.27,1.67,179748.68,2.98
920462.63,15.27,1.67,179552.05,2.98
920326.67,15.27,1.67,179444.36,2.98
920730.4,15.27,1.68,180018.81,2.99
920730.4,15.27,1.68,179876.31,2.98
920388.27,15.27,1.67,179281.92,2.97
920274.72,15.27,1.67,179324.05,2.98
920921.81,15.28,1.69,179430.62,2.98
920579.69,15.28,1.68,178836.23,2.97
921032.31,15.29,1.69,179336.49,2.98
920690.19,15.29,1.69,178742.1,2.97
920690.19,15.29,1.69,178742.1,2.97
920576.63,15.29,1.69,178811.93,2.97
920426.46,15.28,1.69,178774.17,2.97
921393.23,15.3,1.71,179207.19,2.98
921051.1,15.3,1.7,178612.8,2.97
920708.98,15.29,1.7,178018.41,2.96
920359.47,15.29,1.69,177662.54,2.95
920852.42,15.3,1.7,178168.65,2.96
920716.46,15.3,1.7,178144.55,2.96
920396.46,15.29,1.7,177824.55,2.96
920665.29,15.3,1.7,178071.99,2.96
920323.16,15.3,1.7,177477.6,2.95
919981.04,15.29,1.7,176883.21,2.94
919845.08,15.29,1.7,176253.6,2.93
919775.04,15.29,1.7,176929.0,2.94
919588.85,15.29,1.7,176554.85,2.94
920251.01,15.31,1.71,176628.03,2.94
920302.7,15.31,1.71,176223.83,2.93
920232.66,15.31,1.72,175900.94,2.93
920548.34,15.32,1.72,176692.37,2.94
920548.34,15.32,1.72,176692.37,2.94
920548.34,15.32,1.72,176692.37,2.94
920087.17,15.31,1.72,176126.99,2.93
919742.39,15.31,1.71,175854.27,2.93
919794.08,15.31,1.72,175450.07,2.92
919845.77,15.32,1.72,175213.52,2.92
920181.08,15.32,1.73,175930.87,2.93
920357.32,15.33,1.73,176197.1,2.93
920357.32,15.33,1.73,176197.1,2.93
920221.36,15.33,1.73,176158.73,2.93
920221.36,15.33,1.73,176158.73,2.93
920273.06,15.33,1.73,176249.54,2.94
920137.1,15.33,1.73,176245.0,2.94
920001.14,15.33,1.73,176140.16,2.94
920052.83,15.33,1.74,175735.96,2.93
920104.52,15.34,1.74,175499.41,2.93
919806.08,15.33,1.74,175123.55,2.92
919806.08,15.33,1.74,175123.55,2.92
919806.08,15.33,1.74,175123.55,2.92
919865.24,15.34,1.74,174953.6,2.92
919721.81,15.34,1.74,175451.22,2.93
919431.48,15.33,1.74,175173.22,2.92
919766.01,15.34,1.74,174669.21,2.91
919817.7,15.34,1.74,174459.5,2.91
920157.66,15.35,1.75,175799.05,2.93
920062.94,15.35,1.75,175479.36,2.93
919926.98,15.35,1.75,175440.99,2.93
919926.98,15.35,1.75,175440.99,2.93
920195.81,15.35,1.76,175702.71,2.93
920195.81,15.35,1.76,175702.71,2.93
920079.82,15.35,1.76,175656.84,2.93
919454.52,15.35,1.75,175019.66,2.92
919340.96,15.35,1.75,175089.49,2.92
920216.2,15.36,1.77,175444.15,2.93
920102.64,15.36,1.77,175385.84,2.93
920102.64,15.36,1.77,175385.84,2.93
920102.64,15.36,1.77,175358.2,2.93
919944.99,15.36,1.77,175195.16,2.93
920600.84,15.37,1.78,175410.93,2.93
920899.71,15.38,1.79,176416.87,2.95
921756.2,15.4,1.8,177047.96,2.96
921620.24,15.4,1.8,177043.42,2.96
921514.94,15.4,1.8,176938.49,2.96
921399.42,15.4,1.8,176822.96,2.95
921843.28,15.4,1.81,177314.47,2.96
921707.32,15.4,1.81,177209.62,2.96
921913.44,15.41,1.81,177366.27,2.96
922006.36,15.41,1.82,176913.12,2.96
922653.46,15.43,1.83,177259.33,2.96
922653.46,15.43,1.83,177259.33,2.96
922311.34,15.42,1.83,176644.42,2.95
922602.56,15.43,1.83,176993.85,2.96
922371.54,15.43,1.83,176615.21,2.95
922371.54,15.43,1.83,176640.91,2.95
923380.63,15.45,1.85,177139.7,2.96
922944.61,15.44,1.84,176864.44,2.96
922754.85,15.44,1.84,176486.41,2.95
922360.44,15.44,1.84,176395.2,2.95
922224.48,15.44,1.84,176356.82,2.95
922015.69,15.43,1.84,176177.61,2.95
921879.73,15.43,1.84,176106.6,2.95
922085.84,15.44,1.84,176263.25,2.95
922732.94,15.45,1.86,176609.46,2.96
922735.29,15.45,1.86,176611.94,2.96
922673.76,15.45,1.86,177013.43,2.96
922673.76,15.45,1.86,177013.43,2.96
922560.2,15.45,1.86,177083.26,2.97
923526.97,15.47,1.87,177516.29,2.97
923710.68,15.47,1.88,177596.7,2.98
923649.16,15.47,1.88,177998.19,2.98
923656.62,15.47,1.88,177868.88,2.98
923951.55,15.48,1.88,178621.63,2.99
923836.03,15.48,1.88,178056.25,2.98
923980.51,15.48,1.89,177750.87,2.98
923740.85,15.48,1.89,177453.65,2.97
923627.29,15.48,1.89,177495.79,2.98
924274.39,15.5,1.9,177602.36,2.98
923825.31,15.49,1.89,177317.94,2.97
923737.01,15.49,1.89,177112.62,2.97
923788.7,15.49,1.9,176708.42,2.96
924687.11,15.51,1.91,177661.13,2.98
924551.15,15.51,1.92,177656.59,2.98
924734.86,15.52,1.92,177823.83,2.98
924620.93,15.52,1.92,177774.29,2.98
924507.37,15.52,1.92,177287.35,2.98
924551.59,15.52,1.92,176998.78,2.97
924261.92,15.52,1.92,176756.7,2.97
924261.92,15.52,1.92,176756.7,2.97
924513.75,15.52,1.93,177521.74,2.98
924162.72,15.52,1.92,177026.47,2.97
924368.83,15.52,1.93,177183.12,2.98
925015.93,15.54,1.94,177355.38,2.98
924827.55,15.53,1.94,177169.36,2.98
925118.78,15.54,1.95,177518.78,2.98
925118.78,15.54,1.95,177518.78,2.98
925118.78,15.54,1.95,177518.78,2.98
925841.73,15.55,1.96,178428.84,3.0
925936.94,15.56,1.96,177918.14,2.99
926988.97,15.58,1.98,178973.89,3.01
927265.43,15.58,1.99,178945.96,3.01
926923.01,15.58,1.98,178864.51,3.01
926850.7,15.58,1.98,178999.0,3.01
926714.74,15.58,1.98,179069.0,3.01
926578.78,15.58,1.98,179064.46,3.01
926975.59,15.59,1.99,179387.69,3.02
926562.82,15.58,1.98,179079.62,3.01
926562.82,15.58,1.98,179079.62,3.01
926746.54,15.58,1.99,179160.03,3.01
926610.58,15.59,1.99,179286.46,3.02
926610.58,15.59,1.99,179286.46,3.02
926474.62,15.59,1.99,179258.17,3.02
926338.66,15.59,1.99,179164.05,3.01
926397.82,15.59,1.99,179503.47,3.02
926442.04,15.59,2.0,179459.55,3.02
926710.87,15.6,2.0,179413.59,3.02
926366.08,15.59,2.0,179277.0,3.02
926417.77,15.6,2.0,179346.47,3.02
926314.77,15.6,2.0,179804.4,3.03
926471.47,15.6,2.01,179819.36,3.03
926335.51,15.6,2.01,179645.52,3.03
926604.33,15.61,2.01,179622.27,3.03
926259.55,15.6,2.01,180152.91,3.03
926318.71,15.61,2.01,180030.61,3.03
926175.28,15.61,2.01,179869.18,3.03
926226.97,15.61,2.01,179767.1,3.03
926229.32,15.61,2.01,179770.19,3.03
926093.36,15.61,2.01,179677.13,3.03
925957.4,15.61,2.01,180051.61,3.04
926226.22,15.62,2.02,180199.11,3.04
925882.2,15.61,2.02,179923.09,3.03
925882.2,15.61,2.02,179923.09,3.03
925726.89,15.61,2.01,179767.79,3.03
925590.93,15.61,2.01,179739.5,3.03
925590.93,15.61,2.01,179739.5,3.03
925454.97,15.61,2.01,179645.38,3.03
925382.87,15.61,2.01,179942.17,3.04
925089.61,15.61,2.01,179665.27,3.03
924889.79,15.61,2.01,179293.81,3.03
924753.83,15.61,2.01,179119.97,3.02
924805.52,15.61,2.01,179096.72,3.02
924669.56,15.61,2.01,179451.54,3.03
924938.39,15.62,2.02,179643.55,3.03
924990.08,15.62,2.02,179541.46,3.03
924645.29,15.61,2.02,179235.59,3.03
924509.33,15.61,2.02,179258.08,3.03
924351.68,15.61,2.02,179107.12,3.03
924223.19,15.61,2.02,179042.95,3.02
924079.76,15.61,2.02,179177.28,3.03
923943.8,15.61,2.02,179148.99,3.03
923822.78,15.61,2.02,179672.35,3.04
923712.78,15.61,2.02,179562.35,3.03
923712.78,15.61,2.02,179557.46,3.03
923964.61,15.62,2.02,179443.97,3.03
923764.94,15.62,2.02,179252.63,3.03
923764.94,15.62,2.02,179252.63,3.03
923413.9,15.61,2.02,178861.62,3.02
922833.8,15.6,2.01,178280.2,3.01
923110.26,15.61,2.01,178569.54,3.02
922974.3,15.61,2.01,178469.18,3.02
922915.33,15.61,2.02,178301.81,3.02
922924.24,15.61,2.02,178748.49,3.02
922975.93,15.62,2.02,178871.59,3.03
923159.64,15.62,2.03,179065.37,3.03
923023.68,15.62,2.03,179045.76,3.03
922792.86,15.62,2.02,178783.85,3.03
922579.4,15.62,2.02,178570.39,3.02
922584.1,15.62,2.02,178580.21,3.02
922860.56,15.62,2.03,178913.09,3.03
922860.56,15.62,2.03,178991.45,3.03
922670.89,15.62,2.02,178765.84,3.03
922942.92,15.63,2.03,178748.28,3.03
