ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
260,734,671370,6212,671370
260,734,672370,6212,672370
261,736,673370,6212,673370
261,736,673840,6212,673840
261,736,674650,6212,674650
262,738,675650,6212,675650
262,738,675650,6212,675650
262,738,676650,6212,676650
263,740,677650,6212,677650
263,740,677970,6212,677970
263,740,678290,6212,678290
263,740,679290,6212,679290
264,742,680100,6212,680100
264,742,681100,6212,681100
265,744,682100,6212,682100
265,744,683100,6212,683100
266,746,683570,6212,683570
266,746,684570,6212,684570
267,748,685570,6212,685570
267,748,685570,6212,685570
267,748,686570,6212,686570
268,750,687380,6212,687380
268,750,688380,6212,688380
269,752,689030,6212,689030
269,752,690030,6212,690030
270,754,691030,6212,691030
270,754,691350,6212,691350
271,762,699350,6212,699350
272,766,703350,6212,703350
272,766,704160,6212,704160
273,768,705160,6212,705160
273,768,706160,6212,706160
274,776,714160,6212,714160
275,784,722160,6212,722160
276,786,722970,6212,722970
276,786,723780,6212,723780
277,794,731780,6212,731780
278,796,732590,6212,732590
278,796,733590,6212,733590
278,796,734180,6212,734180
279,798,735180,6212,735180
279,798,735500,6212,735500
279,798,736150,6212,736150
279,798,736700,6212,736700
279,798,737020,6212,737020
279,798,737020,6212,737020
279,798,737020,6212,737020
280,800,737490,6212,737490
280,800,737490,6212,737490
280,800,738300,6212,738300
281,802,740300,6212,740300
282,804,741300,6212,741300
282,804,741770,6212,741770
282,804,742240,6212,742240
282,804,742710,6212,742710
283,806,743520,6212,743520
283,806,744520,6212,744520
284,808,745520,6212,745520
284,808,745520,6212,745520
284,808,746520,6212,746520
285,816,754520,6212,754520
286,818,755330,6212,755330
286,818,756140,6212,756140
287,820,757140,6212,757140
287,820,758140,6212,758140
287,820,758730,6212,758730
287,820,758730,6212,758730
288,822,759540,6212,759540
288,822,759540,6212,759540
289,830,767540,6212,767540
289,830,768190,6212,768190
290,832,769190,6212,769190
290,832,769510,6212,769510
290,832,770510,6212,770510
291,834,770970,6212,770970
291,834,771970,6212,771970
291,834,772440,6212,772440
292,836,772910,6212,772910
292,836,772910,6212,772910
293,838,774910,6212,774910
293,838,775140,6212,775140
293,838,776140,6212,776140
294,840,777140,6212,777140
294,840,777950,6212,777950
295,842,778760,6212,778760
295,842,779130,6212,779130
295,842,780130,6212,780130
295,842,780130,6212,780130
296,844,780940,6212,780940
296,844,781940,6212,781940
297,846,782940,6212,782940
297,846,783750,6212,783750
297,846,784220,6212,784220
298,848,785220,6212,785220
298,848,785690,6212,785690
299,856,793690,6212,793690
299,856,794500,6212,794500
