ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
282,660,441620,6212,441620
282,660,442620,6212,442620
283,664,443090,6212,443090
283,664,444090,6212,444090
283,664,445090,6212,445090
283,664,446090,6212,446090
283,664,446090,6212,446090
284,666,447090,6212,447090
284,666,447900,6212,447900
285,668,448900,6212,448900
285,668,449490,6212,449490
286,670,450490,6212,450490
286,670,450810,6212,450810
286,670,450810,6212,450810
286,670,451130,6212,451130
286,670,452130,6212,452130
287,672,453130,6212,453130
287,672,453130,6212,453130
287,672,453130,6212,453130
288,674,455130,6212,455130
288,674,455600,6212,455600
288,674,456070,6212,456070
288,674,456070,6212,456070
289,678,456540,6212,456540
289,678,456540,6212,456540
290,680,457540,6212,457540
290,680,458010,6212,458010
290,680,458480,6212,458480
290,680,458480,6212,458480
290,680,458480,6212,458480
290,680,459480,6212,459480
290,680,459480,6212,459480
290,680,459480,6212,459480
290,680,459710,6212,459710
290,680,460710,6212,460710
290,680,461710,6212,461710
290,680,461710,6212,461710
291,682,462710,6212,462710
291,682,462710,6212,462710
291,682,463180,6212,463180
291,682,463180,6212,463180
291,682,463340,6212,463340
292,684,464340,6212,464340
292,684,464340,6212,464340
292,684,465340,6212,465340
292,684,465810,6212,465810
293,686,466810,6212,466810
293,686,467810,6212,467810
294,688,468810,6212,468810
294,688,469810,6212,469810
295,690,470460,6212,470460
295,690,470460,6212,470460
295,690,470460,6212,470460
295,690,471460,6212,471460
296,692,472460,6212,472460
296,692,472460,6212,472460
296,692,472460,6212,472460
296,692,473460,6212,473460
297,694,474460,6212,474460
297,694,475270,6212,475270
298,696,476270,6212,476270
298,696,477270,6212,477270
298,696,477270,6212,477270
299,698,478270,6212,478270
299,698,479270,6212,479270
300,702,479740,6212,479740
300,702,480740,6212,480740
300,702,481740,6212,481740
300,702,482740,6212,482740
301,704,483740,6212,483740
301,704,483740,6212,483740
301,704,484550,6212,484550
301,704,484550,6212,484550
302,706,485550,6212,485550
302,706,485710,6212,485710
302,706,486710,6212,486710
303,708,487710,6212,487710
303,708,488180,6212,488180
303,708,489180,6212,489180
304,710,490180,6212,490180
304,710,491180,6212,491180
305,714,491650,6212,491650
305,714,491970,6212,491970
305,714,492970,6212,492970
305,714,493290,6212,493290
305,714,494290,6212,494290
305,714,494290,6212,494290
305,714,495290,6212,495290
306,716,496290,6212,496290
306,716,496290,6212,496290
306,716,496290,6212,496290
306,716,497100,6212,497100
306,716,497570,6212,497570
306,716,497570,6212,497570
307,718,498570,6212,498570
307,718,499570,6212,499570
308,720,500570,6212,500570
308,720,501160,6212,501160
309,724,501630,6212,501630
310,726,502630,6212,502630
310,726,503090,6212,503090
310,726,503090,6212,503090
310,726,503410,6212,503410
310,726,504410,6212,504410
310,726,504880,6212,504880
310,726,505690,6212,505690
310,726,506690,6212,506690
311,728,507690,6212,507690
311,728,508690,6212,508690
312,730,509690,6212,509690
312,730,510690,6212,510690
313,732,511690,6212,511690
313,732,512690,6212,512690
314,734,513690,6212,513690
314,734,514690,6212,514690
314,734,514920,6212,514920
315,736,515730,6212,515730
315,736,515730,6212,515730
315,736,516540,6212,516540
315,736,516540,6212,516540
316,738,517190,6212,517190
316,738,517190,6212,517190
316,738,517190,6212,517190
316,738,517650,6212,517650
317,740,518650,6212,518650
317,740,519120,6212,519120
317,740,519670,6212,519670
318,742,520670,6212,520670
318,742,521670,6212,521670
319,744,522140,6212,522140
319,744,523140,6212,523140
319,744,523140,6212,523140
320,746,524140,6212,524140
320,746,524140,6212,524140
320,746,524140,6212,524140
320,746,524360,6212,524360
320,746,524910,6212,524910
321,748,525910,6212,525910
321,748,525910,6212,525910
321,748,526380,6212,526380
321,748,526380,6212,526380
321,748,526380,6212,526380
321,748,527190,6212,527190
322,750,528190,6212,528190
322,750,529000,6212,529000
323,752,530000,6212,530000
323,752,530000,6212,530000
323,752,530470,6212,530470
323,752,530940,6212,530940
324,754,531750,6212,531750
324,754,532400,6212,532400
324,754,532720,6212,532720
325,756,533720,6212,533720
325,756,533720,6212,533720
325,756,534720,6212,534720
326,758,535720,6212,535720
326,758,536270,6212,536270
326,758,536270,6212,536270
327,760,537270,6212,537270
327,760,538270,6212,538270
327,760,538590,6212,538590
327,760,538810,6212,538810
328,762,539810,6212,539810
328,762,540810,6212,540810
329,764,541810,6212,541810
329,764,541810,6212,541810
329,764,542810,6212,542810
330,766,543620,6212,543620
330,766,544090,6212,544090
330,766,544090,6212,544090
331,768,545090,6212,545090
331,768,546090,6212,546090
331,768,546560,6212,546560
331,768,546880,6212,546880
332,770,547880,6212,547880
332,770,547880,6212,547880
332,770,547880,6212,547880
332,770,548880,6212,548880
333,772,549340,6212,549340
333,772,550340,6212,550340
333,772,550340,6212,550340
334,774,551340,6212,551340
334,774,552150,6212,552150
334,774,552150,6212,552150
334,774,552150,6212,552150
335,776,553150,6212,553150
335,776,554150,6212,554150
335,776,554620,6212,554620
336,778,555620,6212,555620
336,778,556620,6212,556620
337,780,557620,6212,557620
337,780,558620,6212,558620
338,782,559620,6212,559620
338,782,560430,6212,560430
339,784,561430,6212,561430
339,784,562430,6212,562430
339,784,562430,6212,562430
340,786,563430,6212,563430
340,786,564430,6212,564430
341,788,565240,6212,565240
341,788,566050,6212,566050
342,790,566520,6212,566520
342,790,566520,6212,566520
342,790,567520,6212,567520
343,792,568520,6212,568520
343,792,569520,6212,569520
343,792,569520,6212,569520
344,794,570520,6212,570520
344,794,570990,6212,570990
344,794,571460,6212,571460
345,796,572460,6212,572460
345,796,573460,6212,573460
345,796,573460,6212,573460
345,796,573930,6212,573930
346,798,574930,6212,574930
346,798,575740,6212,575740
347,800,576740,6212,576740
347,800,576740,6212,576740
347,800,577740,6212,577740
347,800,577740,6212,577740
348,802,578740,6212,578740
348,802,578740,6212,578740
348,802,579210,6212,579210
349,804,580210,6212,580210
349,804,581020,6212,581020
350,806,582020,6212,582020
350,806,583020,6212,583020
350,806,583020,6212,583020
351,808,583830,6212,583830
351,808,584640,6212,584640
351,808,585110,6212,585110
351,808,585110,6212,585110
352,810,586110,6212,586110
352,810,586110,6212,586110
352,810,586460,6212,586460
352,810,587460,6212,587460
352,810,587460,6212,587460
353,812,588460,6212,588460
353,812,589460,6212,589460
354,814,590050,6212,590050
354,814,590370,6212,590370
354,814,591370,6212,591370
355,816,591830,6212,591830
355,816,592830,6212,592830
355,816,593300,6212,593300
355,816,593300,6212,593300
355,816,593620,6212,593620
356,818,594620,6212,594620
356,818,595620,6212,595620
357,820,596430,6212,596430
357,820,597430,6212,597430
358,822,598430,6212,598430
358,822,598430,6212,598430
358,822,599080,6212,599080
359,826,599310,6212,599310
359,826,599780,6212,599780
359,826,599780,6212,599780
360,828,600780,6212,600780
360,828,601250,6212,601250
360,828,602250,6212,602250
360,828,603250,6212,603250
360,828,603720,6212,603720
360,828,603720,6212,603720
360,828,604530,6212,604530
360,828,604530,6212,604530
360,828,604530,6212,604530
361,830,605530,6212,605530
361,830,606340,6212,606340
362,832,607340,6212,607340
362,832,608340,6212,608340
363,834,609340,6212,609340
363,834,610340,6212,610340
363,834,611150,6212,611150
364,836,611960,6212,611960
364,836,612960,6212,612960
364,836,612960,6212,612960
365,838,613960,6212,613960
365,838,614960,6212,614960
366,840,615770,6212,615770
366,840,616770,6212,616770
367,842,617580,6212,617580
367,842,618580,6212,618580
367,842,618580,6212,618580
