ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1694447.8,27.84,2.27,239148.13,3.93
1693786.0,27.84,2.26,238386.26,3.92
1693940.56,27.84,2.27,238067.81,3.91
1695747.43,27.88,2.3,238502.0,3.92
1695491.69,27.88,2.3,238480.03,3.92
1696904.67,27.9,2.33,239369.78,3.94
1697962.83,27.92,2.34,240107.73,3.95
1698435.31,27.92,2.35,240786.28,3.96
1698586.41,27.93,2.35,242808.29,3.99
1700702.75,27.96,2.39,243995.56,4.01
1700857.31,27.97,2.39,243677.11,4.01
1700317.95,27.96,2.39,243137.76,4.0
1700129.73,27.96,2.39,242949.54,4.0
1700542.7,27.97,2.4,242839.29,3.99
1699978.08,27.97,2.39,242274.67,3.99
1699236.49,27.96,2.39,241493.34,3.97
1698671.87,27.96,2.38,240928.71,3.96
1699730.04,27.97,2.4,241666.66,3.98
1699598.24,27.97,2.4,241579.99,3.98
1699550.25,27.97,2.4,241442.93,3.97
1699428.45,27.97,2.4,241221.06,3.97
1699583.0,27.98,2.41,240902.62,3.97
1699995.98,27.99,2.42,240792.37,3.96
1701054.14,28.01,2.44,241530.32,3.98
1701205.25,28.01,2.44,243552.32,4.01
1703321.58,28.05,2.47,244739.6,4.03
1704379.75,28.06,2.49,245477.54,4.04
1703815.13,28.06,2.48,244912.92,4.03
1704101.95,28.06,2.49,244872.13,4.03
1703360.37,28.06,2.48,244090.79,4.02
1703514.92,28.06,2.49,243772.35,4.02
1703666.03,28.07,2.49,245794.36,4.05
1703114.44,28.06,2.49,245192.55,4.04
1703580.85,28.07,2.5,243837.25,4.02
1704639.02,28.09,2.51,244575.19,4.03
1704403.82,28.09,2.51,244137.0,4.02
1704148.08,28.09,2.51,244074.28,4.02
1703892.34,28.09,2.51,244065.36,4.02
1703892.34,28.09,2.51,244065.36,4.02
1703636.61,28.09,2.51,244002.65,4.02
1703826.06,28.09,2.52,244424.02,4.03
1703589.6,28.09,2.52,244148.76,4.03
1703589.6,28.09,2.52,244148.76,4.03
1705249.13,28.12,2.55,246328.77,4.06
1704507.55,28.11,2.54,245536.96,4.05
1703955.96,28.11,2.53,244935.16,4.04
1703955.96,28.11,2.53,244988.87,4.04
1704411.2,28.12,2.54,245444.11,4.05
1704411.2,28.12,2.54,245444.11,4.05
1704600.65,28.12,2.55,245496.68,4.05
1704309.06,28.12,2.55,245165.35,4.04
1703923.87,28.11,2.54,245041.14,4.04
1703359.25,28.11,2.54,244476.51,4.03
1703645.6,28.12,2.54,245073.29,4.04
1703389.86,28.12,2.54,245015.72,4.04
1703134.12,28.12,2.54,245001.65,4.04
1702878.38,28.12,2.54,244992.67,4.05
1702976.44,28.12,2.54,245092.51,4.05
1703050.3,28.12,2.55,245348.65,4.05
1703050.3,28.12,2.55,245348.65,4.05
1702794.56,28.12,2.55,245339.66,4.05
1702538.82,28.12,2.55,245277.01,4.05
1701784.2,28.12,2.54,244522.39,4.04
1701219.57,28.11,2.54,243957.76,4.03
1701219.57,28.11,2.54,243957.76,4.03
1701409.02,28.12,2.54,244010.34,4.03
1701409.02,28.12,2.54,243991.4,4.03
1700667.44,28.11,2.53,243199.6,4.02
1700411.7,28.11,2.53,243507.48,4.03
1700411.7,28.11,2.53,243539.15,4.03
1699670.11,28.1,2.53,242757.82,4.01
1699414.37,28.1,2.53,242748.83,4.01
1698659.75,28.09,2.52,241994.21,4.0
1698404.01,28.09,2.52,241931.56,4.0
1698424.41,28.09,2.52,241950.04,4.0
1698425.67,28.09,2.52,241951.3,4.0
1698169.93,28.09,2.52,241942.31,4.0
1697914.19,28.09,2.52,241879.66,4.0
1697658.46,28.1,2.52,241870.68,4.0
1697402.72,28.1,2.52,241808.03,4.0
1696648.09,28.09,2.51,241053.4,3.99
1696539.24,28.09,2.51,240944.54,3.99
1696613.1,28.09,2.52,240792.59,3.99
1696332.96,28.09,2.51,240515.96,3.98
1696077.22,28.09,2.51,240374.89,3.98
1696250.16,28.09,2.52,241900.56,4.01
1696310.13,28.1,2.52,241278.77,4.0
1696310.13,28.1,2.52,241278.77,4.0
1696157.62,28.09,2.52,241062.63,3.99
1695623.63,28.09,2.52,240538.49,3.98
1695813.08,28.1,2.52,240604.65,3.99
1695071.49,28.09,2.51,239812.84,3.97
1694815.75,28.09,2.51,240107.14,3.98
1694889.62,28.09,2.52,239955.19,3.98
1694889.62,28.09,2.52,240031.91,3.98
1694504.43,28.09,2.51,239659.82,3.97
1693762.84,28.08,2.51,238878.48,3.96
1693855.42,28.08,2.51,238786.55,3.96
1694112.63,28.09,2.52,240203.26,3.98
1694132.43,28.09,2.52,240070.21,3.98
1694132.43,28.09,2.52,240070.21,3.98
1694321.88,28.1,2.53,240136.36,3.98
