ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
176,389,216130,6212,216130
177,391,217130,6212,217130
177,391,217450,6212,217450
177,391,218450,6212,218450
177,391,218450,6212,218450
178,395,218920,6212,218920
178,395,218920,6212,218920
178,395,219150,6212,219150
178,395,220150,6212,220150
179,397,221150,6212,221150
179,397,222150,6212,222150
180,399,223150,6212,223150
180,399,223150,6212,223150
180,399,223150,6212,223150
180,399,223310,6212,223310
180,399,224310,6212,224310
181,403,224770,6212,224770
181,403,225240,6212,225240
182,405,226240,6212,226240
182,405,226350,6212,226350
182,405,227160,6212,227160
182,405,227630,6212,227630
183,407,228630,6212,228630
183,407,229280,6212,229280
183,407,230090,6212,230090
184,409,231090,6212,231090
184,409,231090,6212,231090
184,409,231900,6212,231900
184,409,232370,6212,232370
184,409,233180,6212,233180
184,409,233180,6212,233180
184,409,233830,6212,233830
184,409,234640,6212,234640
184,409,235450,6212,235450
184,409,236260,6212,236260
185,411,237260,6212,237260
185,411,237480,6212,237480
185,411,238480,6212,238480
186,415,239130,6212,239130
186,415,240130,6212,240130
186,415,240130,6212,240130
186,415,240450,6212,240450
186,415,240450,6212,240450
186,415,241450,6212,241450
187,419,242100,6212,242100
187,419,242750,6212,242750
187,419,243070,6212,243070
187,419,243070,6212,243070
187,419,243540,6212,243540
187,419,244350,6212,244350
187,419,244900,6212,244900
187,419,245220,6212,245220
188,423,246220,6212,246220
188,423,247220,6212,247220
188,423,248220,6212,248220
188,423,248680,6212,248680
188,423,249490,6212,249490
189,427,250490,6212,250490
189,427,251490,6212,251490
189,427,252140,6212,252140
190,428,252950,6212,252950
190,428,253950,6212,253950
191,430,254760,6212,254760
191,430,255080,6212,255080
191,430,255080,6212,255080
191,430,256080,6212,256080
192,432,256890,6212,256890
193,436,257540,6212,257540
193,436,258540,6212,258540
193,436,258770,6212,258770
193,436,259240,6212,259240
193,436,259240,6212,259240
193,436,259240,6212,259240
193,436,259470,6212,259470
193,436,260280,6212,260280
193,436,260280,6212,260280
193,436,260740,6212,260740
194,440,261210,6212,261210
194,440,262020,6212,262020
