ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1644722.39,27.84,2.27,204298.41,3.46
1644337.2,27.84,2.26,203888.68,3.45
1644337.2,27.84,2.26,203888.68,3.45
1644081.46,27.84,2.26,203844.91,3.45
1643870.2,27.83,2.26,203642.05,3.45
1643614.46,27.83,2.26,203642.05,3.45
1643803.91,27.84,2.27,203714.4,3.45
1643730.04,27.84,2.27,203640.53,3.45
1643344.85,27.84,2.26,203524.41,3.45
1643089.11,27.84,2.27,203584.41,3.45
1643286.96,27.84,2.27,203590.4,3.45
1643186.56,27.85,2.27,203117.82,3.44
1642930.82,27.85,2.27,203499.7,3.45
1642547.23,27.84,2.27,203138.06,3.44
1642291.5,27.84,2.27,203151.65,3.44
1641291.5,27.83,2.26,202151.65,3.43
1641035.76,27.83,2.26,202094.29,3.43
1640780.02,27.83,2.26,202050.52,3.43
1640780.02,27.83,2.26,202050.52,3.43
1640969.47,27.84,2.26,202471.12,3.43
1640713.73,27.84,2.26,202479.04,3.44
1640457.99,27.84,2.26,202427.35,3.44
1640072.8,27.83,2.26,202066.75,3.43
1640072.8,27.83,2.26,202066.75,3.43
1639817.74,27.83,2.26,201342.58,3.42
1639817.74,27.83,2.26,201342.58,3.42
1640007.19,27.84,2.26,201414.93,3.42
1639539.39,27.84,2.26,200980.84,3.41
1639283.66,27.84,2.26,201174.37,3.42
1639283.66,27.84,2.26,201174.37,3.42
1638898.46,27.83,2.26,200924.72,3.41
1638642.73,27.83,2.26,200923.13,3.41
1638840.58,27.84,2.26,201312.59,3.42
1638584.84,27.84,2.26,201268.82,3.42
1638774.29,27.84,2.27,201690.32,3.43
1638774.29,27.84,2.27,201690.32,3.43
1638707.41,27.85,2.27,201779.44,3.43
1638640.53,27.85,2.27,201927.08,3.43
1638349.82,27.84,2.27,201623.16,3.43
1638423.68,27.85,2.28,201644.83,3.43
1638423.68,27.85,2.28,201644.83,3.43
1638124.08,27.85,2.27,201408.86,3.42
1637868.34,27.85,2.27,201657.01,3.43
1637868.34,27.85,2.27,201657.01,3.43
1637612.6,27.85,2.27,201670.6,3.43
1637740.91,27.85,2.28,201981.63,3.43
1637441.31,27.85,2.27,201697.5,3.43
1637185.57,27.85,2.27,201711.1,3.43
1636929.83,27.85,2.27,201653.73,3.43
1636929.83,27.85,2.27,201653.73,3.43
1636831.22,27.85,2.27,201485.13,3.43
1636634.64,27.85,2.27,201382.24,3.43
1636634.64,27.85,2.27,201382.24,3.43
1636708.51,27.85,2.28,201403.91,3.43
1636708.51,27.85,2.28,201403.91,3.43
1636708.51,27.85,2.28,201403.91,3.43
1636452.77,27.85,2.28,201652.55,3.43
1636197.03,27.85,2.28,201608.78,3.43
