ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
2175459.51,35.83,0.55,197058.57,3.25
2175402.81,35.84,0.55,197419.27,3.25
2175402.81,35.84,0.55,197814.12,3.26
2175157.98,35.84,0.55,197764.98,3.26
2174913.14,35.84,0.55,197761.62,3.26
2174668.3,35.84,0.55,197712.76,3.26
2174498.4,35.84,0.55,197279.2,3.25
2174611.94,35.85,0.56,197571.44,3.26
2174227.39,35.84,0.56,197169.09,3.25
2173982.55,35.85,0.56,197165.45,3.25
2174471.78,35.86,0.57,197459.13,3.26
2174226.94,35.86,0.57,197410.35,3.26
2173982.11,35.86,0.57,197406.63,3.26
2174171.37,35.87,0.57,197463.54,3.26
2174143.36,35.87,0.58,197264.37,3.25
2173583.21,35.87,0.57,196797.02,3.25
2173413.31,35.87,0.57,196363.46,3.24
2172650.4,35.86,0.57,195668.96,3.23
2175155.31,35.9,0.61,198553.86,3.28
2174910.47,35.91,0.61,198560.65,3.28
2175009.46,35.91,0.61,198820.53,3.28
2174764.62,35.91,0.61,198761.25,3.28
2175125.63,35.92,0.62,198918.29,3.28
2174849.96,35.92,0.62,199037.43,3.29
2174605.13,35.92,0.62,198988.65,3.29
2174548.43,35.92,0.62,199082.69,3.29
2174086.05,35.92,0.62,198701.7,3.28
2174283.5,35.93,0.62,198654.37,3.28
2174226.79,35.93,0.63,199259.31,3.29
2174545.86,35.94,0.64,199400.48,3.3
2174341.03,35.94,0.63,199263.72,3.29
2174341.03,35.94,0.63,199263.72,3.29
2174341.03,35.94,0.63,199263.72,3.29
2174341.03,35.94,0.63,199296.15,3.29
2174096.19,35.94,0.63,199292.43,3.29
2173526.21,35.94,0.63,198797.59,3.29
2171999.11,35.93,0.63,198598.61,3.29
2172208.2,35.94,0.64,198704.93,3.29
2171963.36,35.94,0.64,198655.79,3.29
2171718.52,35.95,0.64,198652.43,3.29
2171473.68,35.95,0.64,198603.43,3.29
2171228.85,35.95,0.64,198599.93,3.29
2171718.08,35.96,0.65,198893.61,3.29
2171473.24,35.96,0.65,198844.47,3.29
2171130.31,35.96,0.65,198841.04,3.29
2170758.03,35.96,0.65,198462.3,3.29
2170513.19,35.96,0.65,198458.94,3.29
2170268.35,35.96,0.65,198410.16,3.29
2169708.21,35.96,0.64,197942.81,3.28
2169463.37,35.96,0.64,197939.09,3.28
2169544.16,35.97,0.65,197992.17,3.28
2169174.38,35.97,0.65,197970.25,3.28
2169146.38,35.97,0.65,197771.08,3.28
2168776.6,35.97,0.65,197816.04,3.28
2168406.83,35.97,0.65,197783.54,3.28
2168037.06,35.97,0.65,197761.02,3.28
2167661.4,35.97,0.65,197818.99,3.28
2166898.5,35.96,0.64,197124.49,3.27
2166898.5,35.96,0.64,197128.33,3.27
2166528.72,35.96,0.64,197342.37,3.28
2166283.88,35.96,0.64,197349.16,3.28
2165921.73,35.96,0.64,197204.68,3.27
2166203.3,35.97,0.65,197157.81,3.27
2166026.81,35.97,0.65,197219.04,3.28
2165970.11,35.97,0.65,197909.6,3.29
2165573.47,35.97,0.65,197485.33,3.28
2165762.73,35.98,0.65,197542.24,3.28
2165762.73,35.98,0.65,197542.24,3.28
2165563.19,35.98,0.65,197362.52,3.28
2165189.09,35.97,0.65,197256.66,3.28
2165548.08,35.98,0.65,197919.22,3.29
2165303.24,35.98,0.65,197859.93,3.29
2165246.54,35.98,0.66,197957.29,3.29
2164869.15,35.98,0.66,197877.66,3.29
2164812.45,35.99,0.66,198050.72,3.29
2164839.3,35.99,0.66,198059.36,3.29
2164534.99,35.99,0.66,197698.29,3.29
2164290.15,35.99,0.66,197649.15,3.29
2164045.31,35.99,0.66,197645.79,3.29
2163988.61,35.99,0.66,197743.15,3.29
2163882.0,36.0,0.66,197421.49,3.28
2163197.7,35.99,0.66,196849.48,3.28
2163386.96,36.0,0.66,197177.54,3.28
2163005.18,36.0,0.66,197130.86,3.28
2162948.48,36.0,0.67,197228.22,3.28
2162703.64,36.0,0.67,197179.08,3.28
2162329.55,36.0,0.66,196942.55,3.28
2162329.55,36.0,0.66,196942.55,3.28
2162272.84,36.01,0.66,197115.6,3.28
2162102.94,36.01,0.67,196682.04,3.28
2162102.94,36.01,0.67,196656.44,3.28
2161858.1,36.01,0.67,196653.08,3.28
2161476.33,36.01,0.67,196582.34,3.27
2161256.81,36.01,0.66,196417.29,3.27
2160527.07,36.01,0.66,196358.19,3.27
2160527.07,36.01,0.66,198715.29,3.31
2160282.83,36.01,0.66,198622.03,3.31
2165228.62,36.09,0.75,204238.09,3.4
2165443.9,36.1,0.76,203441.5,3.39
2165659.18,36.11,0.77,202617.33,3.38
2165602.48,36.11,0.77,202714.69,3.38
2165605.45,36.12,0.78,203402.51,3.39
2165360.61,36.12,0.78,203353.36,3.39
2165115.77,36.12,0.78,203350.01,3.39
2164945.87,36.12,0.78,202916.45,3.39
2165227.44,36.13,0.78,203299.96,3.39
2165170.74,36.14,0.79,203397.31,3.39
2164925.91,36.14,0.79,203348.17,3.39
2164681.07,36.14,0.79,203344.81,3.39
2167194.23,36.18,0.83,206970.97,3.46
2167166.23,36.19,0.83,206771.8,3.45
2166669.81,36.18,0.83,206450.86,3.45
2166682.2,36.18,0.83,206445.12,3.45
2166437.37,36.18,0.83,206395.98,3.45
2165761.84,36.19,0.83,206486.55,3.45
2166113.08,36.19,0.84,206925.23,3.46
2165806.86,36.19,0.83,206802.02,3.46
2165562.02,36.19,0.83,206798.67,3.46
2165317.77,36.19,0.84,206705.41,3.46
2165072.93,36.19,0.84,206656.26,3.45
2164828.1,36.2,0.84,206652.91,3.46
2164583.26,36.2,0.84,206603.81,3.46
2164413.36,36.2,0.84,206170.25,3.45
2164413.36,36.2,0.84,206170.25,3.45
2164169.11,36.2,0.84,206076.99,3.45
2164302.31,36.21,0.84,206029.23,3.45
2164014.27,36.2,0.84,206212.08,3.45
2163251.37,36.2,0.83,205517.58,3.44
2163265.82,36.2,0.83,205508.73,3.44
2163265.82,36.2,0.83,206642.43,3.46
2163455.08,36.2,0.84,206885.82,3.46
2163398.38,36.21,0.84,206983.18,3.46
2163398.38,36.21,0.84,207750.18,3.48
2163153.54,36.21,0.84,207746.78,3.48
2162933.69,36.21,0.84,207502.38,3.47
2162688.85,36.21,0.84,207453.6,3.47
2162764.48,36.22,0.85,208058.84,3.48
2162519.64,36.22,0.85,208055.12,3.48
2162519.64,36.22,0.85,208055.12,3.48
2162293.49,36.22,0.84,207913.81,3.48
2162482.75,36.22,0.85,208241.87,3.49
2164537.47,36.26,0.89,210464.47,3.53
2164549.86,36.26,0.89,210458.73,3.53
2164629.64,36.27,0.89,210468.02,3.53
2164572.93,36.27,0.9,210828.73,3.53
2161641.6,36.27,0.9,210783.25,3.54
2161396.76,36.27,0.9,210734.1,3.54
2161151.92,36.28,0.9,210730.74,3.54
2160907.09,36.28,0.9,210681.6,3.54
2160986.86,36.28,0.9,210690.89,3.54
2160631.54,36.28,0.9,210677.52,3.54
2160257.45,36.28,0.9,210440.99,3.53
2159490.93,36.27,0.89,209671.59,3.52
2159246.09,36.28,0.89,209668.24,3.52
2158876.32,36.28,0.89,209791.63,3.53
2158506.54,36.28,0.89,209727.63,3.52
2158261.71,36.28,0.89,209678.49,3.52
2158056.88,36.28,0.89,209541.73,3.52
2157687.1,36.28,0.89,209619.1,3.52
2157442.27,36.28,0.89,209615.74,3.52
2157385.57,36.28,0.89,209976.45,3.53
2157328.86,36.29,0.89,209927.94,3.53
2157518.12,36.29,0.9,210524.06,3.54
2158087.69,36.31,0.92,212894.59,3.58
2157705.91,36.31,0.92,212841.01,3.58
2157324.14,36.31,0.92,212777.18,3.58
2157264.64,36.31,0.92,213408.09,3.59
2157264.64,36.31,0.92,213390.39,3.59
2157434.72,36.32,0.93,213342.76,3.59
2157060.62,36.31,0.92,212955.09,3.59
2157379.69,36.32,0.93,213096.26,3.59
2157392.08,36.32,0.93,213088.02,3.59
2157049.15,36.32,0.93,213089.6,3.59
2156679.38,36.32,0.93,213067.56,3.59
2156622.68,36.33,0.93,213653.17,3.6
2156811.94,36.33,0.94,213710.08,3.6
2156763.28,36.34,0.95,213176.41,3.59
2156059.23,36.33,0.94,212463.93,3.58
2155689.45,36.33,0.94,212456.09,3.58
2155119.48,36.33,0.94,211961.25,3.57
2154749.7,36.33,0.94,212076.39,3.58
2151541.65,36.32,0.94,212060.75,3.58
2151484.95,36.33,0.94,212429.26,3.59
2151240.11,36.33,0.94,212380.47,3.59
2151410.19,36.34,0.94,212332.84,3.59
2151165.36,36.34,0.94,212329.12,3.59
2150795.58,36.34,0.95,212319.7,3.59
2151284.81,36.35,0.96,212613.38,3.59
2151039.98,36.35,0.96,212564.38,3.59
2150983.28,36.36,0.96,213149.98,3.6
2151063.05,36.36,0.96,213159.27,3.6
2150818.21,36.36,0.96,213155.78,3.6
2150573.38,36.36,0.96,213106.92,3.6
2150328.54,36.37,0.96,213103.28,3.6
2150083.7,36.37,0.96,213054.41,3.6
2149838.86,36.37,0.96,213050.77,3.6
2149475.67,36.37,0.96,213012.99,3.6
2149230.84,36.37,0.96,212964.13,3.6
2148986.0,36.37,0.96,212960.49,3.6
2148611.9,36.37,0.96,212723.96,3.6
2148304.6,36.37,0.96,213437.14,3.61
2148304.6,36.37,0.96,213437.14,3.61
2148265.49,36.38,0.97,213277.37,3.61
2148265.49,36.38,0.97,213259.77,3.61
2148020.65,36.38,0.97,213210.67,3.61
2148412.75,36.39,0.98,214160.6,3.63
2148412.75,36.39,0.98,214160.6,3.63
2147649.85,36.39,0.97,213484.29,3.62
2147445.02,36.38,0.97,213347.53,3.61
