ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1774174.17,29.26,0.7,218780.29,3.61
1773852.93,29.26,0.7,218764.96,3.61
1773480.99,29.26,0.7,218630.8,3.61
1773156.65,29.26,0.7,218616.33,3.61
1773127.57,29.26,0.7,218852.11,3.61
1773021.68,29.26,0.7,218415.72,3.6
1772698.12,29.26,0.7,218525.59,3.61
1772698.12,29.26,0.7,218525.59,3.61
1772482.62,29.26,0.7,218530.85,3.61
1772638.66,29.27,0.71,218773.45,3.61
1772313.55,29.27,0.71,218654.54,3.61
1772529.99,29.27,0.71,218725.5,3.61
1772256.34,29.27,0.71,218818.39,3.61
1772039.3,29.27,0.71,218744.33,3.61
1772010.22,29.27,0.71,218834.25,3.62
1771904.33,29.28,0.71,218397.86,3.61
1772026.7,29.28,0.72,218621.88,3.61
1771920.81,29.28,0.72,218185.48,3.61
1771896.85,29.29,0.72,218248.08,3.61
1771710.52,29.28,0.72,218046.66,3.6
1771710.52,29.28,0.72,218046.66,3.6
1771710.52,29.28,0.72,218046.66,3.6
1771710.52,29.28,0.72,218046.66,3.6
1771802.19,29.29,0.73,217845.97,3.6
1771774.66,29.29,0.73,217942.1,3.6
1770542.9,29.29,0.73,217728.7,3.6
