ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
128,318,242130,6212,242130
129,320,243130,6212,243130
129,320,243130,6212,243130
130,322,243780,6212,243780
130,322,244590,6212,244590
131,330,252590,6212,252590
132,332,253590,6212,253590
132,332,254590,6212,254590
133,336,255590,6212,255590
134,338,256240,6212,256240
134,338,257240,6212,257240
134,338,257710,6212,257710
134,338,258710,6212,258710
134,338,259710,6212,259710
135,342,260710,6212,260710
136,344,261710,6212,261710
136,344,262710,6212,262710
136,344,262940,6212,262940
137,346,263940,6212,263940
137,346,264940,6212,264940
137,346,265750,6212,265750
138,348,266560,6212,266560
138,348,267030,6212,267030
138,348,268030,6212,268030
139,356,269030,6212,269030
140,358,270030,6212,270030
140,358,271030,6212,271030
140,358,271030,6212,271030
141,360,271580,6212,271580
141,360,272050,6212,272050
142,362,272700,6212,272700
142,362,272700,6212,272700
142,362,273700,6212,273700
142,362,274700,6212,274700
142,362,275510,6212,275510
143,364,275980,6212,275980
143,364,276980,6212,276980
144,366,277980,6212,277980
144,366,278980,6212,278980
144,366,279790,6212,279790
144,366,280790,6212,280790
145,374,288790,6212,288790
145,374,289600,6212,289600
145,374,290600,6212,290600
146,376,291150,6212,291150
146,376,292150,6212,292150
146,376,293150,6212,293150
146,376,293620,6212,293620
146,376,294620,6212,294620
146,376,295430,6212,295430
147,378,296080,6212,296080
147,378,297080,6212,297080
148,380,298080,6212,298080
148,380,299080,6212,299080
148,380,300080,6212,300080
148,380,301080,6212,301080
149,382,302080,6212,302080
149,382,303080,6212,303080
150,384,304080,6212,304080
150,384,304550,6212,304550
150,384,305550,6212,305550
150,384,305550,6212,305550
151,386,306550,6212,306550
151,386,306550,6212,306550
151,386,307550,6212,307550
152,388,308550,6212,308550
152,388,308550,6212,308550
152,388,309550,6212,309550
152,388,309780,6212,309780
153,396,310780,6212,310780
153,396,311780,6212,311780
153,396,311780,6212,311780
153,396,311780,6212,311780
153,396,312240,6212,312240
153,396,313240,6212,313240
154,398,314050,6212,314050
154,398,314050,6212,314050
154,398,315050,6212,315050
154,398,315270,6212,315270
154,398,316270,6212,316270
154,398,317080,6212,317080
154,398,318080,6212,318080
155,400,318540,6212,318540
155,400,319350,6212,319350
156,402,320160,6212,320160
157,404,320810,6212,320810
158,406,321810,6212,321810
158,406,322040,6212,322040
159,410,323040,6212,323040
159,410,324040,6212,324040
160,412,325040,6212,325040
160,412,326040,6212,326040
160,412,326510,6212,326510
160,412,326980,6212,326980
160,412,327980,6212,327980
160,412,328980,6212,328980
160,412,329980,6212,329980
161,414,330980,6212,330980
161,414,331300,6212,331300
161,414,332300,6212,332300
161,414,333110,6212,333110
162,416,333920,6212,333920
163,418,334920,6212,334920
163,418,335920,6212,335920
164,420,336920,6212,336920
164,420,337730,6212,337730
165,422,338540,6212,338540
166,430,339540,6212,339540
166,430,340010,6212,340010
166,430,341010,6212,341010
166,430,341010,6212,341010
166,430,341010,6212,341010
166,430,342010,6212,342010
166,430,342010,6212,342010
167,432,343010,6212,343010
167,432,343010,6212,343010
167,432,343820,6212,343820
168,436,344820,6212,344820
169,438,345050,6212,345050
169,438,346050,6212,346050
169,438,346860,6212,346860
170,440,347670,6212,347670
170,440,347670,6212,347670
170,440,348670,6212,348670
170,440,349020,6212,349020
171,442,350020,6212,350020
171,442,351020,6212,351020
