ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
834669.5,13.96,0.62,314923.12,5.27
834669.5,13.96,0.62,314923.12,5.27
834709.74,13.96,0.62,315003.24,5.27
834709.74,13.96,0.62,315003.24,5.27
834422.03,13.96,0.62,314789.98,5.27
834707.39,13.97,0.62,315075.0,5.27
834567.64,13.97,0.62,314446.63,5.26
834567.64,13.97,0.62,314446.63,5.26
834277.07,13.96,0.62,314147.97,5.26
834215.58,13.96,0.62,313999.57,5.26
834067.11,13.96,0.62,313956.68,5.26
834245.51,13.97,0.62,314191.94,5.26
834097.04,13.97,0.62,314079.53,5.26
833948.57,13.97,0.62,314063.79,5.26
834126.97,13.97,0.63,314102.74,5.26
834126.97,13.97,0.63,314102.74,5.26
833978.5,13.97,0.63,314256.16,5.26
833604.67,13.97,0.62,314006.5,5.26
833604.67,13.97,0.62,314006.5,5.26
833445.96,13.96,0.62,313851.35,5.26
833297.49,13.96,0.62,313778.9,5.26
833582.85,13.97,0.63,314086.31,5.26
833434.38,13.97,0.63,313973.2,5.26
833474.61,13.97,0.63,314143.4,5.27
833326.14,13.97,0.63,314100.74,5.27
833326.14,13.97,0.63,314100.74,5.27
833326.14,13.97,0.63,314100.74,5.27
833177.67,13.97,0.63,314015.26,5.27
833029.2,13.97,0.63,313972.37,5.27
832880.73,13.97,0.63,313887.11,5.27
832880.73,13.97,0.63,313887.11,5.27
832506.9,13.97,0.62,313584.0,5.26
832506.9,13.97,0.62,313584.0,5.26
832776.13,13.97,0.63,313477.66,5.26
831708.65,13.97,0.63,313259.88,5.26
831420.95,13.97,0.63,312952.17,5.26
831272.48,13.97,0.63,313346.55,5.27
831113.91,13.97,0.62,313216.0,5.26
830965.44,13.97,0.62,313102.89,5.26
831250.8,13.97,0.63,313521.17,5.27
831299.75,13.98,0.63,313085.5,5.26
831050.86,13.97,0.63,312750.13,5.26
830753.99,13.97,0.63,312459.61,5.25
830994.81,13.97,0.63,311753.17,5.24
830933.32,13.98,0.63,312078.04,5.25
831111.72,13.98,0.64,312116.99,5.25
830971.97,13.98,0.64,311488.62,5.24
830608.14,13.97,0.63,311125.3,5.23
830357.95,13.97,0.63,310792.64,5.23
830651.5,13.98,0.64,311388.15,5.24
830829.9,13.98,0.64,311289.65,5.24
830702.65,13.98,0.64,311194.95,5.24
830330.64,13.98,0.64,310768.54,5.23
830571.46,13.98,0.64,310062.1,5.22
830700.69,13.99,0.64,310567.5,5.23
830403.82,13.98,0.64,310276.99,5.22
830403.82,13.98,0.64,310276.99,5.22
830714.46,13.99,0.65,311182.44,5.24
830585.62,13.99,0.65,310981.88,5.24
830437.15,13.99,0.65,310955.34,5.24
830486.1,13.99,0.65,310519.67,5.23
830587.21,14.0,0.65,310534.31,5.23
830438.74,14.0,0.65,310432.7,5.23
830290.27,14.0,0.65,310320.28,5.23
830150.51,14.0,0.65,309691.91,5.22
829991.81,13.99,0.65,309536.76,5.22
829741.62,13.99,0.65,309204.09,5.21
829593.15,13.99,0.65,309188.36,5.21
829444.68,13.99,0.65,309075.25,5.21
829444.68,13.99,0.65,309075.25,5.21
829296.21,13.99,0.65,309060.22,5.21
829147.74,13.99,0.65,309017.56,5.21
828850.03,13.99,0.64,308721.37,5.21
828701.56,13.99,0.64,308635.89,5.21
828750.51,13.99,0.65,308200.22,5.2
828501.62,13.99,0.64,307864.85,5.2
828353.15,13.99,0.64,307752.99,5.2
828244.45,13.99,0.64,307647.84,5.19
828529.81,13.99,0.65,308064.87,5.2
828381.33,13.99,0.65,307948.78,5.2
827193.57,13.99,0.65,307514.35,5.2
827371.96,13.99,0.65,307894.04,5.21
827550.36,14.0,0.66,307932.99,5.21
827401.89,14.0,0.66,308086.41,5.21
827253.42,14.0,0.66,307973.3,5.21
827431.82,14.0,0.66,308278.78,5.22
827293.96,14.0,0.66,307761.19,5.21
827323.58,14.01,0.66,308193.52,5.22
827033.01,14.0,0.66,307892.14,5.21
826884.54,14.0,0.66,307865.61,5.21
826884.54,14.0,0.66,307865.61,5.21
826736.07,14.0,0.66,307764.0,5.21
826785.02,14.0,0.66,307328.33,5.21
826536.12,14.0,0.66,306992.96,5.2
826576.36,14.01,0.66,307073.07,5.2
826427.89,14.01,0.66,307028.16,5.2
826468.12,14.01,0.66,307108.28,5.21
826094.29,14.0,0.66,306734.96,5.2
826134.52,14.01,0.66,306853.4,5.2
825986.05,14.0,0.66,306810.74,5.2
825837.58,14.0,0.66,306725.26,5.2
825689.11,14.0,0.66,306682.6,5.2
825540.64,14.0,0.66,306597.11,5.2
825392.16,14.0,0.66,306554.45,5.2
825243.69,14.0,0.66,306468.97,5.2
825095.22,14.0,0.66,306426.07,5.2
824946.75,14.0,0.66,306340.82,5.2
824739.88,14.0,0.66,306194.62,5.2
824591.41,14.0,0.66,306082.2,5.2
824591.41,14.0,0.66,306082.2,5.2
824591.41,14.0,0.66,306082.2,5.2
824591.41,14.0,0.66,306082.2,5.2
824442.94,14.0,0.66,306066.47,5.2
824483.17,14.0,0.66,306141.57,5.2
824334.7,14.0,0.66,306117.49,5.2
824374.93,14.01,0.66,306197.61,5.2
824226.46,14.01,0.66,306152.7,5.2
824077.99,14.01,0.66,306109.81,5.2
823929.52,14.01,0.66,306024.55,5.2
824223.07,14.01,0.67,305986.8,5.2
824223.07,14.01,0.67,305986.8,5.2
823926.2,14.01,0.66,305672.05,5.2
823777.72,14.01,0.66,306024.3,5.2
824009.83,14.01,0.67,305917.35,5.2
824050.06,14.01,0.67,306458.73,5.21
823901.59,14.01,0.67,306346.32,5.21
823529.57,14.01,0.67,305973.68,5.21
823381.1,14.01,0.67,305957.95,5.21
823232.63,14.01,0.67,305844.84,5.2
823092.88,14.01,0.67,305216.47,5.19
822842.69,14.01,0.66,304883.8,5.19
822702.94,14.01,0.66,304255.43,5.18
822452.75,14.01,0.66,303922.76,5.18
822452.75,14.01,0.66,303922.76,5.18
822304.27,14.01,0.66,303907.72,5.18
822164.52,14.01,0.66,303279.35,5.17
822103.04,14.01,0.66,303130.95,5.16
821733.04,14.0,0.66,302760.95,5.16
821574.33,14.0,0.66,302627.6,5.16
821425.86,14.0,0.65,302596.18,5.16
821277.39,14.0,0.65,302492.84,5.16
821128.92,14.0,0.65,302495.51,5.16
820922.05,14.0,0.65,302294.99,5.15
820922.05,14.0,0.65,302294.99,5.15
820625.18,13.99,0.65,302004.47,5.15
820476.71,13.99,0.65,301873.66,5.15
820328.24,13.99,0.65,301762.08,5.15
820179.77,13.99,0.65,301745.51,5.15
820031.3,13.99,0.65,301632.4,5.15
820324.84,14.0,0.65,302059.21,5.15
819730.96,14.0,0.65,301719.62,5.15
819582.49,14.0,0.65,301693.08,5.15
819434.01,14.0,0.65,301591.47,5.15
819062.0,13.99,0.65,301219.63,5.15
819302.82,14.0,0.65,300513.19,5.13
819612.06,14.0,0.66,301198.59,5.15
819463.58,14.0,0.66,301172.05,5.15
819315.11,14.0,0.66,301070.44,5.15
819166.64,14.0,0.66,301027.78,5.15
819018.17,14.0,0.66,300942.3,5.14
818727.6,14.0,0.65,300620.44,5.14
818579.13,14.0,0.65,300508.58,5.14
818619.36,14.0,0.66,299953.04,5.13
818442.52,14.0,0.65,299751.75,5.13
818294.05,14.0,0.65,299735.47,5.13
818334.28,14.0,0.66,299453.85,5.12
818619.64,14.01,0.66,299526.01,5.12
818245.81,14.0,0.66,299341.65,5.12
818107.96,14.0,0.66,299194.45,5.12
818107.96,14.0,0.66,299194.45,5.12
817948.87,14.0,0.66,299486.89,5.13
818127.27,14.0,0.66,299850.85,5.13
818412.63,14.01,0.67,299938.14,5.13
818452.86,14.01,0.67,300215.99,5.14
818452.86,14.01,0.67,300215.99,5.14
818304.39,14.01,0.67,300189.45,5.14
818155.92,14.01,0.67,300087.84,5.14
818007.45,14.01,0.67,299975.98,5.14
817858.98,14.01,0.67,299959.7,5.14
817858.98,14.01,0.67,299959.7,5.14
817710.51,14.01,0.67,299846.59,5.14
817336.68,14.01,0.66,299596.92,5.13
817196.92,14.01,0.66,298968.55,5.12
817135.44,14.01,0.67,298820.14,5.12
817135.44,14.01,0.67,298820.14,5.12
816986.97,14.01,0.66,298805.11,5.12
817027.2,14.01,0.67,298694.86,5.12
817027.2,14.01,0.67,298694.86,5.12
816878.73,14.01,0.67,298862.11,5.13
816730.26,14.01,0.67,298814.89,5.13
816581.79,14.01,0.67,298727.35,5.13
816442.03,14.01,0.67,298010.59,5.11
816721.84,14.02,0.67,298296.31,5.12
816573.37,14.02,0.67,298269.78,5.12
816858.73,14.02,0.68,298531.28,5.12
816710.26,14.02,0.68,298533.12,5.13
816710.26,14.02,0.68,298533.12,5.13
816413.39,14.02,0.67,298243.22,5.12
816264.92,14.02,0.67,298106.62,5.12
816116.45,14.02,0.67,298080.08,5.12
815967.98,14.02,0.67,297978.47,5.12
815828.23,14.02,0.67,297261.71,5.11
815766.74,14.02,0.67,297206.14,5.11
815392.91,14.01,0.67,296903.02,5.1
815244.44,14.01,0.67,296789.92,5.1
815529.8,14.02,0.68,297208.19,5.11
815381.33,14.02,0.68,297135.74,5.11
815232.86,14.02,0.68,297080.05,5.11
815084.38,14.02,0.68,296967.12,5.11
814935.91,14.02,0.67,296951.9,5.11
814787.44,14.02,0.67,296838.97,5.11
814413.61,14.01,0.67,296465.66,5.1
814707.16,14.02,0.68,296896.32,5.11
814558.69,14.02,0.68,296783.21,5.11
814410.21,14.02,0.68,296768.17,5.11
814270.46,14.02,0.68,296051.41,5.1
814020.27,14.02,0.67,295807.14,5.09
813648.26,14.01,0.67,295431.26,5.09
813648.26,14.01,0.67,295431.26,5.09
813499.79,14.01,0.67,295318.84,5.09
813351.31,14.01,0.67,295303.11,5.09
813351.31,14.01,0.67,295303.11,5.09
813391.55,14.01,0.67,294747.56,5.08
813243.08,14.01,0.67,294635.7,5.08
813283.31,14.02,0.67,294354.09,5.07
813334.15,14.02,0.68,294218.73,5.07
813175.07,14.02,0.68,294689.83,5.08
813026.6,14.02,0.68,294673.55,5.08
812878.13,14.02,0.68,294560.44,5.08
812729.66,14.02,0.68,294545.4,5.08
812769.89,14.02,0.68,294625.52,5.08
812621.42,14.02,0.68,294580.61,5.08
812799.82,14.03,0.68,294799.63,5.09
812651.35,14.03,0.68,294755.85,5.09
812502.87,14.03,0.68,294644.27,5.09
812354.4,14.03,0.68,294627.71,5.09
812623.64,14.03,0.69,294521.37,5.09
812475.16,14.03,0.69,294915.74,5.09
812326.69,14.03,0.69,294802.63,5.09
812029.82,14.03,0.68,294529.24,5.09
812315.18,14.03,0.69,294947.52,5.1
812166.71,14.03,0.69,294904.86,5.1
812018.24,14.03,0.69,294819.37,5.09
812018.24,14.03,0.69,294819.37,5.09
811730.54,14.03,0.68,294533.19,5.09
811770.77,14.03,0.69,294613.31,5.09
811770.77,14.03,0.69,294613.31,5.09
811622.3,14.03,0.69,294568.4,5.09
811800.7,14.04,0.69,294607.34,5.09
811840.93,14.04,0.69,294051.8,5.08
811881.16,14.04,0.7,293770.19,5.08
810813.69,14.04,0.7,293552.41,5.08
810665.22,14.04,0.7,293672.98,5.09
810516.75,14.04,0.7,293646.44,5.09
810516.75,14.04,0.7,293646.44,5.09
810567.59,14.04,0.7,293511.08,5.09
810360.72,14.04,0.7,293343.42,5.08
810582.21,14.05,0.7,294196.45,5.1
810433.74,14.05,0.7,294094.84,5.1
810285.27,14.05,0.7,294046.68,5.1
