ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
909383.16,15.78,3.09,563080.4,9.77
909506.95,15.79,3.1,563112.59,9.78
910069.28,15.8,3.11,563185.41,9.78
909906.53,15.8,3.11,562869.91,9.77
910631.9,15.81,3.12,562895.17,9.77
910661.34,15.81,3.12,562678.79,9.77
910492.35,15.81,3.12,562571.6,9.77
910323.36,15.81,3.12,562447.23,9.77
910635.93,15.82,3.13,562547.45,9.77
910905.46,15.83,3.14,562573.22,9.77
911357.26,15.84,3.14,562600.31,9.78
911163.75,15.84,3.14,562459.52,9.78
911189.77,15.84,3.15,562289.97,9.77
911189.77,15.84,3.15,562197.29,9.77
911446.99,15.85,3.15,561940.57,9.77
912017.58,15.86,3.17,561947.61,9.77
912037.36,15.86,3.17,561895.14,9.77
912052.57,15.86,3.17,561422.28,9.76
912365.13,15.87,3.18,561522.51,9.77
912488.93,15.88,3.18,561525.46,9.77
912921.5,15.88,3.19,561813.97,9.77
911906.12,15.89,3.2,561330.5,9.78
912449.19,15.9,3.21,561305.86,9.78
912449.19,15.9,3.21,561198.16,9.78
912255.69,15.9,3.21,561128.97,9.78
912255.69,15.9,3.21,561128.97,9.78
912086.69,15.9,3.21,560936.62,9.78
913243.67,15.92,3.23,561743.03,9.79
913367.46,15.92,3.23,561728.43,9.79
913367.46,15.92,3.23,561844.54,9.79
913382.67,15.93,3.23,561371.69,9.79
913402.45,15.93,3.24,561366.94,9.79
913208.94,15.93,3.24,561449.7,9.79
913466.15,15.93,3.24,561204.28,9.79
913297.16,15.93,3.24,561007.43,9.79
913297.16,15.93,3.24,560896.54,9.79
913748.96,15.94,3.25,560923.63,9.79
913748.96,15.94,3.25,560825.68,9.79
913586.22,15.94,3.25,560539.78,9.78
914220.61,15.96,3.26,560672.86,9.79
914344.41,15.96,3.27,560720.57,9.79
914468.21,15.97,3.27,560705.97,9.79
914494.23,15.97,3.28,560537.56,9.79
914325.24,15.97,3.28,560430.38,9.79
913960.82,15.97,3.28,560198.73,9.79
914084.62,15.98,3.29,560246.43,9.79
914371.16,15.98,3.29,560377.82,9.8
913355.77,15.99,3.3,559894.35,9.8
913186.78,15.99,3.3,559696.74,9.8
912822.36,15.99,3.3,559465.09,9.8
913091.89,16.0,3.31,559490.86,9.8
913215.69,16.0,3.31,559563.86,9.81
913339.49,16.01,3.32,559611.57,9.81
913170.5,16.01,3.32,559416.89,9.81
913903.67,16.02,3.33,559378.8,9.81
913734.68,16.02,3.33,559186.44,9.81
913858.48,16.03,3.34,559189.39,9.81
914171.04,16.04,3.34,559079.43,9.81
914294.84,16.04,3.35,559072.94,9.81
914125.85,16.04,3.35,558961.59,9.81
913932.34,16.04,3.35,559299.57,9.82
914056.14,16.04,3.35,559213.76,9.82
913887.15,16.04,3.35,559090.36,9.82
914323.33,16.05,3.36,558422.59,9.8
