ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
447,2349,581390,6212,581390
448,2351,582390,6212,582390
448,2351,583200,6212,583200
449,2359,584200,6212,584200
450,2361,585200,6212,585200
450,2361,585520,6212,585520
451,2365,586520,6212,586520
452,2373,587520,6212,587520
452,2373,588520,6212,588520
453,2381,592520,6212,592520
454,2389,592520,6212,592520
455,2391,593520,6212,593520
456,2399,601520,6212,601520
457,2407,601520,6212,601520
457,2407,605520,6212,605520
457,2407,606520,6212,606520
458,2415,607520,6212,607520
459,2423,608520,6212,608520
460,2431,609520,6212,609520
461,2433,610330,6212,610330
462,2441,614330,6212,614330
462,2441,615140,6212,615140
463,2449,616140,6212,616140
464,2451,616460,6212,616460
464,2451,617460,6212,617460
465,2453,618460,6212,618460
466,2461,619460,6212,619460
467,2463,620460,6212,620460
467,2463,621460,6212,621460
468,2465,622460,6212,622460
469,2473,623460,6212,623460
470,2481,624460,6212,624460
471,2489,624460,6212,624460
472,2497,625460,6212,625460
473,2505,626460,6212,626460
473,2505,627270,6212,627270
473,2505,628270,6212,628270
473,2505,629270,6212,629270
473,2505,629270,6212,629270
473,2505,629270,6212,629270
474,2513,630270,6212,630270
475,2515,630590,6212,630590
475,2515,630590,6212,630590
475,2515,631400,6212,631400
476,2517,631770,6212,631770
477,2525,632770,6212,632770
477,2525,633770,6212,633770
477,2525,633770,6212,633770
478,2533,634420,6212,634420
479,2535,635420,6212,635420
480,2537,636420,6212,636420
481,2538,637420,6212,637420
482,2540,638420,6212,638420
482,2540,639420,6212,639420
482,2540,640420,6212,640420
483,2548,640420,6212,640420
484,2552,641420,6212,641420
485,2560,642420,6212,642420
486,2562,643420,6212,643420
487,2564,644420,6212,644420
488,2572,644420,6212,644420
489,2580,652420,6212,652420
490,2588,653420,6212,653420
490,2588,654420,6212,654420
490,2588,655070,6212,655070
491,2590,655390,6212,655390
492,2598,656200,6212,656200
493,2606,657200,6212,657200
494,2614,657670,6212,657670
495,2616,658670,6212,658670
495,2616,659670,6212,659670
495,2616,660670,6212,660670
495,2616,661670,6212,661670
496,2618,661670,6212,661670
497,2626,662260,6212,662260
498,2634,663260,6212,663260
499,2636,664260,6212,664260
500,2644,665260,6212,665260
501,2646,666260,6212,666260
501,2646,666910,6212,666910
502,2648,667910,6212,667910
502,2648,668910,6212,668910
502,2648,669910,6212,669910
503,2650,669910,6212,669910
504,2652,670910,6212,670910
504,2652,671370,6212,671370
505,2654,672370,6212,672370
506,2662,673370,6212,673370
506,2662,673840,6212,673840
507,2664,674650,6212,674650
508,2672,675650,6212,675650
508,2672,675650,6212,675650
509,2674,676650,6212,676650
510,2676,677650,6212,677650
511,2684,677970,6212,677970
511,2684,678290,6212,678290
511,2684,679290,6212,679290
512,2688,680100,6212,680100
512,2688,681100,6212,681100
512,2688,682100,6212,682100
513,2692,683100,6212,683100
514,2700,683570,6212,683570
515,2708,684570,6212,684570
516,2716,685570,6212,685570
517,2718,685570,6212,685570
518,2726,686570,6212,686570
519,2734,687380,6212,687380
519,2734,688380,6212,688380
520,2736,689030,6212,689030
521,2738,690030,6212,690030
521,2738,691030,6212,691030
521,2738,691350,6212,691350
522,2746,699350,6212,699350
523,2754,703350,6212,703350
524,2756,704160,6212,704160
524,2756,705160,6212,705160
525,2764,706160,6212,706160
526,2772,714160,6212,714160
527,2780,722160,6212,722160
528,2788,722970,6212,722970
529,2790,723780,6212,723780
