ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
189,441,251950,6212,251950
189,441,252110,6212,252110
189,441,252110,6212,252110
189,441,252920,6212,252920
189,441,253730,6212,253730
190,445,254730,6212,254730
190,445,255730,6212,255730
191,447,256730,6212,256730
191,447,257730,6212,257730
192,451,258200,6212,258200
192,451,259200,6212,259200
193,455,259850,6212,259850
193,455,260850,6212,260850
193,455,261850,6212,261850
193,455,262850,6212,262850
194,459,263850,6212,263850
194,459,264850,6212,264850
194,459,265850,6212,265850
194,459,266320,6212,266320
194,459,267320,6212,267320
194,459,267320,6212,267320
194,459,268130,6212,268130
195,463,269130,6212,269130
195,463,270130,6212,270130
195,463,270130,6212,270130
195,463,271130,6212,271130
195,463,271130,6212,271130
195,463,272130,6212,272130
195,463,273130,6212,273130
195,463,273130,6212,273130
195,463,273130,6212,273130
196,471,281130,6212,281130
197,473,282130,6212,282130
197,473,283130,6212,283130
197,473,283130,6212,283130
197,473,284130,6212,284130
197,473,284780,6212,284780
198,481,292780,6212,292780
199,482,293590,6212,293590
200,484,294400,6212,294400
201,488,294870,6212,294870
201,488,295190,6212,295190
201,488,296190,6212,296190
201,488,296190,6212,296190
202,490,297000,6212,297000
202,490,297470,6212,297470
202,490,298470,6212,298470
202,490,298470,6212,298470
202,490,298470,6212,298470
202,490,298940,6212,298940
202,490,299940,6212,299940
203,492,300750,6212,300750
203,492,301750,6212,301750
204,494,302750,6212,302750
204,494,303220,6212,303220
204,494,303540,6212,303540
204,494,303860,6212,303860
204,494,304860,6212,304860
204,494,304860,6212,304860
205,496,305860,6212,305860
205,496,306860,6212,306860
206,498,307670,6212,307670
206,498,308670,6212,308670
207,500,309140,6212,309140
207,500,310140,6212,310140
208,502,310790,6212,310790
208,502,311120,6212,311120
208,502,311930,6212,311930
209,504,312740,6212,312740
209,504,313740,6212,313740
210,506,314740,6212,314740
210,506,315740,6212,315740
210,506,315740,6212,315740
211,508,316740,6212,316740
211,508,317740,6212,317740
211,508,317740,6212,317740
212,510,318740,6212,318740
212,510,318740,6212,318740
212,510,319740,6212,319740
212,510,319740,6212,319740
213,512,320740,6212,320740
213,512,320740,6212,320740
213,512,321740,6212,321740
214,514,322210,6212,322210
214,514,323210,6212,323210
215,516,324210,6212,324210
215,516,325210,6212,325210
215,516,325210,6212,325210
216,518,326020,6212,326020
216,518,326020,6212,326020
216,518,327020,6212,327020
217,520,327670,6212,327670
217,520,328670,6212,328670
217,520,329140,6212,329140
218,522,329620,6212,329620
218,522,329620,6212,329620
218,522,330620,6212,330620
219,524,331430,6212,331430
219,524,332240,6212,332240
220,526,333050,6212,333050
220,526,334050,6212,334050
221,530,334600,6212,334600
221,530,335070,6212,335070
221,530,336070,6212,336070
221,530,337070,6212,337070
221,530,338070,6212,338070
222,532,338880,6212,338880
222,532,339430,6212,339430
222,532,339590,6212,339590
223,534,340590,6212,340590
223,534,341400,6212,341400
224,536,342400,6212,342400
224,536,342720,6212,342720
224,536,343370,6212,343370
225,538,344370,6212,344370
225,538,344840,6212,344840
226,540,345650,6212,345650
226,540,345650,6212,345650
226,540,346650,6212,346650
227,542,347650,6212,347650
227,542,348460,6212,348460
228,544,349460,6212,349460
228,544,350270,6212,350270
229,546,351270,6212,351270
229,546,351740,6212,351740
229,546,352550,6212,352550
230,548,353200,6212,353200
230,548,353200,6212,353200
230,548,354200,6212,354200
231,550,355010,6212,355010
231,550,355010,6212,355010
231,550,356010,6212,356010
232,552,356820,6212,356820
232,552,356820,6212,356820
232,552,357820,6212,357820
233,554,358820,6212,358820
233,554,359290,6212,359290
233,554,359290,6212,359290
234,556,360290,6212,360290
234,556,361290,6212,361290
234,556,361290,6212,361290
235,558,362290,6212,362290
235,558,363290,6212,363290
235,558,363290,6212,363290
235,558,363760,6212,363760
235,558,364760,6212,364760
235,558,365080,6212,365080
236,560,365890,6212,365890
236,560,366700,6212,366700
237,562,367170,6212,367170
237,562,368170,6212,368170
237,562,368640,6212,368640
237,562,368800,6212,368800
238,564,369270,6212,369270
238,564,369730,6212,369730
238,564,370730,6212,370730
239,566,371540,6212,371540
239,566,372350,6212,372350
240,568,372900,6212,372900
240,568,373550,6212,373550
241,570,374360,6212,374360
241,570,375360,6212,375360
241,570,375360,6212,375360
242,572,376360,6212,376360
242,572,377170,6212,377170
243,574,378170,6212,378170
243,574,378490,6212,378490
243,574,379490,6212,379490
243,574,379810,6212,379810
244,576,380810,6212,380810
244,576,380810,6212,380810
244,576,381810,6212,381810
245,580,382280,6212,382280
245,580,382930,6212,382930
245,580,382930,6212,382930
245,580,382930,6212,382930
245,580,382930,6212,382930
245,580,382930,6212,382930
245,580,383930,6212,383930
245,580,384740,6212,384740
246,582,385550,6212,385550
246,582,386550,6212,386550
247,584,387550,6212,387550
247,584,387550,6212,387550
247,584,388550,6212,388550
247,584,389020,6212,389020
248,586,389830,6212,389830
248,586,389830,6212,389830
248,586,390830,6212,390830
249,588,391830,6212,391830
250,592,392300,6212,392300
250,592,393300,6212,393300
250,592,393760,6212,393760
250,592,394570,6212,394570
250,592,395570,6212,395570
250,592,396570,6212,396570
251,594,397380,6212,397380
251,594,397850,6212,397850
252,596,398850,6212,398850
252,596,399850,6212,399850
253,598,400660,6212,400660
253,598,400890,6212,400890
253,598,400890,6212,400890
253,598,401890,6212,401890
254,600,402890,6212,402890
254,600,403890,6212,403890
254,600,403890,6212,403890
255,602,404700,6212,404700
255,602,405510,6212,405510
256,604,406510,6212,406510
256,604,407510,6212,407510
257,606,408510,6212,408510
257,606,409510,6212,409510
258,608,410510,6212,410510
258,608,411510,6212,411510
259,610,412320,6212,412320
259,610,412320,6212,412320
259,610,413320,6212,413320
260,612,414320,6212,414320
260,612,414320,6212,414320
260,612,414800,6212,414800
260,612,414800,6212,414800
260,612,414800,6212,414800
260,612,415800,6212,415800
260,612,415800,6212,415800
261,614,416800,6212,416800
261,614,416800,6212,416800
261,614,416800,6212,416800
261,614,417120,6212,417120
261,614,417120,6212,417120
261,614,418120,6212,418120
261,614,418120,6212,418120
261,614,418120,6212,418120
262,616,419120,6212,419120
262,616,419930,6212,419930
262,616,419930,6212,419930
263,618,420740,6212,420740
263,618,421740,6212,421740
264,622,422210,6212,422210
264,622,422680,6212,422680
264,622,423160,6212,423160
264,622,424160,6212,424160
264,622,424480,6212,424480
264,622,424480,6212,424480
264,622,424480,6212,424480
