ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
173,398,352250,6212,352250
174,400,353250,6212,353250
174,400,353250,6212,353250
174,400,354250,6212,354250
175,402,355250,6212,355250
176,410,355250,6212,355250
176,410,356060,6212,356060
176,410,356870,6212,356870
176,410,357680,6212,357680
177,412,358680,6212,358680
177,412,358680,6212,358680
177,412,359150,6212,359150
177,412,360150,6212,360150
178,420,360150,6212,360150
179,422,360960,6212,360960
179,422,361960,6212,361960
179,422,362280,6212,362280
180,424,363280,6212,363280
180,424,364280,6212,364280
181,426,365090,6212,365090
181,426,366090,6212,366090
182,428,366560,6212,366560
183,430,367560,6212,367560
183,430,368370,6212,368370
184,432,370370,6212,370370
184,432,371370,6212,371370
185,434,372370,6212,372370
185,434,373370,6212,373370
186,436,374370,6212,374370
186,436,375180,6212,375180
187,438,376180,6212,376180
187,438,376550,6212,376550
187,438,377200,6212,377200
188,440,377670,6212,377670
188,440,378480,6212,378480
189,442,379480,6212,379480
189,442,379480,6212,379480
189,442,380480,6212,380480
190,444,381480,6212,381480
190,444,381640,6212,381640
190,444,381640,6212,381640
190,444,381640,6212,381640
190,444,382450,6212,382450
191,446,383450,6212,383450
191,446,383920,6212,383920
192,448,384920,6212,384920
193,450,385920,6212,385920
193,450,386730,6212,386730
