ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
830860.75,14.15,1.09,417963.73,7.12
830860.75,14.15,1.09,417963.73,7.12
830694.48,14.15,1.09,418089.99,7.12
830980.14,14.16,1.1,417854.53,7.12
830604.3,14.15,1.09,417478.69,7.11
836605.04,14.26,1.19,418578.7,7.13
836449.65,14.26,1.19,418504.16,7.13
836719.22,14.26,1.2,418763.15,7.14
836719.22,14.26,1.2,418763.15,7.14
837004.88,14.27,1.2,418527.69,7.14
836849.49,14.27,1.2,418469.31,7.14
836900.96,14.27,1.21,418378.97,7.13
836984.1,14.27,1.21,424302.02,7.23
836817.82,14.27,1.21,424178.26,7.23
836496.16,14.27,1.21,423996.12,7.23
836340.77,14.27,1.21,423849.61,7.23
836174.5,14.27,1.21,423813.98,7.23
836019.11,14.27,1.21,423687.96,7.23
840469.93,14.35,1.28,425165.01,7.26
840303.66,14.35,1.28,425108.89,7.26
840589.32,14.35,1.29,424885.05,7.25
840640.78,14.35,1.29,425681.31,7.27
840121.52,14.35,1.28,425117.91,7.26
839602.25,14.34,1.28,424554.52,7.25
839082.99,14.33,1.27,423979.5,7.24
838927.6,14.33,1.27,423834.6,7.24
845640.95,14.45,1.38,430414.4,7.35
845265.1,14.44,1.38,430107.8,7.35
845098.83,14.44,1.38,430070.56,7.35
845288.86,14.44,1.38,430130.94,7.35
845322.2,14.45,1.38,430175.34,7.35
845155.93,14.45,1.38,430134.12,7.35
844858.57,14.44,1.38,429842.79,7.35
844703.18,14.44,1.38,429784.41,7.35
844536.91,14.44,1.38,429660.65,7.35
844570.25,14.44,1.38,429705.05,7.35
844403.98,14.44,1.38,429642.42,7.35
845062.34,14.46,1.39,429792.16,7.35
844906.95,14.46,1.39,429733.77,7.35
844511.19,14.45,1.39,429271.0,7.35
844189.53,14.45,1.39,429088.86,7.35
844023.25,14.45,1.39,428965.1,7.34
843867.87,14.45,1.39,428890.02,7.34
843701.59,14.45,1.39,428782.96,7.34
843546.2,14.45,1.39,428636.44,7.34
843568.66,14.45,1.39,428786.23,7.35
843413.27,14.45,1.39,428641.33,7.35
843072.08,14.45,1.38,428277.58,7.34
843233.16,14.45,1.39,428561.66,7.34
843891.53,14.46,1.4,428711.4,7.35
843495.77,14.46,1.4,428248.62,7.34
843340.38,14.46,1.39,428102.11,7.34
843391.84,14.46,1.4,428011.77,7.34
843225.57,14.46,1.4,427976.14,7.34
843070.18,14.46,1.4,427901.6,7.34
842911.45,14.46,1.39,427767.69,7.34
849624.8,14.57,1.51,435464.67,7.47
849624.8,14.57,1.51,435464.67,7.47
849647.25,14.57,1.51,435520.98,7.47
849491.87,14.57,1.51,435374.46,7.47
849761.43,14.58,1.52,435774.67,7.48
850047.1,14.59,1.52,435539.21,7.47
849891.71,14.59,1.52,435413.19,7.47
849372.44,14.58,1.52,434849.79,7.46
849394.9,14.58,1.52,434978.99,7.47
849239.51,14.58,1.52,434920.61,7.47
849080.78,14.58,1.52,434786.7,7.47
848914.5,14.58,1.52,434662.94,7.47
848617.15,14.58,1.51,434371.62,7.46
848461.76,14.58,1.51,434220.73,7.46
848461.76,14.58,1.51,434220.73,7.46
848295.49,14.58,1.51,434183.24,7.46
848328.83,14.58,1.51,434222.92,7.46
847952.99,14.57,1.51,433847.09,7.46
847786.71,14.57,1.51,433804.58,7.46
848090.68,14.58,1.52,433543.3,7.45
848371.14,14.59,1.52,433612.32,7.46
848371.14,14.59,1.52,433612.32,7.46
847833.56,14.58,1.51,433074.74,7.45
847856.02,14.58,1.52,433321.61,7.45
847887.01,14.58,1.52,432864.69,7.45
847621.14,14.58,1.52,432521.48,7.44
847465.76,14.58,1.52,432463.1,7.44
847299.48,14.58,1.52,432339.34,7.44
846923.64,14.58,1.51,432085.16,7.44
846768.25,14.58,1.51,431939.07,7.44
846768.25,14.58,1.51,431939.07,7.44
846601.98,14.58,1.51,431903.02,7.44
846887.64,14.58,1.52,431679.18,7.43
846368.37,14.58,1.51,431104.16,7.42
846401.71,14.58,1.51,431148.56,7.43
846235.44,14.58,1.51,431085.93,7.43
846080.05,14.58,1.51,430942.31,7.43
846349.62,14.58,1.52,431339.63,7.43
846194.23,14.58,1.52,431265.09,7.43
846027.95,14.58,1.52,431157.48,7.43
845872.57,14.58,1.52,431099.1,7.43
845496.73,14.58,1.51,430723.26,7.43
845330.45,14.58,1.51,430599.51,7.43
845330.45,14.58,1.51,430599.51,7.43
845610.9,14.58,1.52,430653.57,7.43
845324.7,14.58,1.52,430377.75,7.42
845165.97,14.58,1.51,430222.43,7.42
844999.69,14.58,1.51,430423.45,7.43
845030.68,14.58,1.52,429966.53,7.42
844764.82,14.58,1.51,429618.98,7.41
845050.48,14.58,1.52,429383.51,7.41
844895.09,14.58,1.52,429308.97,7.41
844728.81,14.58,1.52,429201.37,7.41
844573.43,14.58,1.52,429142.99,7.41
844407.15,14.58,1.52,429019.23,7.41
843697.89,14.57,1.51,428265.84,7.4
843983.55,14.58,1.52,428042.0,7.4
843607.71,14.58,1.51,427664.77,7.39
843607.71,14.58,1.51,427664.77,7.39
843797.73,14.58,1.52,427725.16,7.39
844083.39,14.59,1.52,427501.32,7.39
844255.36,14.59,1.53,427514.24,7.39
844255.36,14.59,1.53,427514.24,7.39
844089.09,14.59,1.53,427640.5,7.39
843569.82,14.58,1.52,427065.49,7.38
843414.43,14.58,1.52,426990.95,7.38
843414.43,14.58,1.52,426990.95,7.38
842369.28,14.59,1.52,426657.97,7.39
841660.01,14.58,1.51,425892.95,7.38
841937.8,14.58,1.52,426230.53,7.38
841782.41,14.58,1.52,426104.51,7.38
841408.35,14.58,1.51,425729.32,7.38
841459.81,14.58,1.51,425638.98,7.37
841293.54,14.58,1.51,425582.86,7.37
841138.15,14.58,1.51,425553.39,7.38
840971.87,14.58,1.51,425400.72,7.37
841252.33,14.58,1.52,425454.79,7.38
840954.97,14.58,1.51,425163.46,7.37
840788.7,14.58,1.51,425363.56,7.38
840822.04,14.58,1.52,425407.95,7.38
840844.5,14.58,1.52,425509.23,7.38
840844.5,14.58,1.52,425509.23,7.38
841180.02,14.59,1.52,431652.06,7.49
841024.63,14.59,1.52,431622.62,7.49
840858.35,14.59,1.52,431469.92,7.49
840891.7,14.59,1.53,431514.32,7.49
840515.86,14.59,1.52,431138.01,7.48
840349.58,14.59,1.52,431096.79,7.48
840194.19,14.59,1.52,431022.25,7.48
840027.92,14.59,1.52,430914.65,7.48
839872.53,14.59,1.52,430839.57,7.48
839706.26,14.58,1.52,430732.51,7.48
839550.87,14.58,1.52,430587.61,7.48
839550.87,14.58,1.52,430587.61,7.48
839828.66,14.59,1.53,430995.55,7.49
839673.27,14.59,1.53,430937.17,7.49
839695.73,14.59,1.53,430977.32,7.49
839540.34,14.59,1.53,430918.94,7.49
839374.06,14.59,1.53,430795.18,7.49
839218.67,14.59,1.53,430720.64,7.49
839052.4,14.59,1.53,430613.04,7.49
838897.01,14.59,1.53,430537.96,7.49
838730.74,14.59,1.53,430430.9,7.49
838356.67,14.59,1.52,430055.71,7.48
838201.28,14.59,1.52,429997.32,7.48
838470.85,14.59,1.53,430240.17,7.49
838315.46,14.59,1.53,430095.47,7.49
838149.19,14.59,1.53,430058.02,7.49
837862.98,14.59,1.52,429782.21,7.48
837707.59,14.59,1.52,429638.59,7.48
837541.32,14.59,1.52,429600.06,7.48
843919.15,14.7,1.63,431154.21,7.51
844553.59,14.71,1.65,431217.53,7.51
844035.54,14.7,1.64,430705.36,7.5
844035.54,14.7,1.64,430705.36,7.5
843417.95,14.7,1.64,430264.14,7.5
843262.56,14.7,1.64,430189.6,7.5
843262.56,14.7,1.64,430189.6,7.5
843118.59,14.7,1.64,430109.74,7.5
843479.21,14.71,1.64,430440.19,7.51
843323.82,14.71,1.64,430296.57,7.5
843157.54,14.71,1.64,430258.05,7.51
842660.65,14.7,1.64,429850.0,7.5
842505.27,14.7,1.64,429791.62,7.5
842774.83,14.71,1.64,430034.46,7.5
842619.45,14.71,1.64,429889.56,7.5
842619.45,14.71,1.64,429889.56,7.5
842453.17,14.71,1.64,429852.32,7.5
842077.33,14.7,1.64,429545.72,7.5
841921.94,14.7,1.64,429471.18,7.5
841755.67,14.7,1.64,429363.57,7.5
841981.47,14.71,1.64,429231.67,7.5
842003.92,14.71,1.64,429743.6,7.51
841848.54,14.71,1.64,429685.22,7.51
841557.35,14.7,1.64,429364.6,7.5
841391.07,14.7,1.64,429240.84,7.5
840345.91,14.71,1.64,428907.86,7.51
840190.53,14.71,1.64,428763.16,7.5
840024.25,14.7,1.64,428725.72,7.5
840304.71,14.71,1.65,428779.78,7.51
