ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
865118.44,14.4,0.8,192737.71,3.21
865387.27,14.4,0.81,192812.19,3.21
865438.96,14.41,0.81,193086.81,3.21
865490.65,14.41,0.81,193209.92,3.22
865163.87,14.41,0.81,192896.46,3.21
865347.58,14.41,0.81,193167.81,3.22
865347.58,14.41,0.81,193167.81,3.22
865211.62,14.41,0.81,193133.64,3.22
865211.62,14.41,0.81,193133.64,3.22
865263.31,14.41,0.82,193226.72,3.22
865578.23,14.42,0.82,193014.48,3.22
865442.27,14.42,0.83,192980.31,3.22
864979.51,14.42,0.82,192444.42,3.21
865031.2,14.42,0.82,192537.5,3.21
864686.42,14.41,0.82,192327.36,3.21
864686.42,14.41,0.82,192327.36,3.21
864686.42,14.41,0.82,192327.36,3.21
864738.11,14.42,0.82,192450.47,3.21
864602.15,14.42,0.82,192386.27,3.21
864312.48,14.41,0.82,192076.29,3.2
864035.69,14.41,0.81,191812.84,3.2
864098.46,14.41,0.82,191426.11,3.19
863962.5,14.41,0.82,191323.2,3.19
864293.23,14.42,0.82,191467.39,3.19
864157.27,14.42,0.82,191467.39,3.19
864157.27,14.42,0.82,191467.39,3.19
864426.1,14.42,0.83,191541.87,3.2
864426.1,14.42,0.83,191541.87,3.2
864310.11,14.42,0.83,191364.49,3.19
864174.15,14.42,0.83,191648.67,3.2
864489.07,14.43,0.83,191436.43,3.2
864353.11,14.43,0.83,191333.52,3.19
864217.15,14.43,0.83,191333.52,3.19
864217.15,14.43,0.83,191333.52,3.19
864217.15,14.43,0.83,191333.52,3.19
864059.5,14.43,0.83,191181.98,3.19
863923.54,14.43,0.83,191079.07,3.19
864200.0,14.43,0.84,191495.25,3.2
863857.58,14.43,0.83,191149.07,3.19
864172.5,14.44,0.84,190936.83,3.19
864062.5,14.44,0.84,190826.83,3.19
863599.74,14.43,0.83,190290.94,3.18
863268.4,14.43,0.83,189995.34,3.17
863132.44,14.43,0.83,189995.61,3.18
863316.16,14.43,0.83,190164.52,3.18
862853.4,14.42,0.83,189628.63,3.17
862717.44,14.42,0.83,189628.89,3.17
862717.44,14.42,0.83,189632.17,3.17
862769.13,14.43,0.83,189690.81,3.17
863037.95,14.43,0.84,189765.29,3.17
863089.64,14.44,0.84,190039.91,3.18
863089.64,14.44,0.84,190082.9,3.18
863273.36,14.44,0.84,190167.53,3.18
