ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
839490.32,14.04,0.45,185092.5,3.1
839542.01,14.05,0.45,185086.46,3.1
839593.71,14.05,0.45,185113.26,3.1
839457.75,14.05,0.45,185079.09,3.1
839268.07,14.05,0.45,185011.47,3.1
839132.11,14.05,0.45,184942.73,3.1
839315.83,14.05,0.46,186191.35,3.12
839179.87,14.05,0.46,186191.61,3.12
839179.87,14.05,0.46,186191.61,3.12
838890.19,14.05,0.45,185523.65,3.11
838890.19,14.05,0.45,185523.65,3.11
838754.23,14.05,0.45,185420.48,3.11
838937.95,14.05,0.46,186037.04,3.12
839121.66,14.06,0.46,186036.85,3.12
838831.99,14.05,0.46,186191.11,3.12
838831.99,14.05,0.46,186191.11,3.12
838487.2,14.05,0.45,185837.14,3.11
838538.9,14.05,0.46,185837.14,3.11
838810.93,14.06,0.46,185844.55,3.11
838532.94,14.05,0.46,185852.33,3.11
838396.98,14.05,0.46,185832.72,3.11
838261.02,14.05,0.46,185749.42,3.11
838125.06,14.05,0.46,185729.81,3.11
837878.34,14.05,0.45,184770.93,3.1
837930.03,14.05,0.46,184764.39,3.1
837794.07,14.05,0.46,184681.1,3.1
837658.11,14.05,0.46,184681.36,3.1
837841.82,14.06,0.46,184678.58,3.1
837893.51,14.06,0.46,184678.76,3.1
837757.55,14.06,0.46,184575.59,3.1
837809.25,14.06,0.47,184569.72,3.1
837519.57,14.06,0.46,185186.57,3.11
837519.57,14.06,0.46,185186.57,3.11
837383.61,14.06,0.46,185186.84,3.11
837435.3,14.06,0.47,185475.75,3.11
837619.02,14.07,0.47,185829.36,3.12
837483.06,14.07,0.47,185726.19,3.12
837283.38,14.06,0.47,185808.37,3.12
837552.21,14.07,0.47,185808.0,3.12
837552.21,14.07,0.47,185808.0,3.12
837561.6,14.07,0.47,185820.48,3.12
837361.93,14.07,0.47,185633.61,3.12
837413.62,14.07,0.47,185633.61,3.12
837413.62,14.07,0.47,185624.59,3.12
837078.84,14.07,0.47,185642.1,3.12
837347.66,14.07,0.48,185642.1,3.12
837399.35,14.07,0.48,185624.59,3.12
837263.39,14.07,0.48,185604.97,3.12
837127.43,14.07,0.48,185521.68,3.12
836927.76,14.07,0.48,185684.77,3.12
837111.47,14.08,0.48,185684.57,3.12
837120.87,14.08,0.48,185698.91,3.12
837304.58,14.08,0.48,185698.91,3.12
837168.62,14.08,0.48,185596.0,3.12
837168.62,14.08,0.48,185596.0,3.12
837032.66,14.08,0.48,185596.0,3.12
836896.7,14.08,0.49,185493.1,3.12
836948.39,14.08,0.49,185493.1,3.12
837000.08,14.09,0.49,185722.77,3.13
836655.3,14.08,0.49,185330.01,3.12
836924.13,14.09,0.49,186086.42,3.13
836975.82,14.09,0.49,186086.42,3.13
836839.86,14.09,0.49,186160.08,3.13
837023.57,14.1,0.5,186132.03,3.13
836887.61,14.1,0.5,186132.03,3.13
836542.83,14.09,0.49,185759.86,3.13
836811.65,14.1,0.5,186209.86,3.14
836863.34,14.1,0.5,186210.04,3.14
836727.38,14.1,0.5,186209.67,3.14
836779.07,14.1,0.51,186209.67,3.14
836779.07,14.1,0.51,186248.75,3.14
836643.11,14.1,0.51,186187.09,3.14
836507.15,14.1,0.51,186674.07,3.15
836162.37,14.1,0.5,186681.0,3.15
836431.19,14.1,0.51,186663.88,3.15
836431.19,14.1,0.51,186663.88,3.15
836273.54,14.1,0.5,186430.6,3.14
836137.58,14.1,0.5,186430.86,3.14
836137.58,14.1,0.5,186509.83,3.15
836001.62,14.1,0.5,186406.65,3.14
835865.66,14.1,0.5,186387.04,3.14
835575.99,14.1,0.5,187536.96,3.16
835440.03,14.1,0.5,187453.66,3.16
835304.07,14.1,0.5,187098.68,3.16
835355.76,14.1,0.5,187431.98,3.16
835219.8,14.1,0.5,187451.71,3.16
834875.02,14.1,0.5,187431.14,3.16
834926.71,14.1,0.5,187420.81,3.16
835195.53,14.1,0.51,187416.6,3.16
835059.58,14.1,0.51,187416.87,3.17
834903.44,14.1,0.51,187254.15,3.16
834767.48,14.1,0.51,187150.98,3.16
834631.52,14.1,0.51,187955.63,3.18
834495.56,14.1,0.51,188073.7,3.18
834359.6,14.1,0.51,187970.79,3.18
834252.78,14.1,0.5,187865.56,3.18
834255.13,14.1,0.5,187872.24,3.18
834119.17,14.1,0.5,187872.24,3.18
833919.5,14.1,0.5,187572.25,3.17
833954.52,14.1,0.5,187676.08,3.17
834006.21,14.1,0.5,187676.26,3.17
834241.98,14.11,0.51,187675.89,3.17
833907.2,14.1,0.51,187385.24,3.17
833771.24,14.1,0.51,187385.51,3.17
833635.28,14.1,0.51,187282.34,3.17
833686.97,14.1,0.51,187282.34,3.17
833738.66,14.11,0.51,187283.03,3.17
833922.37,14.11,0.52,187282.62,3.17
833786.41,14.11,0.52,187263.01,3.17
833496.74,14.11,0.51,187262.76,3.17
833312.66,14.11,0.51,187268.01,3.17
833319.71,14.11,0.51,187270.75,3.17
833596.17,14.11,0.52,187603.63,3.18
833596.17,14.11,0.52,187603.63,3.18
833476.02,14.11,0.51,187436.22,3.17
833748.06,14.12,0.52,187436.03,3.17
833799.75,14.12,0.52,187436.03,3.17
833799.75,14.12,0.52,187436.03,3.17
833851.44,14.12,0.53,187430.74,3.17
833903.13,14.12,0.53,188582.96,3.19
833903.13,14.12,0.53,188582.96,3.19
833767.17,14.12,0.53,188468.41,3.19
834036.0,14.13,0.53,188470.26,3.19
833691.21,14.13,0.53,188468.44,3.19
833555.25,14.13,0.53,188365.54,3.19
833824.08,14.13,0.54,188365.78,3.19
833824.08,14.13,0.54,188491.58,3.19
833875.77,14.13,0.54,188491.31,3.19
833875.77,14.13,0.54,188491.31,3.19
833739.81,14.13,0.54,189081.1,3.21
833923.52,14.14,0.54,189364.99,3.21
833975.21,14.14,0.55,189365.17,3.21
833637.9,14.14,0.54,188594.54,3.2
833682.12,14.14,0.54,189937.28,3.22
833950.95,14.15,0.55,189936.9,3.22
833814.99,14.15,0.55,189936.9,3.22
833679.03,14.15,0.55,189932.38,3.22
833730.72,14.15,0.55,189989.36,3.22
833594.76,14.15,0.55,190004.81,3.22
833458.8,14.15,0.55,190000.09,3.23
833322.84,14.15,0.55,189989.36,3.23
833594.87,14.15,0.56,190478.41,3.23
833594.87,14.15,0.56,190478.41,3.23
833458.91,14.15,0.56,190375.5,3.23
833114.13,14.15,0.55,190060.38,3.23
832836.13,14.15,0.55,189755.51,3.22
832700.18,14.15,0.55,189755.51,3.22
832564.22,14.15,0.55,189581.59,3.22
832428.26,14.15,0.55,190241.29,3.23
832428.26,14.15,0.55,190241.29,3.23
832100.26,14.14,0.55,189874.96,3.23
831964.3,14.14,0.55,189875.23,3.23
831828.34,14.14,0.55,189772.06,3.23
831865.71,14.14,0.55,189801.13,3.23
831729.75,14.14,0.55,189801.4,3.23
831729.75,14.14,0.55,189835.36,3.23
831781.44,14.15,0.55,189835.54,3.23
832017.21,14.15,0.55,189835.17,3.23
832068.91,14.15,0.56,189835.17,3.23
832120.6,14.16,0.56,189835.86,3.23
831984.64,14.16,0.56,189835.17,3.23
831702.91,14.15,0.56,189835.17,3.23
831566.95,14.15,0.56,189732.0,3.23
831569.3,14.15,0.56,189734.65,3.23
831573.85,14.15,0.56,189731.39,3.23
831437.89,14.15,0.56,189628.48,3.23
831301.93,14.15,0.56,189628.48,3.23
831165.97,14.15,0.56,190016.24,3.24
830873.7,14.15,0.55,189767.48,3.23
831145.73,14.15,0.56,189751.95,3.23
831009.77,14.15,0.56,189732.34,3.23
830873.81,14.15,0.56,189649.04,3.23
830737.85,14.15,0.56,190326.93,3.24
830789.54,14.16,0.56,190327.11,3.24
830841.23,14.16,0.56,190450.21,3.25
830841.23,14.16,0.56,190450.21,3.25
831110.06,14.17,0.57,190449.84,3.25
830974.1,14.17,0.57,190407.64,3.25
830696.1,14.16,0.57,190088.28,3.24
830560.14,14.16,0.57,190068.67,3.24
830215.36,14.16,0.56,190068.67,3.24
830267.05,14.16,0.56,190103.59,3.24
830131.09,14.16,0.56,190109.87,3.24
830182.78,14.16,0.57,190090.54,3.24
830046.82,14.16,0.57,190068.67,3.24
830098.52,14.17,0.57,190966.35,3.26
830433.05,14.17,0.58,191204.31,3.26
830370.55,14.17,0.58,191286.44,3.26
830554.26,14.18,0.58,191286.25,3.27
830418.3,14.18,0.58,191202.96,3.26
830470.0,14.18,0.58,191202.96,3.26
830470.0,14.18,0.58,191145.03,3.26
