ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
195,422,318370,6212,318370
196,424,319180,6212,319180
196,424,320180,6212,320180
197,426,321180,6212,321180
197,426,322180,6212,322180
198,428,322730,6212,322730
199,436,322730,6212,322730
199,436,323730,6212,323730
199,436,324200,6212,324200
199,436,324520,6212,324520
200,438,325520,6212,325520
200,438,326520,6212,326520
201,440,327520,6212,327520
201,440,327520,6212,327520
201,440,327890,6212,327890
202,442,328890,6212,328890
202,442,329890,6212,329890
202,442,329890,6212,329890
203,444,330890,6212,330890
203,444,330890,6212,330890
203,444,331700,6212,331700
203,444,332290,6212,332290
204,446,333100,6212,333100
204,446,333910,6212,333910
205,448,334910,6212,334910
205,448,335230,6212,335230
205,448,336230,6212,336230
205,448,336230,6212,336230
206,456,336230,6212,336230
207,458,337230,6212,337230
207,458,338230,6212,338230
208,460,339230,6212,339230
208,460,339550,6212,339550
208,460,340100,6212,340100
209,462,341100,6212,341100
209,462,342100,6212,342100
210,464,343100,6212,343100
210,464,343910,6212,343910
211,466,344720,6212,344720
211,466,344720,6212,344720
211,466,345190,6212,345190
212,468,346190,6212,346190
212,468,346510,6212,346510
212,468,347510,6212,347510
213,470,347980,6212,347980
213,470,348790,6212,348790
214,472,349790,6212,349790
214,472,350600,6212,350600
215,474,351600,6212,351600
216,476,352410,6212,352410
216,476,352730,6212,352730
216,476,352960,6212,352960
216,476,353610,6212,353610
217,478,354610,6212,354610
217,478,355420,6212,355420
217,478,355420,6212,355420
218,480,356420,6212,356420
218,480,357420,6212,357420
219,482,358420,6212,358420
219,482,358580,6212,358580
219,482,359230,6212,359230
219,482,359230,6212,359230
220,484,360040,6212,360040
220,484,360630,6212,360630
221,486,361630,6212,361630
221,486,362440,6212,362440
222,488,362910,6212,362910
223,490,363910,6212,363910
223,490,364910,6212,364910
223,490,365910,6212,365910
224,492,366380,6212,366380
224,492,367380,6212,367380
224,492,367850,6212,367850
225,494,368850,6212,368850
225,494,369170,6212,369170
225,494,369170,6212,369170
225,494,370170,6212,370170
225,494,370170,6212,370170
225,494,370170,6212,370170
226,496,371170,6212,371170
226,496,372170,6212,372170
227,498,373170,6212,373170
228,506,373170,6212,373170
228,506,373980,6212,373980
229,508,374450,6212,374450
229,508,375450,6212,375450
230,510,376450,6212,376450
230,510,377450,6212,377450
231,512,378450,6212,378450
231,512,378770,6212,378770
231,512,378770,6212,378770
231,512,379770,6212,379770
232,514,380580,6212,380580
232,514,381580,6212,381580
232,514,381810,6212,381810
233,516,382810,6212,382810
233,516,383620,6212,383620
233,516,383850,6212,383850
234,518,384850,6212,384850
234,518,385400,6212,385400
235,520,386400,6212,386400
235,520,386630,6212,386630
236,522,387630,6212,387630
236,522,387630,6212,387630
236,522,387860,6212,387860
236,522,388860,6212,388860
236,522,389670,6212,389670
236,522,389670,6212,389670
237,524,390480,6212,390480
237,524,391480,6212,391480
238,526,392290,6212,392290
238,526,393290,6212,393290
239,528,394290,6212,394290
240,530,395290,6212,395290
241,538,395290,6212,395290
241,538,395290,6212,395290
241,538,395660,6212,395660
241,538,395660,6212,395660
241,538,395660,6212,395660
241,538,396660,6212,396660
241,538,397660,6212,397660
242,540,398660,6212,398660
243,542,399210,6212,399210
243,542,400210,6212,400210
244,544,400680,6212,400680
244,544,401150,6212,401150
244,544,402150,6212,402150
244,544,402470,6212,402470
244,544,403470,6212,403470
245,546,404470,6212,404470
245,546,405020,6212,405020
245,546,405020,6212,405020
246,548,405830,6212,405830
246,548,406380,6212,406380
247,550,407380,6212,407380
247,550,408380,6212,408380
248,558,408380,6212,408380
249,560,409380,6212,409380
249,560,410190,6212,410190
250,562,411190,6212,411190
250,562,411190,6212,411190
250,562,411510,6212,411510
250,562,411510,6212,411510
251,570,419510,6212,419510
251,570,419510,6212,419510
251,570,420510,6212,420510
252,572,421510,6212,421510
252,572,421510,6212,421510
252,572,421510,6212,421510
252,572,422510,6212,422510
253,574,423510,6212,423510
253,574,424320,6212,424320
254,576,424970,6212,424970
254,576,425970,6212,425970
255,578,426440,6212,426440
255,578,427250,6212,427250
256,580,427840,6212,427840
256,580,428840,6212,428840
256,580,429130,6212,429130
257,588,429130,6212,429130
257,588,429130,6212,429130
257,588,429600,6212,429600
258,590,430250,6212,430250
258,590,430620,6212,430620
258,590,430940,6212,430940
259,592,431940,6212,431940
259,592,431940,6212,431940
259,592,432410,6212,432410
259,592,432880,6212,432880
260,594,433110,6212,433110
260,594,434110,6212,434110
261,596,435110,6212,435110
261,596,435580,6212,435580
261,596,436580,6212,436580
262,598,437580,6212,437580
262,598,438390,6212,438390
263,600,439390,6212,439390
264,602,439860,6212,439860
264,602,440020,6212,440020
264,602,441020,6212,441020
265,604,442020,6212,442020
265,604,442490,6212,442490
265,604,443490,6212,443490
266,606,444140,6212,444140
266,606,445140,6212,445140
267,608,445790,6212,445790
268,616,445790,6212,445790
268,616,446600,6212,446600
268,616,446920,6212,446920
268,616,447920,6212,447920
268,616,448150,6212,448150
269,618,449150,6212,449150
269,618,450150,6212,450150
270,620,450620,6212,450620
270,620,450730,6212,450730
270,620,450730,6212,450730
271,622,451200,6212,451200
271,622,452200,6212,452200
271,622,452570,6212,452570
271,622,452570,6212,452570
272,624,453030,6212,453030
272,624,453030,6212,453030
272,624,454030,6212,454030
272,624,454030,6212,454030
272,624,454840,6212,454840
273,626,455650,6212,455650
273,626,456460,6212,456460
274,628,457460,6212,457460
274,628,458460,6212,458460
275,630,459460,6212,459460
275,630,459460,6212,459460
275,630,460270,6212,460270
276,632,461270,6212,461270
276,632,461920,6212,461920
276,632,462240,6212,462240
277,640,470240,6212,470240
278,642,471240,6212,471240
278,642,472240,6212,472240
279,644,473240,6212,473240
279,644,474050,6212,474050
279,644,474050,6212,474050
279,644,474050,6212,474050
280,646,475050,6212,475050
280,646,476050,6212,476050
281,648,477050,6212,477050
281,648,477520,6212,477520
281,648,478520,6212,478520
282,650,479520,6212,479520
282,650,480520,6212,480520
283,652,481520,6212,481520
284,654,481980,6212,481980
284,654,482790,6212,482790
284,654,483790,6212,483790
285,656,484600,6212,484600
285,656,484650,6212,484650
285,656,485090,6212,485090
285,656,485680,6212,485680
286,658,486490,6212,486490
286,658,487490,6212,487490
286,658,487490,6212,487490
287,660,488490,6212,488490
287,660,488600,6212,488600
287,660,488920,6212,488920
287,660,489730,6212,489730
288,662,490540,6212,490540
288,662,491010,6212,491010
289,664,492010,6212,492010
289,664,493010,6212,493010
290,666,493660,6212,493660
290,666,493980,6212,493980
290,666,494450,6212,494450
291,668,495260,6212,495260
291,668,495580,6212,495580
291,668,496040,6212,496040
291,668,497040,6212,497040
292,670,498040,6212,498040
292,670,498850,6212,498850
293,672,499850,6212,499850
293,672,500850,6212,500850
293,672,500850,6212,500850
294,674,501850,6212,501850
294,674,502850,6212,502850
295,676,503850,6212,503850
295,676,504320,6212,504320
296,678,504970,6212,504970
296,678,505780,6212,505780
297,680,506780,6212,506780
297,680,507590,6212,507590
298,682,508590,6212,508590
298,682,509400,6212,509400
299,684,510400,6212,510400
300,692,510400,6212,510400
300,692,510950,6212,510950
301,694,511540,6212,511540
301,694,512540,6212,512540
302,696,513130,6212,513130
302,696,513600,6212,513600
302,696,513830,6212,513830
302,696,514150,6212,514150
302,696,514470,6212,514470
302,696,515280,6212,515280
302,696,515280,6212,515280
302,696,515280,6212,515280
303,698,515830,6212,515830
303,698,516300,6212,516300
304,700,517110,6212,517110
304,700,518110,6212,518110
305,702,519110,6212,519110
305,702,519110,6212,519110
305,702,519760,6212,519760
305,702,519760,6212,519760
