ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1590737.82,26.24,0.75,226086.44,3.73
1590531.62,26.24,0.75,226084.27,3.73
1590513.46,26.25,0.75,226180.66,3.73
1590495.3,26.25,0.76,226331.07,3.74
1590289.11,26.25,0.76,226257.0,3.73
1590289.11,26.25,0.76,226282.18,3.74
1590014.35,26.25,0.76,226225.53,3.73
1590241.87,26.26,0.76,226309.93,3.74
1589962.46,26.25,0.76,226225.63,3.74
1589588.74,26.25,0.76,226070.48,3.73
1589886.95,26.26,0.76,226626.86,3.74
1589641.25,26.26,0.76,226835.6,3.75
1589571.71,26.26,0.77,226397.21,3.74
1589411.79,26.26,0.77,226274.59,3.74
1589075.63,26.26,0.76,225908.25,3.73
1589057.47,26.26,0.76,226004.64,3.73
1589176.01,26.27,0.77,226256.49,3.74
1588956.3,26.26,0.77,226107.06,3.74
1588956.3,26.26,0.77,226107.06,3.74
1588956.3,26.26,0.77,226073.45,3.74
1588956.3,26.26,0.77,226113.93,3.74
1588643.19,26.26,0.77,225819.97,3.73
1588625.03,26.26,0.77,225916.36,3.74
1587804.89,26.27,0.77,225873.06,3.74
1587598.69,26.27,0.77,225801.99,3.74
1587366.15,26.27,0.77,225792.18,3.74
1587159.96,26.27,0.77,225787.02,3.74
1586895.4,26.27,0.77,225826.19,3.74
1586630.84,26.27,0.77,225795.63,3.74
1586858.36,26.28,0.77,226104.18,3.74
