ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
198,494,396800,6212,396800
198,494,397800,6212,397800
199,496,398030,6212,398030
199,496,398030,6212,398030
200,498,399030,6212,399030
200,498,399840,6212,399840
200,498,400840,6212,400840
200,498,401840,6212,401840
200,498,402160,6212,402160
201,500,403160,6212,403160
201,500,403160,6212,403160
201,500,404160,6212,404160
202,502,404970,6212,404970
202,502,405520,6212,405520
202,502,405520,6212,405520
202,502,405680,6212,405680
202,502,406000,6212,406000
203,504,406810,6212,406810
203,504,407280,6212,407280
204,506,408280,6212,408280
204,506,409090,6212,409090
205,508,409560,6212,409560
205,508,410020,6212,410020
205,508,411020,6212,411020
206,510,412020,6212,412020
206,510,413020,6212,413020
206,510,413240,6212,413240
206,510,413240,6212,413240
207,512,414240,6212,414240
208,520,422240,6212,422240
209,522,423240,6212,423240
209,522,424050,6212,424050
209,522,424050,6212,424050
209,522,425050,6212,425050
210,530,426050,6212,426050
211,532,426270,6212,426270
211,532,426920,6212,426920
211,532,427920,6212,427920
211,532,428920,6212,428920
212,534,429920,6212,429920
212,534,430570,6212,430570
213,536,431380,6212,431380
213,536,432380,6212,432380
213,536,433030,6212,433030
214,538,433500,6212,433500
214,538,433500,6212,433500
214,538,434310,6212,434310
214,538,434780,6212,434780
215,540,435250,6212,435250
215,540,435720,6212,435720
215,540,436190,6212,436190
216,542,437000,6212,437000
216,542,438000,6212,438000
216,542,438320,6212,438320
216,542,439320,6212,439320
216,542,440130,6212,440130
216,542,440600,6212,440600
216,542,441600,6212,441600
216,542,441920,6212,441920
217,544,442730,6212,442730
217,544,442890,6212,442890
217,544,443890,6212,443890
217,544,444540,6212,444540
217,544,444540,6212,444540
217,544,445540,6212,445540
218,546,446010,6212,446010
219,548,447010,6212,447010
219,548,447330,6212,447330
219,548,448330,6212,448330
220,552,449330,6212,449330
220,552,449700,6212,449700
220,552,450700,6212,450700
220,552,451700,6212,451700
221,554,452700,6212,452700
221,554,453700,6212,453700
221,554,454700,6212,454700
222,556,455700,6212,455700
222,556,456700,6212,456700
222,556,456700,6212,456700
222,556,456700,6212,456700
222,556,456930,6212,456930
223,558,457930,6212,457930
223,558,457930,6212,457930
223,558,458250,6212,458250
224,560,458720,6212,458720
224,560,459720,6212,459720
225,562,460720,6212,460720
226,564,461720,6212,461720
226,564,462530,6212,462530
227,566,463340,6212,463340
227,566,463820,6212,463820
227,566,464820,6212,464820
228,568,465820,6212,465820
228,568,466820,6212,466820
228,568,466820,6212,466820
229,576,467820,6212,467820
230,578,468820,6212,468820
