ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
910386.67,15.03,1.41,184381.72,3.04
910254.34,15.03,1.41,183739.63,3.03
910262.93,15.03,1.41,183642.18,3.03
910529.28,15.04,1.42,183398.69,3.03
910141.05,15.04,1.42,182909.05,3.02
910196.85,15.04,1.42,182550.87,3.02
910017.31,15.04,1.42,182174.04,3.01
910073.11,15.04,1.42,181815.87,3.01
909817.17,15.04,1.42,181528.18,3.0
909825.77,15.04,1.42,181330.42,3.0
911513.89,15.07,1.45,182407.29,3.02
911569.69,15.07,1.45,182049.11,3.01
911371.79,15.07,1.45,181772.08,3.01
911192.24,15.07,1.45,181390.72,3.0
911710.32,15.08,1.46,180948.7,2.99
912364.54,15.09,1.47,181592.87,3.0
914161.96,15.12,1.5,182413.04,3.02
915076.3,15.14,1.52,183799.41,3.04
915119.84,15.14,1.52,183206.03,3.03
915119.84,15.14,1.52,183187.78,3.03
915193.36,15.14,1.52,184066.18,3.05
915425.66,15.15,1.53,183749.21,3.04
915577.43,15.15,1.53,183799.57,3.04
915548.41,15.15,1.53,182632.55,3.02
918856.55,15.21,1.59,185009.56,3.06
920672.55,15.24,1.62,185798.5,3.08
920891.83,15.24,1.62,186389.53,3.09
922886.76,15.28,1.66,187308.06,3.1
922918.9,15.28,1.66,187436.13,3.1
922952.11,15.28,1.66,187614.6,3.11
923220.24,15.29,1.67,187210.19,3.1
923330.52,15.29,1.67,187257.2,3.1
924230.28,15.31,1.69,189254.23,3.13
924402.09,15.31,1.69,189330.9,3.14
924623.41,15.32,1.7,189591.54,3.14
924675.35,15.32,1.7,189710.13,3.14
924727.28,15.32,1.7,189779.59,3.14
924449.26,15.32,1.7,189702.42,3.14
924299.68,15.32,1.7,189510.78,3.14
924163.47,15.32,1.7,189460.44,3.14
924391.54,15.32,1.7,189747.23,3.15
924243.29,15.32,1.7,189560.38,3.14
924464.61,15.33,1.71,189588.54,3.14
924516.55,15.33,1.71,189811.55,3.15
924380.34,15.33,1.71,189787.75,3.15
924244.14,15.33,1.71,189675.09,3.15
924296.07,15.33,1.71,189793.68,3.15
924159.86,15.33,1.71,189723.47,3.15
924211.79,15.34,1.72,189425.19,3.14
924263.73,15.34,1.72,189264.49,3.14
924147.26,15.34,1.72,189632.3,3.15
924147.26,15.34,1.72,189632.3,3.15
924149.12,15.34,1.72,189638.69,3.15
924396.98,15.35,1.73,189740.85,3.15
924099.46,15.34,1.72,189597.99,3.15
924285.97,15.35,1.73,189732.35,3.15
924362.67,15.35,1.73,189315.99,3.14
924418.47,15.35,1.73,189006.96,3.14
924427.07,15.36,1.73,189704.4,3.15
924427.07,15.36,1.73,189704.4,3.15
924268.93,15.35,1.73,189550.8,3.15
924268.93,15.35,1.73,189550.8,3.15
924504.95,15.36,1.74,189910.19,3.15
924393.51,15.36,1.74,188973.13,3.14
925254.11,15.38,1.76,190302.11,3.16
925135.94,15.37,1.75,190159.89,3.16
925187.88,15.38,1.76,190278.49,3.16
925457.32,15.38,1.76,190439.72,3.17
925461.04,15.38,1.76,190452.51,3.17
925506.54,15.38,1.76,190481.95,3.17
925558.47,15.39,1.77,190183.67,3.16
925432.07,15.39,1.77,190576.09,3.17
925493.93,15.39,1.77,190390.78,3.17
925526.13,15.39,1.77,190267.54,3.16
925578.06,15.4,1.77,189969.25,3.16
925481.32,15.4,1.78,189860.12,3.16
926216.62,15.41,1.79,190483.4,3.17
926080.42,15.41,1.79,190346.93,3.17
926086.01,15.41,1.79,190352.65,3.17
926244.75,15.41,1.79,190756.2,3.17
926244.75,15.41,1.79,190787.67,3.17
926566.4,15.42,1.8,191300.7,3.18
926364.48,15.42,1.8,191113.24,3.18
926206.34,15.41,1.79,190955.11,3.18
926070.14,15.41,1.79,190818.64,3.18
926003.55,15.41,1.79,190635.57,3.17
926003.55,15.41,1.79,190631.07,3.17
926003.55,15.41,1.79,190609.15,3.17
926055.48,15.42,1.8,190795.18,3.18
925729.84,15.41,1.79,190642.32,3.17
925965.86,15.42,1.8,191001.72,3.18
926262.45,15.42,1.8,190095.4,3.17
926716.63,15.43,1.81,191698.74,3.19
926559.48,15.43,1.81,191377.94,3.19
926611.41,15.44,1.82,191079.66,3.18
926663.35,15.44,1.82,190918.96,3.18
926570.48,15.44,1.82,191372.22,3.19
926579.07,15.44,1.82,191163.66,3.19
926750.88,15.45,1.83,191240.32,3.19
926971.16,15.45,1.83,191712.2,3.2
926971.16,15.45,1.83,191714.31,3.2
927023.09,15.46,1.83,191416.02,3.19
926803.29,15.45,1.83,191054.83,3.19
926855.22,15.46,1.84,190894.13,3.18
926866.89,15.46,1.84,190985.0,3.18
926923.72,15.46,1.84,191011.07,3.19
927090.63,15.46,1.84,191550.38,3.19
926818.2,15.46,1.84,191265.28,3.19
926630.18,15.46,1.84,191056.11,3.19
926885.24,15.46,1.84,190524.95,3.18
926727.1,15.46,1.84,190366.81,3.18
926964.97,15.47,1.85,190245.78,3.17
926690.37,15.46,1.84,191435.88,3.19
926824.12,15.47,1.85,190899.32,3.19
926824.12,15.47,1.85,190924.02,3.19
926641.19,15.46,1.84,190723.19,3.18
926641.19,15.46,1.84,190695.53,3.18
926862.51,15.47,1.85,190723.68,3.18
926611.92,15.47,1.85,190563.02,3.18
926663.86,15.47,1.85,190786.03,3.19
926366.33,15.47,1.85,190643.18,3.18
926366.33,15.47,1.85,190645.95,3.18
926594.4,15.47,1.85,190271.89,3.18
926359.33,15.47,1.85,190095.9,3.17
926092.84,15.47,1.84,189857.73,3.17
926897.4,15.48,1.86,191698.44,3.2
927069.21,15.48,1.86,191775.1,3.2
926933.0,15.48,1.86,191867.99,3.21
926796.8,15.49,1.86,191833.68,3.21
926968.61,15.49,1.87,192037.55,3.21
927204.63,15.49,1.87,192396.95,3.22
927226.56,15.5,1.88,192094.41,3.21
928048.81,15.51,1.89,192447.68,3.22
928855.72,15.53,1.91,193366.32,3.23
928821.41,15.53,1.91,192929.51,3.23
928685.21,15.53,1.91,192895.19,3.23
928857.02,15.53,1.91,193099.06,3.23
929078.34,15.54,1.92,193127.22,3.23
929078.34,15.54,1.92,193094.63,3.23
928942.14,15.54,1.92,193215.35,3.23
928675.83,15.53,1.91,192975.98,3.23
928368.3,15.53,1.91,192740.64,3.22
928420.24,15.53,1.91,192442.36,3.22
928472.17,15.54,1.92,192281.67,3.22
928713.22,15.54,1.92,192224.53,3.22
928713.22,15.54,1.92,192218.17,3.22
928715.09,15.54,1.92,192220.62,3.22
928747.28,15.54,1.92,192621.9,3.22
928455.35,15.54,1.92,192588.05,3.22
928455.35,15.54,1.92,192629.63,3.22
928297.21,15.54,1.92,192471.49,3.22
928349.14,15.54,1.92,192590.08,3.22
928520.95,15.55,1.93,192736.7,3.23
928384.75,15.55,1.93,192173.76,3.22
928288.01,15.55,1.93,192072.29,3.22
928825.57,15.56,1.94,193067.7,3.23
929061.59,15.56,1.94,193427.09,3.24
929103.58,15.56,1.94,193477.43,3.24
928895.64,15.56,1.94,193031.66,3.23
928972.34,15.57,1.95,192625.7,3.23
928972.34,15.57,1.95,192619.34,3.23
928840.0,15.57,1.95,192894.06,3.23
928894.88,15.57,1.95,192703.32,3.23
928716.86,15.57,1.95,192533.65,3.23
928952.89,15.57,1.95,192893.05,3.23
929029.58,15.58,1.95,192487.08,3.23
928878.08,15.57,1.95,192313.16,3.22
928538.0,15.57,1.95,191937.06,3.22
929391.38,15.59,1.97,192923.04,3.24
929233.24,15.58,1.96,192764.9,3.23
929111.74,15.58,1.96,192446.52,3.23
929355.52,15.59,1.97,192352.06,3.23
929630.21,15.6,1.98,193123.62,3.24
929588.11,15.6,1.98,192862.18,3.24
929640.04,15.6,1.98,192563.89,3.23
929871.17,15.61,1.99,192547.95,3.23
929876.75,15.61,1.99,192553.54,3.23
929938.62,15.61,1.99,192351.65,3.23
929878.52,15.61,1.99,192953.15,3.24
929498.88,15.61,1.98,192539.07,3.23
929726.94,15.61,1.99,192165.0,3.23
