ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1813448.08,30.63,2.12,239204.07,4.04
1813149.69,30.63,2.12,239204.49,4.04
1812765.28,30.63,2.12,238946.6,4.04
1812465.35,30.63,2.12,238870.71,4.04
1811991.56,30.63,2.11,238253.82,4.03
1812013.22,30.63,2.12,238211.15,4.03
1811704.5,30.63,2.12,238139.03,4.03
1811474.68,30.63,2.12,238735.11,4.04
1811109.8,30.63,2.12,238390.41,4.03
1810446.02,30.62,2.11,237583.52,4.02
1810147.63,30.62,2.11,237516.25,4.02
1809847.7,30.62,2.11,237508.05,4.02
1809183.91,30.62,2.11,236701.16,4.01
1808885.53,30.62,2.11,236689.28,4.01
1809024.85,30.62,2.11,236978.1,4.01
1810011.04,30.64,2.13,238319.83,4.03
1810011.04,30.64,2.13,238319.83,4.03
1809712.65,30.64,2.13,238307.95,4.04
1809712.65,30.64,2.13,238307.95,4.04
1809412.72,30.64,2.13,238244.35,4.03
1809114.33,30.65,2.13,238174.16,4.03
1809114.33,30.65,2.13,238174.16,4.03
1808450.55,30.64,2.13,237367.27,4.02
1808251.78,30.64,2.13,237092.79,4.02
1807983.6,30.64,2.13,237097.3,4.02
1807683.67,30.64,2.13,237092.01,4.02
1807683.67,30.64,2.13,237092.01,4.02
1807683.67,30.64,2.13,237092.01,4.02
1807314.41,30.63,2.12,236809.59,4.01
1806985.94,30.63,2.12,236692.24,4.01
1806512.15,30.63,2.12,236075.35,4.0
1806512.15,30.63,2.12,236103.17,4.0
1805781.08,30.62,2.11,235408.82,3.99
1805564.89,30.62,2.11,235274.19,3.99
1805349.39,30.62,2.11,235210.9,3.99
1805320.32,30.63,2.11,235388.84,3.99
1805021.93,30.63,2.11,235376.96,3.99
1805367.99,30.63,2.12,236056.76,4.01
1804894.21,30.63,2.12,235439.87,4.0
1804420.43,30.63,2.11,234822.98,3.99
1804446.23,30.63,2.12,235075.11,3.99
1804230.73,30.63,2.12,235011.6,3.99
1804010.03,30.63,2.12,234791.98,3.99
1803704.41,30.63,2.12,234695.0,3.99
1803487.37,30.63,2.12,234689.7,3.99
1803271.87,30.63,2.12,234694.96,3.99
1803054.83,30.63,2.12,234620.9,3.99
1803190.92,30.64,2.12,234515.91,3.98
1802821.87,30.63,2.12,235017.69,3.99
1802860.86,30.64,2.12,235108.31,4.0
1802562.48,30.64,2.12,235041.03,4.0
1802262.54,30.64,2.13,235032.83,4.0
1801964.15,30.64,2.13,234962.65,4.0
1801971.98,30.64,2.13,235098.81,4.0
1801672.04,30.64,2.13,235093.52,4.0
1801198.26,30.64,2.12,234476.63,3.99
1800724.48,30.63,2.12,233859.74,3.98
1800426.09,30.63,2.12,233909.11,3.98
1799762.31,30.63,2.11,233102.22,3.97
1799546.81,30.63,2.11,233107.48,3.97
1799517.73,30.63,2.12,233194.86,3.97
1799037.01,30.63,2.11,232559.89,3.96
1798738.88,30.63,2.11,232529.92,3.96
1798878.2,30.63,2.12,232766.38,3.96
1798662.71,30.64,2.12,232703.09,3.96
1798662.71,30.64,2.12,232702.07,3.96
1798662.71,30.64,2.12,232698.55,3.96
1798445.67,30.64,2.12,232693.03,3.96
1798445.67,30.64,2.12,232693.03,3.96
1798230.17,30.64,2.12,232685.67,3.96
1798230.17,30.64,2.12,232685.67,3.96
1798201.09,30.64,2.12,232785.67,3.97
1797895.48,30.64,2.12,232734.77,3.97
1797689.74,30.64,2.12,232540.07,3.96
1797381.03,30.64,2.12,232461.49,3.96
1796907.24,30.64,2.12,231844.6,3.95
1796419.26,30.63,2.11,231209.62,3.94
1796419.26,30.63,2.11,231209.62,3.94
1796203.77,30.63,2.11,231146.56,3.94
1795878.03,30.63,2.11,230830.85,3.94
1795660.99,30.63,2.11,230825.11,3.94
1795445.5,30.63,2.11,230761.85,3.94
1795445.5,30.63,2.11,230761.85,3.94
1795127.45,30.63,2.11,230442.55,3.93
1794897.62,30.63,2.11,230739.21,3.94
1794510.02,30.63,2.11,230358.63,3.93
1794510.02,30.63,2.11,230358.63,3.93
1794292.97,30.63,2.11,230353.08,3.93
1793629.19,30.63,2.1,229546.19,3.92
1793330.17,30.62,2.1,229503.09,3.92
1793001.7,30.62,2.1,229385.74,3.92
1793001.7,30.62,2.1,229384.72,3.92
1792786.2,30.63,2.1,229321.21,3.92
1792488.07,30.63,2.1,229381.17,3.92
1792271.03,30.63,2.1,229375.87,3.92
1791891.77,30.62,2.1,229074.56,3.91
1791586.15,30.62,2.1,229015.99,3.91
1791277.44,30.62,2.1,228945.08,3.91
1791249.91,30.63,2.1,229041.21,3.92
1791220.83,30.63,2.1,229199.17,3.92
1790991.0,30.63,2.11,229496.03,3.93
1790991.0,30.63,2.11,229496.03,3.93
1790991.0,30.63,2.11,229496.03,3.93
1790603.4,30.63,2.11,229115.24,3.92
1790397.4,30.63,2.1,228810.46,3.91
1790181.91,30.63,2.1,228747.02,3.91
1789964.87,30.63,2.1,228741.65,3.91
1789637.89,30.63,2.1,228549.08,3.91
1789747.0,30.64,2.11,228545.06,3.91
