ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
868883.02,15.13,2.86,791693.56,13.78
868833.02,15.13,2.86,791643.56,13.78
868641.96,15.12,2.86,791383.89,13.78
868417.69,15.12,2.86,791282.27,13.78
868415.44,15.13,2.86,791222.83,13.78
868379.97,15.13,2.86,791251.98,13.78
868188.92,15.13,2.86,791077.09,13.78
867980.18,15.12,2.86,790939.28,13.78
867755.9,15.12,2.86,790752.88,13.78
868006.45,15.13,2.86,790739.35,13.78
867970.99,15.13,2.86,790903.2,13.79
867555.66,15.13,2.86,790541.9,13.78
867342.76,15.13,2.86,789856.21,13.77
867217.17,15.13,2.86,789649.71,13.77
867026.11,15.13,2.86,789391.16,13.77
867026.11,15.13,2.86,789391.16,13.77
867026.11,15.13,2.86,789391.16,13.77
866801.84,15.12,2.86,789288.41,13.77
866610.78,15.12,2.86,789028.75,13.77
866195.45,15.12,2.86,788667.46,13.77
865971.18,15.12,2.86,788565.83,13.77
865971.18,15.12,2.86,788565.83,13.77
865780.12,15.12,2.85,788313.91,13.77
865398.51,15.11,2.85,788046.78,13.76
865363.05,15.12,2.85,788123.26,13.77
864345.63,15.12,2.85,787311.86,13.77
