ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
202,484,335080,6212,335080
203,492,335080,6212,335080
203,492,335080,6212,335080
203,492,336080,6212,336080
204,494,337080,6212,337080
205,496,337890,6212,337890
205,496,338890,6212,338890
205,496,339350,6212,339350
206,498,340350,6212,340350
206,498,340350,6212,340350
206,498,340820,6212,340820
206,498,340820,6212,340820
207,502,344820,6212,344820
207,502,344820,6212,344820
208,504,345280,6212,345280
208,504,346280,6212,346280
209,506,347280,6212,347280
209,506,348280,6212,348280
210,508,349280,6212,349280
210,508,350280,6212,350280
210,508,350440,6212,350440
210,508,350440,6212,350440
211,516,350440,6212,350440
212,518,351440,6212,351440
212,518,352440,6212,352440
212,518,352670,6212,352670
213,520,353670,6212,353670
213,520,354670,6212,354670
214,522,356670,6212,356670
214,522,356670,6212,356670
214,522,357130,6212,357130
215,524,358130,6212,358130
215,524,358130,6212,358130
215,524,359130,6212,359130
215,524,359940,6212,359940
216,526,360940,6212,360940
216,526,361940,6212,361940
217,528,362940,6212,362940
217,528,363940,6212,363940
218,530,364260,6212,364260
218,530,364260,6212,364260
219,532,365260,6212,365260
219,532,365730,6212,365730
219,532,366380,6212,366380
220,534,366850,6212,366850
220,534,367850,6212,367850
221,536,368320,6212,368320
222,538,369320,6212,369320
223,540,369970,6212,369970
223,540,370440,6212,370440
223,540,370670,6212,370670
224,542,371670,6212,371670
224,542,372670,6212,372670
224,542,373670,6212,373670
224,542,373670,6212,373670
224,542,373670,6212,373670
225,550,373670,6212,373670
226,552,374670,6212,374670
226,552,375670,6212,375670
226,552,383670,6212,383670
226,552,383900,6212,383900
226,552,383900,6212,383900
226,552,384710,6212,384710
226,552,385180,6212,385180
227,554,386180,6212,386180
227,554,386180,6212,386180
227,554,386180,6212,386180
228,556,387180,6212,387180
228,556,388180,6212,388180
228,556,388180,6212,388180
229,558,389180,6212,389180
229,558,390180,6212,390180
230,560,391180,6212,391180
230,560,391180,6212,391180
230,560,391990,6212,391990
230,560,392990,6212,392990
230,560,393990,6212,393990
231,562,394990,6212,394990
231,562,395220,6212,395220
232,564,396030,6212,396030
232,564,397030,6212,397030
232,564,397350,6212,397350
232,564,397720,6212,397720
233,566,398720,6212,398720
233,566,398720,6212,398720
233,566,399720,6212,399720
234,574,399720,6212,399720
234,574,399720,6212,399720
234,574,399880,6212,399880
234,574,399880,6212,399880
235,576,400880,6212,400880
236,578,401530,6212,401530
236,578,402340,6212,402340
237,580,402810,6212,402810
237,580,402810,6212,402810
237,580,403810,6212,403810
237,580,404400,6212,404400
238,582,405210,6212,405210
239,584,406210,6212,406210
239,584,407210,6212,407210
240,586,408210,6212,408210
240,586,409210,6212,409210
240,586,409760,6212,409760
241,588,410760,6212,410760
241,588,411760,6212,411760
241,588,412230,6212,412230
242,590,412700,6212,412700
243,592,413700,6212,413700
243,592,413700,6212,413700
243,592,414170,6212,414170
244,600,422170,6212,422170
244,600,422820,6212,422820
245,602,423820,6212,423820
246,604,424820,6212,424820
246,604,425820,6212,425820
247,606,426470,6212,426470
247,606,426790,6212,426790
247,606,426790,6212,426790
248,608,427790,6212,427790
249,616,427790,6212,427790
249,616,427790,6212,427790
249,616,428110,6212,428110
250,624,436110,6212,436110
250,624,436340,6212,436340
250,624,437340,6212,437340
251,626,437810,6212,437810
251,626,438620,6212,438620
252,628,439620,6212,439620
252,628,440620,6212,440620
252,628,441620,6212,441620
253,630,442620,6212,442620
253,630,443090,6212,443090
253,630,444090,6212,444090
254,632,445090,6212,445090
255,634,446090,6212,446090
255,634,446090,6212,446090
255,634,447090,6212,447090
255,634,447900,6212,447900
256,636,448900,6212,448900
257,638,449490,6212,449490
257,638,450490,6212,450490
257,638,450810,6212,450810
257,638,450810,6212,450810
257,638,451130,6212,451130
258,640,452130,6212,452130
258,640,453130,6212,453130
258,640,453130,6212,453130
258,640,453130,6212,453130
259,642,455130,6212,455130
259,642,455600,6212,455600
260,644,456070,6212,456070
260,644,456070,6212,456070
260,644,456540,6212,456540
260,644,456540,6212,456540
261,646,457540,6212,457540
261,646,458010,6212,458010
261,646,458480,6212,458480
261,646,458480,6212,458480
262,654,458480,6212,458480
262,654,459480,6212,459480
262,654,459480,6212,459480
262,654,459480,6212,459480
262,654,459710,6212,459710
263,656,460710,6212,460710
263,656,461710,6212,461710
263,656,461710,6212,461710
264,658,462710,6212,462710
264,658,462710,6212,462710
265,660,463180,6212,463180
265,660,463180,6212,463180
265,660,463340,6212,463340
265,660,464340,6212,464340
266,668,464340,6212,464340
267,670,465340,6212,465340
267,670,465810,6212,465810
268,672,466810,6212,466810
268,672,467810,6212,467810
269,674,468810,6212,468810
269,674,469810,6212,469810
269,674,470460,6212,470460
269,674,470460,6212,470460
269,674,470460,6212,470460
269,674,471460,6212,471460
270,676,472460,6212,472460
270,676,472460,6212,472460
270,676,472460,6212,472460
270,676,473460,6212,473460
270,676,474460,6212,474460
271,678,475270,6212,475270
272,680,476270,6212,476270
272,680,477270,6212,477270
272,680,477270,6212,477270
273,682,478270,6212,478270
273,682,479270,6212,479270
273,682,479740,6212,479740
274,684,480740,6212,480740
274,684,481740,6212,481740
275,686,482740,6212,482740
276,688,483740,6212,483740
277,696,483740,6212,483740
278,698,484550,6212,484550
278,698,484550,6212,484550
278,698,485550,6212,485550
278,698,485710,6212,485710
279,700,486710,6212,486710
280,702,487710,6212,487710
280,702,488180,6212,488180
280,702,489180,6212,489180
281,704,490180,6212,490180
281,704,491180,6212,491180
281,704,491650,6212,491650
281,704,491970,6212,491970
281,704,492970,6212,492970
281,704,493290,6212,493290
282,706,494290,6212,494290
282,706,494290,6212,494290
283,708,495290,6212,495290
283,708,496290,6212,496290
283,708,496290,6212,496290
284,716,496290,6212,496290
285,718,497100,6212,497100
285,718,497570,6212,497570
285,718,497570,6212,497570
286,720,498570,6212,498570
287,722,499570,6212,499570
287,722,500570,6212,500570
288,724,501160,6212,501160
288,724,501630,6212,501630
288,724,502630,6212,502630
288,724,503090,6212,503090
288,724,503090,6212,503090
288,724,503410,6212,503410
288,724,504410,6212,504410
289,726,504880,6212,504880
289,726,505690,6212,505690
290,728,506690,6212,506690
290,728,507690,6212,507690
291,730,508690,6212,508690
291,730,509690,6212,509690
292,732,510690,6212,510690
292,732,511690,6212,511690
293,734,512690,6212,512690
293,734,513690,6212,513690
294,736,514690,6212,514690
294,736,514920,6212,514920
295,738,515730,6212,515730
295,738,515730,6212,515730
295,738,516540,6212,516540
296,746,516540,6212,516540
297,748,517190,6212,517190
297,748,517190,6212,517190
297,748,517190,6212,517190
297,748,517650,6212,517650
298,750,518650,6212,518650
298,750,519120,6212,519120
299,752,519670,6212,519670
299,752,520670,6212,520670
300,754,521670,6212,521670
300,754,522140,6212,522140
300,754,523140,6212,523140
300,754,523140,6212,523140
301,756,524140,6212,524140
302,764,524140,6212,524140
302,764,524140,6212,524140
302,764,524360,6212,524360
303,766,524910,6212,524910
303,766,525910,6212,525910
303,766,525910,6212,525910
303,766,526380,6212,526380
303,766,526380,6212,526380
303,766,526380,6212,526380
303,766,527190,6212,527190
304,768,528190,6212,528190
305,770,529000,6212,529000
305,770,530000,6212,530000
305,770,530000,6212,530000
305,770,530470,6212,530470
305,770,530940,6212,530940
306,772,531750,6212,531750
306,772,532400,6212,532400
306,772,532720,6212,532720
306,772,533720,6212,533720
306,772,533720,6212,533720
307,774,534720,6212,534720
307,774,535720,6212,535720
308,776,536270,6212,536270
308,776,536270,6212,536270
309,778,537270,6212,537270
309,778,538270,6212,538270
309,778,538590,6212,538590
309,778,538810,6212,538810
310,780,539810,6212,539810
310,780,540810,6212,540810
310,780,541810,6212,541810
310,780,541810,6212,541810
311,782,542810,6212,542810
311,782,543620,6212,543620
312,784,544090,6212,544090
312,784,544090,6212,544090
312,784,545090,6212,545090
313,786,546090,6212,546090
313,786,546560,6212,546560
313,786,546880,6212,546880
313,786,547880,6212,547880
313,786,547880,6212,547880
313,786,547880,6212,547880
314,788,548880,6212,548880
314,788,549340,6212,549340
314,788,550340,6212,550340
314,788,550340,6212,550340
315,790,551340,6212,551340
316,792,552150,6212,552150
316,792,552150,6212,552150
316,792,552150,6212,552150
316,792,553150,6212,553150
317,794,554150,6212,554150
317,794,554620,6212,554620
317,794,555620,6212,555620
318,796,556620,6212,556620
318,796,557620,6212,557620
319,798,558620,6212,558620
320,800,559620,6212,559620
320,800,560430,6212,560430
320,800,561430,6212,561430
321,802,562430,6212,562430
321,802,562430,6212,562430
321,802,563430,6212,563430
321,802,564430,6212,564430
322,804,565240,6212,565240
322,804,566050,6212,566050
323,806,566520,6212,566520
323,806,566520,6212,566520
324,808,567520,6212,567520
324,808,568520,6212,568520
325,810,569520,6212,569520
