ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
301,710,583940,6212,585200
301,710,583940,6212,585670
302,712,584940,6212,586670
302,712,584940,6212,586670
302,712,585940,6212,587670
303,714,586940,6212,588670
303,714,587940,6212,589670
304,716,588940,6212,590670
304,716,589160,6212,590890
304,716,590160,6212,591890
305,718,591160,6212,592890
305,718,592160,6212,593890
306,720,592970,6212,594700
306,720,592970,6212,594700
306,720,593430,6212,595160
306,720,593650,6212,595380
307,722,594650,6212,596380
307,722,595650,6212,597380
307,722,596120,6212,597850
307,722,597120,6212,598850
307,722,598120,6212,599850
307,722,599120,6212,600850
308,730,607120,6212,608850
308,730,607440,6212,609170
308,730,607990,6212,609720
308,730,608990,6212,610720
308,730,608990,6212,610720
309,732,609990,6212,611720
309,732,610800,6212,612530
309,732,611270,6212,613000
309,732,612080,6212,613810
310,734,613080,6212,614810
310,734,613300,6212,615030
311,736,614300,6212,616030
311,736,614770,6212,616500
311,736,615580,6212,617310
312,738,616580,6212,618310
312,738,616580,6212,619120
312,738,616900,6212,619440
312,738,616900,6212,619440
313,740,617710,6212,620250
313,740,618520,6212,621060
313,740,618520,6212,621060
313,740,618520,6212,621060
314,742,619330,6212,621870
314,742,620330,6212,622870
315,744,621140,6212,623680
315,744,621460,6212,624000
315,744,622270,6212,624810
316,746,623270,6212,625810
316,746,624080,6212,626620
317,748,625080,6212,627620
317,748,626080,6212,628620
317,748,626400,6212,628940
318,750,627400,6212,629940
318,750,627860,6212,630400
319,752,628860,6212,631400
319,752,629670,6212,632210
320,754,630670,6212,633210
320,754,631670,6212,634210
321,762,632670,6212,635210
321,762,632670,6212,635210
322,764,633480,6212,636020
323,772,634480,6212,637020
323,772,634480,6212,637020
323,772,635480,6212,638020
323,772,636290,6212,638830
324,774,637290,6212,639830
324,774,638290,6212,640830
324,774,639290,6212,641830
325,776,640100,6212,642640
325,776,640910,6212,643450
325,776,641130,6212,643670
326,778,642130,6212,644670
326,778,642590,6212,645130
326,778,643400,6212,645940
327,780,644400,6212,646940
327,780,645400,6212,647940
328,782,646400,6212,648940
328,782,647400,6212,649940
329,784,648400,6212,650940
329,784,649400,6212,651940
329,784,649400,6212,651940
329,784,649400,6212,651940
330,786,650400,6212,652940
330,786,651400,6212,653940
331,788,652400,6212,654940
331,788,653400,6212,655940
332,790,654400,6212,656940
332,790,654400,6212,656940
332,790,654400,6212,656940
332,790,655400,6212,657940
333,792,656210,6212,658750
333,792,657210,6212,659750
334,794,658020,6212,660560
334,794,658020,6212,660560
334,794,659020,6212,661560
335,796,660020,6212,662560
335,796,661020,6212,663560
336,798,662020,6212,664560
336,798,662020,6212,664560
336,798,663020,6212,665560
337,800,663830,6212,666370
337,800,664830,6212,667370
338,802,665830,6212,668370
338,802,666830,6212,669370
339,804,667830,6212,670370
339,804,668830,6212,671370
339,804,669480,6212,672020
340,806,670480,6212,673020
340,806,671480,6212,674020
341,808,672480,6212,675020
341,808,673290,6212,675830
342,810,674290,6212,676830
342,810,674610,6212,677150
343,812,675610,6212,678150
343,812,676610,6212,679150
344,814,677610,6212,680150
344,814,677610,6212,680150
344,814,678610,6212,681150
345,816,679610,6212,682150
345,816,680610,6212,683150
346,818,681610,6212,684150
346,818,682610,6212,685150
347,820,683420,6212,685960
347,820,683420,6212,685960
347,820,683420,6212,685960
347,820,684420,6212,686960
347,820,685070,6212,687610
348,822,686070,6212,688610
348,822,687070,6212,689610
349,824,687660,6212,690200
349,824,687660,6212,690200
349,824,687890,6212,690430
349,824,688890,6212,691430
350,826,689350,6212,691890
350,826,690350,6212,692890
350,826,690350,6212,692890
351,828,691350,6212,693890
351,828,691720,6212,694260
351,828,692720,6212,695260
352,830,693530,6212,696070
352,830,694530,6212,697070
353,832,695530,6212,698070
353,832,696530,6212,699070
354,834,697000,6212,699540
354,834,698000,6212,700540
354,834,699000,6212,701540
354,834,700000,6212,702540
354,834,701000,6212,703540
354,834,702000,6212,704540
354,834,703000,6212,705540
354,834,703000,6212,705540
354,834,703460,6212,706000
355,836,704460,6212,707000
355,836,704460,6212,707000
356,844,705460,6212,708000
356,844,706460,6212,709000
356,844,706460,6212,709000
356,844,706460,6212,709000
357,846,707460,6212,710000
357,846,707460,6212,710000
357,846,708460,6212,711000
357,846,708460,6212,711000
357,846,708620,6212,711160
357,846,709620,6212,712160
358,848,710430,6212,712970
358,848,711430,6212,713970
358,848,711430,6212,713970
