ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
192,472,350550,6212,350550
193,476,351010,6212,351010
194,480,355010,6212,355010
194,480,356010,6212,356010
194,480,357010,6212,357010
194,480,357480,6212,357480
194,480,358070,6212,358070
195,484,358540,6212,358540
195,484,359540,6212,359540
195,484,360540,6212,360540
196,488,361540,6212,361540
196,488,362540,6212,362540
196,488,362860,6212,362860
196,488,363860,6212,363860
196,488,364670,6212,364670
196,488,364900,6212,364900
197,492,365900,6212,365900
197,492,366710,6212,366710
197,492,367180,6212,367180
197,492,367650,6212,367650
197,492,368650,6212,368650
197,492,368650,6212,368650
197,492,369650,6212,369650
198,496,370300,6212,370300
198,496,370770,6212,370770
198,496,371580,6212,371580
198,496,371580,6212,371580
198,496,372580,6212,372580
199,500,373580,6212,373580
199,500,374580,6212,374580
199,500,375580,6212,375580
199,500,375580,6212,375580
199,500,376580,6212,376580
200,504,377050,6212,377050
200,504,378050,6212,378050
200,504,378860,6212,378860
200,504,378860,6212,378860
200,504,379860,6212,379860
201,506,380670,6212,380670
201,506,380670,6212,380670
201,506,381670,6212,381670
202,508,382670,6212,382670
202,508,383670,6212,383670
203,510,384670,6212,384670
203,510,385140,6212,385140
203,510,386140,6212,386140
204,512,386610,6212,386610
204,512,387610,6212,387610
204,512,387610,6212,387610
204,512,387930,6212,387930
205,514,388930,6212,388930
205,514,389930,6212,389930
206,516,390930,6212,390930
206,516,391930,6212,391930
207,518,392740,6212,392740
207,518,393210,6212,393210
207,518,394210,6212,394210
208,520,394680,6212,394680
208,520,395680,6212,395680
209,522,396680,6212,396680
209,522,397680,6212,397680
210,524,398680,6212,398680
210,524,399680,6212,399680
210,524,400150,6212,400150
211,526,400610,6212,400610
211,526,401610,6212,401610
212,528,402610,6212,402610
212,528,403610,6212,403610
213,530,404610,6212,404610
213,530,405080,6212,405080
213,530,405080,6212,405080
213,530,406080,6212,406080
214,532,407080,6212,407080
214,532,407080,6212,407080
214,532,407890,6212,407890
215,534,408890,6212,408890
215,534,409700,6212,409700
216,536,410510,6212,410510
216,536,411510,6212,411510
217,538,412510,6212,412510
217,538,413510,6212,413510
218,540,414510,6212,414510
218,540,415320,6212,415320
219,542,416320,6212,416320
219,542,416970,6212,416970
220,544,417970,6212,417970
220,544,418970,6212,418970
221,546,419970,6212,419970
221,546,420520,6212,420520
222,548,421520,6212,421520
222,548,422520,6212,422520
222,548,422840,6212,422840
223,550,423310,6212,423310
223,550,424310,6212,424310
224,552,425310,6212,425310
224,552,425310,6212,425310
224,552,425630,6212,425630
224,552,426440,6212,426440
224,552,426440,6212,426440
225,554,427440,6212,427440
225,554,428090,6212,428090
226,556,428900,6212,428900
226,556,429710,6212,429710
227,564,437710,6212,437710
228,566,438710,6212,438710
228,566,439710,6212,439710
228,566,439710,6212,439710
229,568,440520,6212,440520
229,568,440750,6212,440750
229,568,441340,6212,441340
229,568,442340,6212,442340
230,570,443340,6212,443340
230,570,443810,6212,443810
230,570,444810,6212,444810
230,570,444810,6212,444810
231,572,445280,6212,445280
231,572,446280,6212,446280
232,574,447280,6212,447280
232,574,448090,6212,448090
232,574,448560,6212,448560
233,576,449370,6212,449370
233,576,449840,6212,449840
234,578,450840,6212,450840
234,578,451160,6212,451160
234,578,451160,6212,451160
234,578,451970,6212,451970
235,580,452970,6212,452970
235,580,453970,6212,453970
235,580,453970,6212,453970
236,582,454520,6212,454520
236,582,455330,6212,455330
237,584,456330,6212,456330
237,584,457330,6212,457330
238,586,458330,6212,458330
238,586,459330,6212,459330
239,588,460330,6212,460330
239,588,461140,6212,461140
240,590,461950,6212,461950
240,590,462950,6212,462950
241,592,463950,6212,463950
241,592,464950,6212,464950
242,594,465950,6212,465950
242,594,466760,6212,466760
242,594,467230,6212,467230
243,596,468230,6212,468230
243,596,469230,6212,469230
243,596,469230,6212,469230
243,596,469230,6212,469230
244,598,470040,6212,470040
244,598,470150,6212,470150
244,598,470960,6212,470960
245,600,471960,6212,471960
245,600,472770,6212,472770
246,602,473770,6212,473770
246,602,474580,6212,474580
247,604,475390,6212,475390
247,604,475710,6212,475710
247,604,476710,6212,476710
248,606,477710,6212,477710
248,606,478520,6212,478520
249,608,479070,6212,479070
249,608,479070,6212,479070
249,608,480070,6212,480070
250,610,481070,6212,481070
250,610,482070,6212,482070
251,612,484070,6212,484070
251,612,484070,6212,484070
252,614,484530,6212,484530
252,614,485530,6212,485530
252,614,485530,6212,485530
253,616,486530,6212,486530
253,616,487530,6212,487530
253,616,487530,6212,487530
254,618,488530,6212,488530
254,618,488530,6212,488530
254,618,488850,6212,488850
254,618,489850,6212,489850
254,618,489850,6212,489850
255,620,490850,6212,490850
256,628,498850,6212,498850
256,628,499850,6212,499850
257,630,500500,6212,500500
257,630,501500,6212,501500
258,632,502500,6212,502500
258,632,503310,6212,503310
259,634,504310,6212,504310
259,634,504780,6212,504780
260,636,505780,6212,505780
260,636,506780,6212,506780
261,638,507780,6212,507780
261,638,508590,6212,508590
262,640,509590,6212,509590
262,640,509590,6212,509590
262,640,510590,6212,510590
263,642,511590,6212,511590
263,642,512400,6212,512400
264,644,513400,6212,513400
264,644,514210,6212,514210
265,646,515020,6212,515020
265,646,515670,6212,515670
266,648,516670,6212,516670
266,648,517480,6212,517480
267,650,518480,6212,518480
267,650,518940,6212,518940
267,650,518940,6212,518940
267,650,519940,6212,519940
268,652,520490,6212,520490
268,652,520490,6212,520490
268,652,520490,6212,520490
268,652,521300,6212,521300
269,654,521770,6212,521770
269,654,522770,6212,522770
270,656,523580,6212,523580
270,656,524050,6212,524050
270,656,524050,6212,524050
270,656,525050,6212,525050
271,658,525860,6212,525860
271,658,526330,6212,526330
271,658,526800,6212,526800
271,658,527120,6212,527120
271,658,527440,6212,527440
271,658,527440,6212,527440
272,660,528440,6212,528440
272,660,528760,6212,528760
272,660,529570,6212,529570
273,662,530570,6212,530570
273,662,531040,6212,531040
273,662,531040,6212,531040
274,664,533040,6212,533040
275,666,533590,6212,533590
275,666,534240,6212,534240
276,668,535240,6212,535240
276,668,535710,6212,535710
276,668,536710,6212,536710
276,668,536710,6212,536710
276,668,536710,6212,536710
276,668,536710,6212,536710
276,668,536940,6212,536940
276,668,537260,6212,537260
277,670,538260,6212,538260
277,670,538260,6212,538260
278,678,546260,6212,546260
278,678,546580,6212,546580
278,678,546580,6212,546580
278,678,546900,6212,546900
279,680,547710,6212,547710
279,680,547710,6212,547710
279,680,547940,6212,547940
279,680,548940,6212,548940
280,682,549410,6212,549410
280,682,550410,6212,550410
281,684,551410,6212,551410
281,684,552060,6212,552060
282,686,553060,6212,553060
283,694,561060,6212,561060
283,694,561060,6212,561060
283,694,562060,6212,562060
283,694,562060,6212,562060
284,696,562870,6212,562870
284,696,563870,6212,563870
284,696,564090,6212,564090
285,698,565090,6212,565090
285,698,565090,6212,565090
285,698,566090,6212,566090
286,700,567090,6212,567090
286,700,567900,6212,567900
286,700,568370,6212,568370
287,702,569020,6212,569020
287,702,569020,6212,569020
287,702,570020,6212,570020
288,704,570490,6212,570490
288,704,570810,6212,570810
288,704,570810,6212,570810
288,704,571810,6212,571810
289,706,572810,6212,572810
289,706,573810,6212,573810
290,708,574810,6212,574810
290,708,575810,6212,575810
291,710,576810,6212,576810
291,710,577810,6212,577810
292,712,578810,6212,578810
292,712,579620,6212,579620
293,714,580620,6212,580620
293,714,581430,6212,581430
293,714,581900,6212,581900
293,714,581900,6212,581900
294,716,582710,6212,582710
294,716,583710,6212,583710
294,716,583760,6212,583760
295,718,584760,6212,584760
295,718,585570,6212,585570
295,718,585890,6212,585890
296,720,586700,6212,586700
296,720,587350,6212,587350
297,722,588350,6212,588350
297,722,589350,6212,589350
298,724,590350,6212,590350
298,724,591350,6212,591350
299,726,592350,6212,592350
299,726,592350,6212,592350
299,726,593350,6212,593350
300,728,594160,6212,594160
300,728,594970,6212,594970
300,728,594970,6212,594970
300,728,594970,6212,594970
301,730,595970,6212,595970
301,730,596780,6212,596780
302,732,597780,6212,597780
302,732,598780,6212,598780
303,734,599250,6212,599250
303,734,600250,6212,600250
304,736,601250,6212,601250
304,736,601250,6212,601250
304,736,601720,6212,601720
304,736,602530,6212,602530
304,736,602760,6212,602760
304,736,602760,6212,602760
305,738,603570,6212,603570
305,738,604380,6212,604380
306,740,605380,6212,605380
306,740,606380,6212,606380
307,742,607380,6212,607380
307,742,608380,6212,608380
308,744,608840,6212,608840
308,744,609840,6212,609840
308,744,609840,6212,609840
309,752,617840,6212,617840
309,752,618300,6212,618300
310,754,618760,6212,618760
310,754,619230,6212,619230
310,754,619460,6212,619460
310,754,619460,6212,619460
310,754,619460,6212,619460
310,754,619830,6212,619830
310,754,620830,6212,620830
311,756,621480,6212,621480
311,756,622480,6212,622480
312,758,623480,6212,623480
312,758,624480,6212,624480
313,760,624950,6212,624950
313,760,625950,6212,625950
313,760,626420,6212,626420
314,762,627420,6212,627420
314,762,628230,6212,628230
314,762,628550,6212,628550
