ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
903109.69,15.35,2.0,313698.54,5.33
902703.57,15.34,2.0,313292.43,5.32
902586.94,15.34,2.0,313338.18,5.33
902751.15,15.35,2.0,313502.39,5.33
902751.15,15.35,2.0,313552.23,5.33
902454.28,15.34,2.0,313252.22,5.33
903191.84,15.36,2.01,313304.21,5.33
903064.39,15.36,2.01,313328.42,5.33
902577.03,15.35,2.01,312736.15,5.32
902460.4,15.35,2.01,312469.12,5.32
902086.57,15.35,2.0,312092.21,5.31
902774.84,15.36,2.02,312407.69,5.32
902765.87,15.36,2.02,312433.17,5.32
902288.23,15.36,2.01,312087.35,5.31
901600.34,15.35,2.0,311314.4,5.3
900942.77,15.34,2.0,310369.62,5.28
901763.97,15.36,2.01,310679.93,5.29
901763.97,15.36,2.01,310679.93,5.29
901647.35,15.36,2.01,310412.91,5.29
901241.23,15.35,2.01,310006.79,5.28
901025.11,15.35,2.01,309790.67,5.28
900655.11,15.35,2.0,309420.67,5.27
900516.95,15.34,2.0,309327.46,5.27
901205.22,15.36,2.01,309642.95,5.28
901056.75,15.36,2.01,309611.53,5.28
900056.75,15.34,2.0,308611.53,5.26
900274.88,15.35,2.0,309034.17,5.27
900274.88,15.35,2.0,309034.17,5.27
899954.88,15.34,2.0,308714.17,5.26
899806.41,15.34,2.0,308610.82,5.26
899390.31,15.34,2.0,308437.32,5.26
899241.84,15.34,2.0,308318.29,5.26
899093.37,15.34,2.0,308302.56,5.26
899386.91,15.35,2.0,308156.93,5.26
898793.03,15.35,2.0,307817.34,5.26
898644.56,15.35,2.0,307754.64,5.26
898506.7,15.35,2.0,308293.92,5.27
898558.36,15.35,2.0,308328.25,5.27
898359.9,15.35,2.0,308085.43,5.26
898645.26,15.35,2.01,308021.83,5.26
898496.79,15.35,2.01,307890.76,5.26
898833.24,15.36,2.02,308970.86,5.28
898684.77,15.36,2.02,308854.77,5.28
898536.3,15.36,2.02,308744.44,5.28
898241.99,15.36,2.01,308442.38,5.27
898632.95,15.37,2.02,309103.77,5.29
898135.05,15.36,2.02,308519.21,5.28
898062.59,15.36,2.02,308208.16,5.27
897914.12,15.36,2.02,308215.76,5.27
897409.36,15.35,2.01,307791.79,5.27
897715.95,15.36,2.02,307602.2,5.26
898238.76,15.37,2.03,309134.2,5.29
897617.8,15.36,2.02,308355.49,5.28
897617.8,15.36,2.02,308355.49,5.28
897090.89,15.35,2.01,307449.82,5.26
897269.28,15.36,2.02,307351.32,5.26
897575.87,15.37,2.02,307289.63,5.26
897077.98,15.36,2.02,306755.7,5.25
897077.98,15.36,2.02,306755.7,5.25
897010.0,15.36,2.02,307773.26,5.27
896861.53,15.36,2.02,307685.58,5.27
896916.49,15.36,2.02,307794.8,5.27
896785.6,15.37,2.02,307477.83,5.27
896785.6,15.37,2.02,307477.83,5.27
897285.22,15.38,2.03,308116.69,5.28
897570.58,15.38,2.04,308053.09,5.28
897422.11,15.38,2.04,307815.14,5.28
897462.34,15.39,2.04,308385.21,5.29
897462.34,15.39,2.04,308368.56,5.29
897313.87,15.39,2.04,308370.49,5.29
897354.11,15.39,2.05,308260.24,5.29
897354.11,15.39,2.05,308260.24,5.29
897205.63,15.39,2.05,308427.49,5.29
897057.16,15.39,2.05,308384.83,5.29
896908.69,15.39,2.05,308299.35,5.29
896760.22,15.39,2.05,308187.77,5.29
896386.39,15.38,2.04,307826.02,5.28
896237.92,15.38,2.04,307809.46,5.28
896523.28,15.39,2.05,307881.62,5.29
896374.81,15.39,2.05,308114.63,5.29
896374.81,15.39,2.05,308133.02,5.29
896054.81,15.39,2.04,307813.02,5.29
895906.34,15.39,2.04,307786.48,5.29
895757.87,15.39,2.04,307684.87,5.28
895609.39,15.39,2.04,307571.76,5.28
895460.92,15.39,2.04,307556.72,5.28
895501.16,15.39,2.05,307636.84,5.29
895127.32,15.38,2.04,307263.52,5.28
894978.85,15.38,2.04,307240.41,5.28
895264.21,15.39,2.05,307327.7,5.28
895115.74,15.39,2.05,307475.38,5.29
894967.27,15.39,2.05,307448.84,5.29
894818.8,15.39,2.05,307347.23,5.29
894670.33,15.39,2.05,307234.12,5.29
894521.86,15.39,2.05,307219.08,5.29
894148.03,15.38,2.04,306915.97,5.28
894441.57,15.39,2.05,306878.22,5.28
894293.1,15.39,2.05,307230.46,5.29
894144.63,15.39,2.05,307203.93,5.29
893996.16,15.39,2.05,307102.32,5.29
893847.69,15.39,2.05,306989.21,5.29
893475.67,15.39,2.04,306616.57,5.28
893475.67,15.39,2.04,306616.57,5.28
893327.2,15.39,2.04,306601.53,5.28
893178.73,15.39,2.04,306488.42,5.28
893178.73,15.39,2.04,306488.42,5.28
893218.96,15.39,2.05,306658.63,5.28
893070.49,15.39,2.05,306546.76,5.28
893110.72,15.39,2.05,306715.63,5.29
893150.96,15.4,2.05,306795.74,5.29
893002.49,15.4,2.05,306772.63,5.29
892854.01,15.4,2.05,306746.09,5.29
892705.54,15.4,2.05,306644.48,5.29
892557.07,15.4,2.05,306531.55,5.29
892597.3,15.4,2.05,306702.41,5.29
