ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1051972.11,17.7,0.86,557354.3,9.38
1051603.05,17.7,0.86,557076.19,9.38
1051734.63,17.7,0.86,557201.51,9.38
1051534.63,17.7,0.86,557024.31,9.38
1051775.37,17.71,0.86,557427.53,9.38
601110.0,10.12,0.65,296357.73,4.99
601314.74,10.13,0.65,296443.53,4.99
601024.21,10.12,0.65,296151.03,4.99
601024.21,10.12,0.65,296151.03,4.99
600637.89,10.12,0.64,295751.56,4.98
600522.11,10.11,0.64,295822.39,4.98
600406.32,10.11,0.64,295784.01,4.98
600474.53,10.12,0.64,295838.87,4.98
600679.26,10.12,0.65,295924.68,4.99
600563.47,10.12,0.65,295961.0,4.99
600447.68,10.12,0.65,295840.62,4.99
600331.89,10.12,0.65,295795.13,4.99
600177.89,10.12,0.65,295643.4,4.98
600062.11,10.12,0.64,295503.18,4.98
599946.32,10.12,0.64,295482.13,4.98
599830.53,10.12,0.64,295337.31,4.98
599830.53,10.12,0.64,295337.31,4.98
599714.74,10.12,0.64,295316.26,4.98
599598.95,10.12,0.64,295252.02,4.98
599305.58,10.11,0.64,294939.48,4.98
599189.79,10.11,0.64,294837.84,4.98
599258.0,10.12,0.64,294926.22,4.98
599142.21,10.12,0.64,294854.33,4.98
599026.42,10.11,0.64,294730.55,4.98
598922.42,10.11,0.64,294628.82,4.98
599252.95,10.12,0.65,295046.2,4.98
599137.16,10.12,0.65,294981.96,4.98
598379.26,10.12,0.65,294764.52,4.99
598584.0,10.12,0.65,294985.38,4.99
598788.74,10.13,0.66,295071.19,4.99
598672.95,10.13,0.66,295142.01,4.99
598557.16,10.13,0.66,295025.72,4.99
598761.89,10.13,0.66,295305.83,5.0
598646.11,10.13,0.66,295161.01,5.0
598714.32,10.14,0.66,295321.68,5.0
598428.84,10.13,0.66,295029.79,4.99
598313.05,10.13,0.66,294991.41,5.0
598313.05,10.13,0.66,294991.41,5.0
598197.26,10.13,0.66,294863.91,4.99
598265.47,10.13,0.66,294952.29,5.0
598149.68,10.13,0.66,294879.77,5.0
598217.89,10.14,0.66,294968.14,5.0
598102.11,10.14,0.66,294895.62,5.0
598170.32,10.14,0.66,294736.53,5.0
597784.0,10.13,0.66,294337.06,4.99
597852.21,10.14,0.66,294389.51,4.99
597736.42,10.13,0.66,294325.27,4.99
597620.63,10.13,0.66,294223.63,4.99
597504.84,10.13,0.66,294159.4,4.99
597389.05,10.13,0.66,294057.76,4.99
597273.26,10.13,0.66,293993.52,4.99
597157.47,10.13,0.66,293891.89,4.99
597041.68,10.13,0.66,293827.56,4.99
596925.89,10.13,0.66,293726.02,4.99
596724.11,10.13,0.66,293489.43,4.98
596608.32,10.13,0.66,293345.71,4.98
596608.32,10.13,0.66,293345.71,4.98
596608.32,10.13,0.66,293345.71,4.98
596608.32,10.13,0.66,293345.71,4.98
596492.53,10.13,0.66,293323.56,4.98
596560.74,10.13,0.66,293411.93,4.98
596444.95,10.13,0.66,293339.41,4.98
596513.16,10.13,0.66,293427.79,4.99
596397.37,10.13,0.66,293355.9,4.98
596281.58,10.13,0.66,293291.57,4.98
596165.79,10.13,0.66,293190.03,4.98
596504.74,10.14,0.67,293176.34,4.98
596504.74,10.14,0.67,293176.34,4.98
596214.21,10.14,0.66,292883.84,4.98
596098.42,10.14,0.66,293200.75,4.99
596358.11,10.14,0.67,293436.26,4.99
596426.32,10.14,0.67,293582.26,4.99
596310.53,10.14,0.67,293461.88,4.99
595925.79,10.14,0.66,293062.78,4.99
595810.0,10.14,0.66,293017.29,4.99
595694.21,10.14,0.66,292901.0,4.98
595578.42,10.14,0.66,292856.02,4.98
595462.63,10.14,0.66,292711.42,4.98
595346.84,10.14,0.66,292690.14,4.98
595231.05,10.14,0.66,292625.9,4.98
595231.05,10.14,0.66,292625.9,4.98
595115.26,10.14,0.66,292524.27,4.98
594999.47,10.14,0.66,292459.94,4.98
595067.68,10.14,0.66,292540.13,4.98
594697.68,10.13,0.66,292170.13,4.98
594543.68,10.13,0.66,292016.13,4.98
594427.89,10.13,0.66,291977.75,4.98
594312.11,10.13,0.66,291850.25,4.97
594227.89,10.13,0.66,291250.19,4.97
594026.11,10.13,0.65,291035.05,4.96
594026.11,10.13,0.65,291035.05,4.96
593740.63,10.12,0.65,290858.49,4.96
593553.16,10.12,0.65,290565.27,4.95
593437.37,10.12,0.65,290420.67,4.95
593321.58,10.12,0.65,290399.4,4.95
593205.79,10.12,0.65,290287.75,4.95
593544.74,10.13,0.65,290702.63,4.96
593123.68,10.13,0.65,290332.16,4.96
593007.89,10.13,0.65,290293.78,4.96
592892.11,10.13,0.65,290166.28,4.96
652406.53,11.14,0.62,297012.11,5.07
652687.79,11.15,0.62,297005.89,5.07
653012.74,11.16,0.63,296938.44,5.07
652896.95,11.16,0.63,296915.72,5.07
652781.16,11.16,0.63,296829.41,5.07
652665.37,11.16,0.63,296761.27,5.07
652549.58,11.16,0.63,296730.59,5.07
652240.63,11.15,0.62,296426.68,5.07
652124.84,11.15,0.62,296334.5,5.07
652199.05,11.15,0.63,296247.94,5.07
651980.11,11.15,0.62,296034.03,5.06
651864.32,11.15,0.62,295954.12,5.06
651938.53,11.15,0.63,297199.99,5.08
651599.89,11.15,0.62,300343.13,5.14
651956.42,11.16,0.63,300720.36,5.15
651872.21,11.16,0.63,299990.15,5.13
651872.21,11.16,0.63,299990.15,5.13
651619.58,11.15,0.63,299719.51,5.13
651842.74,11.16,0.63,301565.48,5.16
652167.68,11.16,0.64,301706.33,5.17
652241.89,11.17,0.64,300895.61,5.15
652241.89,11.17,0.64,300895.61,5.15
652126.11,11.17,0.64,301006.4,5.15
652010.32,11.17,0.64,300904.85,5.15
651894.53,11.17,0.64,300865.51,5.15
651778.74,11.17,0.64,300759.15,5.15
651778.74,11.17,0.64,300759.15,5.15
651662.95,11.17,0.64,300724.63,5.15
651282.21,11.16,0.64,300392.1,5.15
651198.0,11.16,0.64,299661.89,5.14
651135.37,11.16,0.64,299581.26,5.14
651135.37,11.16,0.64,299581.26,5.14
651019.58,11.16,0.64,299546.89,5.14
651093.79,11.17,0.64,300263.34,5.15
651093.79,11.17,0.64,300263.34,5.15
650978.0,11.17,0.64,300156.82,5.15
650862.21,11.17,0.64,300090.77,5.15
650746.42,11.17,0.64,300015.93,5.15
650662.21,11.17,0.64,299337.03,5.14
650939.58,11.17,0.65,299545.09,5.14
650823.79,11.17,0.64,299502.64,5.14
650822.0,11.17,0.65,299061.29,5.13
650706.21,11.17,0.65,299023.19,5.13
650706.21,11.17,0.65,299023.19,5.13
650397.26,11.17,0.64,298719.28,5.13
650281.47,11.17,0.64,298816.31,5.13
650165.68,11.17,0.64,298698.23,5.13
650049.89,11.17,0.64,298640.97,5.13
649965.68,11.17,0.64,297962.07,5.12
649903.05,11.17,0.64,297830.13,5.12
650228.0,11.17,0.65,298131.45,5.12
650112.21,11.17,0.65,298082.34,5.12
649731.47,11.17,0.64,297757.4,5.12
649615.68,11.17,0.64,297665.61,5.12
649499.89,11.17,0.64,297631.25,5.12
649384.11,11.17,0.64,297524.73,5.12
649268.32,11.17,0.64,297418.37,5.12
649152.53,11.17,0.64,297383.84,5.12
649498.53,11.18,0.65,297337.06,5.12
649380.42,11.17,0.65,296875.27,5.11
649264.63,11.17,0.65,296826.17,5.11
649148.84,11.17,0.65,296734.39,5.11
649064.63,11.17,0.65,296055.49,5.1
648812.0,11.17,0.65,295733.55,5.09
649136.95,11.18,0.65,295824.45,5.09
649136.95,11.18,0.65,295824.45,5.09
649021.16,11.18,0.65,296032.34,5.1
648905.37,11.18,0.65,295916.18,5.1
648905.37,11.18,0.65,295916.18,5.1
648979.58,11.18,0.66,296087.56,5.1
648863.79,11.18,0.65,296030.74,5.1
648938.0,11.18,0.66,296136.68,5.1
649012.21,11.19,0.66,296242.76,5.11
648896.42,11.19,0.66,296185.79,5.11
648780.63,11.19,0.66,296143.34,5.11
648664.84,11.19,0.66,296105.23,5.11
648549.05,11.19,0.66,296202.26,5.11
648623.26,11.19,0.66,296274.18,5.11
648507.47,11.19,0.66,296143.93,5.11
648730.63,11.19,0.67,296467.2,5.12
648614.84,11.19,0.67,296432.84,5.12
648530.63,11.2,0.67,295753.93,5.11
648278.0,11.19,0.67,295432.0,5.1
648598.0,11.2,0.67,295758.89,5.11
648482.21,11.2,0.67,295729.87,5.11
648366.42,11.2,0.67,295624.11,5.11
648057.47,11.19,0.67,295319.43,5.1
647676.74,11.19,0.66,294939.75,5.1
647592.53,11.19,0.66,294786.49,5.09
647476.74,11.19,0.66,294769.94,5.09
647476.74,11.19,0.66,294769.94,5.09
647170.95,11.18,0.66,294461.7,5.09
647245.16,11.19,0.66,294339.81,5.09
647245.16,11.19,0.66,294339.81,5.09
647129.37,11.19,0.66,294305.44,5.09
647352.53,11.19,0.67,294501.66,5.09
647426.74,11.2,0.67,294984.3,5.1
647500.95,11.2,0.67,295025.55,5.1
646658.84,11.2,0.67,294859.22,5.11
646543.05,11.2,0.67,294805.05,5.11
937753.58,16.25,1.51,364101.78,6.31
937753.58,16.25,1.51,364101.78,6.31
937785.68,16.25,1.51,364040.18,6.31
937568.63,16.25,1.51,363831.13,6.3
937807.79,16.25,1.51,363836.89,6.3
937649.89,16.25,1.51,363770.95,6.3
937492.0,16.25,1.51,363706.37,6.3
937808.32,16.26,1.52,363673.74,6.3
937650.42,16.26,1.52,364512.46,6.32
937650.42,16.26,1.52,364097.8,6.31
937236.21,16.25,1.52,363798.27,6.31
937078.32,16.25,1.52,363708.26,6.31
936920.42,16.25,1.52,363625.75,6.31
936952.53,16.26,1.52,363590.43,6.31
937268.84,16.26,1.53,364050.08,6.32
937300.95,16.27,1.53,363850.14,6.31
936886.74,16.26,1.52,363797.23,6.31
936728.84,16.26,1.52,364576.79,6.33
936419.89,16.25,1.52,363961.65,6.32
936419.89,16.25,1.52,363961.65,6.32
936452.0,16.26,1.52,363900.04,6.32
936294.11,16.26,1.52,363828.2,6.32
936136.21,16.26,1.52,363753.81,6.32
936136.21,16.26,1.52,363753.81,6.32
936414.11,16.26,1.53,363989.36,6.32
936446.21,16.27,1.53,363894.88,6.32
936298.84,16.27,1.53,363234.91,6.31
936130.42,16.27,1.53,363293.89,6.31
935972.53,16.27,1.53,363127.99,6.31
935825.16,16.27,1.53,364036.75,6.33
935656.74,16.27,1.53,363881.75,6.33
935688.84,16.27,1.53,363820.14,6.33
935720.95,16.27,1.54,363762.53,6.33
935563.05,16.27,1.54,363685.54,6.33
935405.16,16.27,1.54,363777.98,6.33
935247.26,16.27,1.54,363714.8,6.33
935089.37,16.27,1.54,363682.65,6.33
935121.47,16.28,1.54,363621.05,6.33
935437.79,16.28,1.55,363552.95,6.33
935290.42,16.28,1.55,364026.97,6.34
935122.0,16.28,1.55,363869.58,6.34
935122.0,16.28,1.55,363869.58,6.34
935122.0,16.28,1.55,363869.58,6.34
935154.11,16.29,1.55,363815.21,6.34
935044.11,16.28,1.55,363740.83,6.33
935076.21,16.29,1.55,363716.12,6.34
