ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
291,796,727910,6212,727910
291,796,728720,6212,728720
292,798,729530,6212,729530
292,798,729750,6212,729750
292,798,730070,6212,730070
292,798,731070,6212,731070
293,800,732070,6212,732070
293,800,733070,6212,733070
294,802,734070,6212,734070
294,802,734230,6212,734230
294,802,734820,6212,734820
295,804,736820,6212,736820
296,806,737820,6212,737820
296,806,738820,6212,738820
296,806,739040,6212,739040
297,808,739850,6212,739850
297,808,740320,6212,740320
298,810,740640,6212,740640
298,810,741290,6212,741290
298,810,741750,6212,741750
299,812,742560,6212,742560
299,812,743560,6212,743560
300,814,744210,6212,744210
300,814,745210,6212,745210
301,816,746020,6212,746020
301,816,747020,6212,747020
302,818,748020,6212,748020
302,818,748490,6212,748490
302,818,748720,6212,748720
303,820,749720,6212,749720
303,820,749720,6212,749720
303,820,750190,6212,750190
303,820,751190,6212,751190
304,828,759190,6212,759190
305,830,760190,6212,760190
305,830,760660,6212,760660
305,830,761130,6212,761130
306,832,761600,6212,761600
306,832,762600,6212,762600
306,832,763070,6212,763070
307,834,764070,6212,764070
307,834,765070,6212,765070
307,834,765070,6212,765070
307,834,765390,6212,765390
308,836,766390,6212,766390
308,836,766710,6212,766710
308,836,766710,6212,766710
308,836,767710,6212,767710
309,838,768710,6212,768710
309,838,769710,6212,769710
309,838,769710,6212,769710
309,838,770710,6212,770710
310,840,771710,6212,771710
310,840,772710,6212,772710
311,842,773710,6212,773710
312,844,775710,6212,775710
312,844,776180,6212,776180
312,844,777180,6212,777180
313,852,785180,6212,785180
314,854,786180,6212,786180
314,854,787180,6212,787180
315,856,788180,6212,788180
315,856,788990,6212,788990
316,858,789800,6212,789800
316,858,790800,6212,790800
317,860,791800,6212,791800
317,860,792800,6212,792800
318,862,793450,6212,793450
318,862,794100,6212,794100
319,866,794560,6212,794560
320,868,795370,6212,795370
320,868,795530,6212,795530
320,868,796340,6212,796340
321,870,797150,6212,797150
321,870,798150,6212,798150
322,872,799150,6212,799150
322,872,799470,6212,799470
322,872,800470,6212,800470
323,874,801470,6212,801470
323,874,802280,6212,802280
324,878,806280,6212,806280
325,880,807280,6212,807280
325,880,807500,6212,807500
325,880,808500,6212,808500
325,880,808500,6212,808500
326,882,809500,6212,809500
326,882,809500,6212,809500
327,890,817500,6212,817500
327,890,818500,6212,818500
328,892,819500,6212,819500
328,892,820050,6212,820050
329,894,821050,6212,821050
329,894,821860,6212,821860
330,896,822860,6212,822860
330,896,823860,6212,823860
330,896,824330,6212,824330
331,898,825330,6212,825330
331,898,826330,6212,826330
332,900,827330,6212,827330
332,900,828330,6212,828330
332,900,828330,6212,828330
333,902,828800,6212,828800
333,902,829800,6212,829800
334,904,830800,6212,830800
334,904,830800,6212,830800
334,904,831800,6212,831800
335,906,832610,6212,832610
336,914,840610,6212,840610
336,914,841610,6212,841610
336,914,841610,6212,841610
337,916,842420,6212,842420
337,916,843420,6212,843420
338,918,844420,6212,844420
338,918,845420,6212,845420
339,920,846230,6212,846230
339,920,846230,6212,846230
339,920,846230,6212,846230
339,920,847230,6212,847230
340,922,848230,6212,848230
340,922,849230,6212,849230
341,924,850230,6212,850230
341,924,850230,6212,850230
341,924,850230,6212,850230
341,924,851040,6212,851040
341,924,851510,6212,851510
342,926,852320,6212,852320
342,926,853320,6212,853320
343,928,854320,6212,854320
343,928,854550,6212,854550
343,928,855550,6212,855550
344,930,856200,6212,856200
344,930,857200,6212,857200
345,932,857850,6212,857850
346,940,865850,6212,865850
346,940,866220,6212,866220
346,940,866220,6212,866220
346,940,866220,6212,866220
346,940,866220,6212,866220
347,942,867220,6212,867220
347,942,868030,6212,868030
348,944,869030,6212,869030
348,944,869840,6212,869840
349,946,870650,6212,870650
349,946,870970,6212,870970
349,946,871290,6212,871290
349,946,872290,6212,872290
350,954,880290,6212,880290
