ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
843278.55,14.45,2.18,765480.41,13.11
843054.27,14.45,2.18,765378.79,13.11
843054.27,14.45,2.18,765378.79,13.11
842863.22,14.44,2.18,765122.89,13.11
842638.94,14.44,2.18,765017.5,13.11
842257.34,14.44,2.17,764700.89,13.11
842035.22,14.43,2.17,764067.56,13.1
842285.77,14.44,2.18,764054.02,13.1
841904.16,14.44,2.17,763813.99,13.1
841904.16,14.44,2.17,763813.99,13.1
841868.7,14.44,2.17,763950.74,13.1
841844.62,14.44,2.17,763444.82,13.09
842280.06,14.45,2.18,762874.65,13.08
842089.01,14.45,2.18,762614.99,13.08
841761.43,14.44,2.18,762221.87,13.08
841989.59,14.45,2.18,762415.08,13.08
841989.59,14.45,2.18,762415.08,13.08
841765.31,14.44,2.18,762313.45,13.08
841574.26,14.44,2.18,762058.11,13.08
841538.79,14.45,2.18,762137.96,13.08
841157.42,14.44,2.17,761723.75,13.08
841157.42,14.44,2.17,761723.75,13.08
840742.09,14.44,2.17,761362.46,13.07
839724.67,14.44,2.18,760551.05,13.08
839533.61,14.44,2.17,760366.36,13.08
839498.15,14.44,2.18,760355.27,13.08
839498.15,14.44,2.18,760355.27,13.08
839307.09,14.44,2.17,760170.58,13.08
839082.82,14.44,2.17,759993.98,13.08
838891.76,14.44,2.17,759809.28,13.08
838667.48,14.44,2.17,759632.68,13.08
838476.43,14.44,2.17,759457.8,13.07
838252.15,14.43,2.17,759271.39,13.07
838061.1,14.43,2.17,759019.47,13.07
837836.82,14.43,2.17,758910.1,13.07
837836.82,14.43,2.17,758910.1,13.07
837974.51,14.44,2.17,758804.4,13.07
838264.4,14.44,2.18,759395.93,13.08
838262.15,14.44,2.18,759405.19,13.08
838037.88,14.44,2.18,759200.15,13.08
837846.82,14.44,2.18,758940.48,13.08
837491.65,14.44,2.17,758509.83,13.08
836731.6,14.43,2.17,757675.2,13.07
836507.33,14.43,2.17,757573.57,13.07
836316.27,14.43,2.17,757318.22,13.07
836017.53,14.43,2.16,757087.56,13.06
836234.86,14.43,2.17,757422.9,13.07
836232.61,14.43,2.17,757363.47,13.07
835817.28,14.43,2.17,757002.17,13.07
