ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
201,518,385400,6212,385400
201,518,386210,6212,386210
201,518,386680,6212,386680
201,518,386680,6212,386680
202,520,388680,6212,388680
203,528,396680,6212,396680
204,532,397680,6212,397680
205,533,398490,6212,398490
205,533,398490,6212,398490
205,533,399490,6212,399490
205,533,400490,6212,400490
206,537,401490,6212,401490
206,537,402490,6212,402490
207,541,403490,6212,403490
207,541,404490,6212,404490
208,545,405490,6212,405490
208,545,406490,6212,406490
208,545,406490,6212,406490
208,545,407140,6212,407140
208,545,407510,6212,407510
208,545,408320,6212,408320
209,549,409320,6212,409320
210,553,410320,6212,410320
210,553,410790,6212,410790
211,557,414790,6212,414790
211,557,415790,6212,415790
211,557,416790,6212,416790
211,557,417110,6212,417110
211,557,417580,6212,417580
211,557,418390,6212,418390
212,559,420390,6212,420390
212,559,420390,6212,420390
212,559,421390,6212,421390
212,559,422390,6212,422390
213,563,426390,6212,426390
214,565,427390,6212,427390
214,565,428390,6212,428390
215,567,429390,6212,429390
215,567,429940,6212,429940
215,567,430410,6212,430410
215,567,431410,6212,431410
215,567,431880,6212,431880
216,569,432530,6212,432530
217,571,434530,6212,434530
217,571,435340,6212,435340
218,573,435810,6212,435810
218,573,436280,6212,436280
218,573,436280,6212,436280
218,573,437090,6212,437090
218,573,437680,6212,437680
219,575,438680,6212,438680
219,575,439150,6212,439150
220,576,439960,6212,439960
221,578,440960,6212,440960
222,580,442960,6212,442960
222,580,443430,6212,443430
222,580,444240,6212,444240
223,582,445240,6212,445240
223,582,445890,6212,445890
224,584,447890,6212,447890
225,586,448700,6212,448700
225,586,449700,6212,449700
225,586,450020,6212,450020
226,588,450490,6212,450490
226,588,451490,6212,451490
226,588,451490,6212,451490
226,588,451490,6212,451490
227,590,453490,6212,453490
228,598,461490,6212,461490
228,598,461490,6212,461490
229,600,462490,6212,462490
229,600,462960,6212,462960
229,600,463550,6212,463550
230,602,464200,6212,464200
230,602,465010,6212,465010
231,604,466010,6212,466010
231,604,466010,6212,466010
231,604,466010,6212,466010
231,604,466820,6212,466820
232,606,467820,6212,467820
232,606,467870,6212,467870
232,606,468870,6212,468870
233,608,469870,6212,469870
233,608,470680,6212,470680
234,610,471490,6212,471490
234,610,472490,6212,472490
234,610,472720,6212,472720
235,612,473720,6212,473720
235,612,474190,6212,474190
236,614,475000,6212,475000
237,616,477000,6212,477000
237,616,478000,6212,478000
238,618,478810,6212,478810
238,618,479810,6212,479810
238,618,479810,6212,479810
238,618,479810,6212,479810
239,620,480810,6212,480810
239,620,481810,6212,481810
240,622,483810,6212,483810
241,624,484810,6212,484810
241,624,484810,6212,484810
241,624,485810,6212,485810
241,624,486280,6212,486280
241,624,487090,6212,487090
242,632,495090,6212,495090
242,632,495900,6212,495900
242,632,495900,6212,495900
243,634,496370,6212,496370
243,634,496370,6212,496370
243,634,497180,6212,497180
244,642,505180,6212,505180
245,644,506180,6212,506180
245,644,506830,6212,506830
246,646,507830,6212,507830
247,654,515830,6212,515830
247,654,516830,6212,516830
248,656,517830,6212,517830
248,656,518300,6212,518300
249,658,520300,6212,520300
249,658,521110,6212,521110
250,660,522110,6212,522110
250,660,523110,6212,523110
251,662,523570,6212,523570
251,662,524040,6212,524040
251,662,524040,6212,524040
251,662,524040,6212,524040
251,662,525040,6212,525040
252,664,526040,6212,526040
252,664,527040,6212,527040
253,666,527510,6212,527510
253,666,528510,6212,528510
254,668,529160,6212,529160
254,668,530160,6212,530160
255,670,531160,6212,531160
255,670,531810,6212,531810
255,670,532130,6212,532130
256,672,533130,6212,533130
256,672,534130,6212,534130
257,674,535130,6212,535130
257,674,535940,6212,535940
258,678,539940,6212,539940
259,680,540750,6212,540750
259,680,541070,6212,541070
260,688,549070,6212,549070
260,688,549070,6212,549070
260,688,549300,6212,549300
261,692,553300,6212,553300
261,692,553770,6212,553770
261,692,553770,6212,553770
262,700,554000,6212,554000
262,700,554470,6212,554470
263,702,555470,6212,555470
263,702,556470,6212,556470
264,704,557470,6212,557470
265,706,559470,6212,559470
265,706,560470,6212,560470
266,708,561470,6212,561470
266,708,562470,6212,562470
267,710,563470,6212,563470
267,710,564470,6212,564470
268,712,566470,6212,566470
268,712,566940,6212,566940
269,714,567940,6212,567940
269,714,568750,6212,568750
270,716,570750,6212,570750
271,718,571750,6212,571750
271,718,572750,6212,572750
272,726,580750,6212,580750
272,726,580750,6212,580750
273,728,582750,6212,582750
274,730,583400,6212,583400
274,730,584400,6212,584400
275,732,585400,6212,585400
275,732,586400,6212,586400
276,734,587400,6212,587400
276,734,588400,6212,588400
277,736,589400,6212,589400
277,736,589400,6212,589400
277,736,589400,6212,589400
278,744,597400,6212,597400
279,752,605400,6212,605400
279,752,606210,6212,606210
279,752,607020,6212,607020
280,754,609020,6212,609020
281,756,610020,6212,610020
282,764,618020,6212,618020
282,764,619020,6212,619020
283,766,619490,6212,619490
283,766,620490,6212,620490
283,766,620490,6212,620490
284,768,621490,6212,621490
284,768,621490,6212,621490
284,768,622490,6212,622490
285,770,623490,6212,623490
285,770,624490,6212,624490
286,772,625490,6212,625490
286,772,625960,6212,625960
287,774,627960,6212,627960
287,774,628430,6212,628430
288,776,629240,6212,629240
288,776,630240,6212,630240
289,780,634240,6212,634240
289,780,634240,6212,634240
289,780,634710,6212,634710
290,782,635710,6212,635710
290,782,636180,6212,636180
291,784,636990,6212,636990
291,784,637460,6212,637460
291,784,638270,6212,638270
291,784,638590,6212,638590
292,786,639060,6212,639060
292,786,640060,6212,640060
292,786,640380,6212,640380
292,786,640840,6212,640840
293,788,641840,6212,641840
293,788,642650,6212,642650
293,788,642760,6212,642760
294,790,643570,6212,643570
294,790,643890,6212,643890
294,790,644890,6212,644890
295,792,646890,6212,646890
295,792,646890,6212,646890
296,794,647890,6212,647890
296,794,648890,6212,648890
296,794,648890,6212,648890
297,796,649890,6212,649890
297,796,650700,6212,650700
298,804,658700,6212,658700
299,806,659020,6212,659020
299,806,660020,6212,660020
300,808,661020,6212,661020
300,808,662020,6212,662020
301,810,662830,6212,662830
301,810,663830,6212,663830
301,810,663830,6212,663830
302,812,664830,6212,664830
302,812,665830,6212,665830
303,814,666830,6212,666830
303,814,667640,6212,667640
303,814,667640,6212,667640
304,816,668640,6212,668640
304,816,668870,6212,668870
304,816,669870,6212,669870
305,818,670870,6212,670870
305,818,671870,6212,671870
306,820,672870,6212,672870
306,820,673870,6212,673870
307,822,674870,6212,674870
307,822,674870,6212,674870
307,822,675340,6212,675340
308,824,676340,6212,676340
308,824,677340,6212,677340
309,826,678340,6212,678340
309,826,678340,6212,678340
309,826,678560,6212,678560
309,826,679020,6212,679020
