ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1777826.71,29.58,1.0,203681.54,3.39
1777609.67,29.58,1.0,203676.25,3.39
1777529.73,29.59,1.01,203685.2,3.39
1777261.56,29.59,1.01,203682.11,3.39
1777478.0,29.59,1.01,203753.08,3.39
1777492.46,29.59,1.01,203746.19,3.39
1777464.93,29.6,1.02,203842.32,3.39
1777384.99,29.6,1.02,203851.27,3.39
1777384.99,29.6,1.02,203782.5,3.39
1777116.82,29.6,1.02,203787.01,3.39
1776818.69,29.6,1.02,203762.59,3.39
1776865.65,29.6,1.02,203757.8,3.39
1776299.35,29.6,1.02,203797.79,3.4
1776299.35,29.6,1.02,203864.56,3.4
1776193.46,29.61,1.02,203428.17,3.39
1776193.46,29.61,1.02,203373.14,3.39
1775925.28,29.61,1.02,203373.58,3.39
1775657.11,29.61,1.03,203374.02,3.39
1775577.17,29.61,1.03,203382.97,3.39
1775361.68,29.61,1.03,203319.71,3.39
1775093.5,29.61,1.03,203316.42,3.39
1774893.63,29.61,1.03,203316.3,3.39
1774787.74,29.61,1.03,202879.9,3.39
1775093.54,29.62,1.04,203396.5,3.39
1775066.01,29.62,1.04,203492.63,3.4
1774850.51,29.63,1.04,203429.13,3.4
1774582.34,29.63,1.04,203428.2,3.4
1774582.34,29.63,1.04,203372.14,3.4
1774314.17,29.63,1.04,203374.48,3.4
1774421.73,29.63,1.05,203626.26,3.4
1774453.23,29.63,1.05,204274.31,3.41
1774185.06,29.63,1.05,204271.23,3.41
1773604.3,29.63,1.05,204293.56,3.41
1773911.17,29.64,1.06,204307.58,3.41
1774129.94,29.65,1.06,204296.25,3.41
1773861.77,29.65,1.06,204296.69,3.41
1773834.24,29.65,1.06,204392.81,3.42
1773618.74,29.65,1.06,204329.3,3.42
1773320.62,29.65,1.06,204296.71,3.42
1773103.57,29.65,1.06,204473.87,3.42
1773074.49,29.66,1.07,204880.5,3.43
1773074.49,29.66,1.07,204856.75,3.43
1772994.56,29.66,1.07,204865.7,3.43
1773078.11,29.66,1.07,204883.4,3.43
1773385.45,29.67,1.08,204943.66,3.43
1773169.96,29.67,1.08,204880.6,3.43
1773169.96,29.67,1.08,204875.38,3.43
1773169.96,29.67,1.08,204820.83,3.43
1773386.4,29.68,1.09,204891.8,3.43
1773358.87,29.68,1.09,204987.92,3.43
1773358.87,29.68,1.09,204987.67,3.43
1773064.75,29.68,1.09,204289.11,3.42
1773441.29,29.69,1.1,204309.8,3.42
1773143.17,29.69,1.1,204285.08,3.42
1772845.04,29.69,1.1,204263.5,3.42
1772614.79,29.69,1.1,204310.99,3.42
1772614.79,29.69,1.1,204288.35,3.42
1772922.14,29.7,1.1,204228.44,3.42
1773068.82,29.7,1.11,204193.85,3.42
1772800.64,29.7,1.11,204196.18,3.42
1772815.1,29.7,1.11,204189.29,3.42
1772834.43,29.7,1.11,204109.29,3.42
1772806.9,29.71,1.12,204205.41,3.42
1770451.83,29.71,1.12,204154.88,3.43
1770234.79,29.71,1.12,204080.81,3.43
1769966.62,29.71,1.12,204083.15,3.43
1769658.68,29.71,1.12,204052.74,3.43
1770080.92,29.72,1.13,204174.43,3.43
1770139.79,29.73,1.13,203937.07,3.42
1770316.42,29.73,1.14,203941.37,3.43
1770100.93,29.73,1.14,203878.3,3.42
1769807.32,29.73,1.14,203883.34,3.43
1769499.38,29.73,1.14,204210.61,3.43
1769282.34,29.73,1.14,204204.87,3.43
1769066.84,29.74,1.14,204141.35,3.43
1769377.98,29.74,1.15,203713.57,3.42
1769109.81,29.74,1.15,203712.32,3.42
1768811.68,29.74,1.15,203685.5,3.42
1768731.74,29.75,1.15,203694.45,3.43
1768704.21,29.75,1.15,203631.94,3.43
1768880.84,29.75,1.16,203633.83,3.43
1768612.67,29.75,1.16,203626.66,3.43
1768344.5,29.76,1.16,203625.73,3.43
1768129.0,29.76,1.16,203630.99,3.43
1767860.83,29.76,1.16,203627.91,3.43
1767860.83,29.76,1.16,203608.03,3.43
1768106.69,29.76,1.17,203216.76,3.42
1768323.13,29.77,1.17,203287.72,3.42
1768382.23,29.77,1.18,203289.07,3.42
1768382.23,29.77,1.18,203198.27,3.42
1768114.06,29.77,1.18,203200.6,3.42
1767898.56,29.78,1.18,203205.86,3.42
1767792.67,29.78,1.18,202769.47,3.42
1768009.12,29.78,1.19,202840.43,3.42
1767740.94,29.78,1.19,202837.46,3.42
1767523.9,29.79,1.19,202855.98,3.42
1767306.86,29.79,1.19,202850.24,3.42
1767196.96,29.79,1.19,202830.73,3.42
1766928.79,29.79,1.19,202828.31,3.42
1764573.72,29.79,1.19,202777.77,3.42
1764546.19,29.79,1.19,202873.9,3.43
1764247.81,29.79,1.19,202862.02,3.43
1764398.55,29.8,1.2,202857.49,3.43
1764100.42,29.8,1.2,202820.91,3.43
1763884.93,29.8,1.2,202826.17,3.43
1764061.56,29.81,1.21,202831.02,3.43
1763846.06,29.81,1.21,202767.73,3.43
1763766.12,29.81,1.21,202776.68,3.43
1763875.23,29.82,1.21,202772.66,3.43
1763607.06,29.82,1.21,202777.17,3.43
1763329.07,29.82,1.21,202776.25,3.43
1763112.03,29.82,1.21,202702.18,3.43
1762817.91,29.82,1.21,202003.62,3.42
1762549.73,29.82,1.22,202002.69,3.42
1762251.6,29.82,1.22,201972.31,3.42
1762036.11,29.82,1.22,201909.25,3.42
1761767.94,29.82,1.22,201911.58,3.42
1762359.16,29.83,1.23,202222.14,3.42
1762090.99,29.83,1.23,202214.71,3.42
1762090.99,29.83,1.23,202189.52,3.42
1761822.81,29.83,1.23,202191.85,3.42
1761822.81,29.83,1.23,202033.22,3.42
1761814.16,29.84,1.23,201692.83,3.42
1761506.22,29.84,1.23,201656.52,3.42
1761506.22,29.84,1.23,201632.76,3.42
1761212.1,29.84,1.24,200934.2,3.4
1761523.23,29.85,1.24,200506.42,3.4
1761255.06,29.85,1.24,200510.94,3.4
1761039.57,29.85,1.24,200447.43,3.4
1761054.03,29.85,1.24,200434.9,3.4
1761054.03,29.85,1.24,200414.25,3.4
1761224.59,29.85,1.25,200459.58,3.4
1760956.42,29.85,1.25,200444.36,3.4
1760850.52,29.86,1.25,200007.97,3.39
1760850.52,29.86,1.25,200062.07,3.39
1760582.35,29.86,1.25,200060.14,3.39
1760937.88,29.86,1.26,200053.58,3.39
1760722.38,29.86,1.26,199990.29,3.39
1760694.85,29.87,1.26,200086.42,3.39
1760401.24,29.87,1.26,200091.46,3.39
1760556.31,29.87,1.27,200072.57,3.39
1760528.78,29.88,1.27,200168.7,3.4
1760418.89,29.88,1.27,200151.17,3.4
1760446.23,29.88,1.28,200142.96,3.4
1760230.74,29.88,1.28,200079.45,3.4
1760578.27,29.89,1.28,200081.56,3.4
1760272.65,29.89,1.28,199984.58,3.4
1759974.52,29.89,1.28,199958.98,3.4
1759759.03,29.89,1.28,199964.23,3.4
1759490.86,29.89,1.28,199964.68,3.4
1759667.49,29.9,1.29,199968.97,3.4
1759844.12,29.9,1.3,199973.26,3.4
1759538.5,29.9,1.3,199774.31,3.4
1759270.33,29.9,1.3,199773.38,3.4
1759054.83,29.91,1.3,199778.64,3.4
1758786.66,29.91,1.3,199771.48,3.4
1759062.22,29.91,1.3,199769.43,3.4
1758794.05,29.91,1.3,199771.76,3.4
1758766.52,29.92,1.31,199867.89,3.4
1758738.99,29.92,1.31,199964.02,3.4
1758440.86,29.92,1.31,199987.8,3.4
1758225.37,29.92,1.31,199924.74,3.4
1758009.88,29.92,1.31,199930.0,3.4
1757929.94,29.93,1.31,199938.95,3.4
