ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
241,556,434230,6212,434230
241,556,434340,6212,434340
242,558,435340,6212,435340
242,558,436340,6212,436340
242,558,436690,6212,436690
242,558,436850,6212,436850
243,560,437850,6212,437850
243,560,438170,6212,438170
243,560,439170,6212,439170
243,560,439170,6212,439170
244,562,440170,6212,440170
245,564,440400,6212,440400
245,564,441400,6212,441400
246,566,442400,6212,442400
246,566,443210,6212,443210
246,566,443680,6212,443680
246,566,444680,6212,444680
246,566,444680,6212,444680
246,566,444680,6212,444680
247,568,445150,6212,445150
247,568,445620,6212,445620
248,570,446620,6212,446620
248,570,447430,6212,447430
249,572,448430,6212,448430
249,572,449430,6212,449430
250,574,450430,6212,450430
250,574,451430,6212,451430
251,582,451430,6212,451430
252,584,452430,6212,452430
252,584,452430,6212,452430
253,586,452750,6212,452750
254,588,453750,6212,453750
254,588,453980,6212,453980
254,588,454980,6212,454980
255,590,455980,6212,455980
255,590,456980,6212,456980
255,590,456980,6212,456980
256,592,457980,6212,457980
256,592,458980,6212,458980
256,592,459450,6212,459450
256,592,459450,6212,459450
257,594,460450,6212,460450
257,594,460450,6212,460450
257,594,461450,6212,461450
257,594,462450,6212,462450
258,596,463450,6212,463450
259,598,464450,6212,464450
259,598,465260,6212,465260
260,600,465580,6212,465580
260,600,465580,6212,465580
260,600,465580,6212,465580
260,600,465800,6212,465800
260,600,466610,6212,466610
