ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
209,480,357150,6212,357150
209,480,357150,6212,357150
209,480,358150,6212,358150
209,480,359150,6212,359150
210,482,360150,6212,360150
210,482,360620,6212,360620
211,484,361620,6212,361620
211,484,362620,6212,362620
212,486,363430,6212,363430
212,486,364240,6212,364240
212,486,365240,6212,365240
212,486,365240,6212,365240
212,486,365240,6212,365240
213,488,366240,6212,366240
213,488,366470,6212,366470
214,490,367470,6212,367470
214,490,368470,6212,368470
214,490,369280,6212,369280
215,492,369930,6212,369930
215,492,369930,6212,369930
215,492,370930,6212,370930
216,494,371930,6212,371930
217,498,372390,6212,372390
217,498,373200,6212,373200
217,498,374200,6212,374200
217,498,375200,6212,375200
218,502,376200,6212,376200
218,502,377200,6212,377200
218,502,378010,6212,378010
218,502,378010,6212,378010
218,502,379010,6212,379010
219,504,380010,6212,380010
219,504,381010,6212,381010
220,506,381480,6212,381480
220,506,382480,6212,382480
221,510,383480,6212,383480
221,510,383480,6212,383480
221,510,384480,6212,384480
221,510,385290,6212,385290
221,510,385520,6212,385520
221,510,386520,6212,386520
222,514,387520,6212,387520
222,514,388520,6212,388520
222,514,389520,6212,389520
222,514,389990,6212,389990
222,514,390990,6212,390990
223,518,391990,6212,391990
223,518,392990,6212,392990
223,518,393990,6212,393990
223,518,394800,6212,394800
224,520,395800,6212,395800
224,520,396800,6212,396800
225,522,397800,6212,397800
225,522,398030,6212,398030
225,522,398030,6212,398030
226,524,399030,6212,399030
226,524,399840,6212,399840
226,524,400840,6212,400840
226,524,401840,6212,401840
227,526,402160,6212,402160
227,526,403160,6212,403160
227,526,403160,6212,403160
228,528,404160,6212,404160
229,532,404970,6212,404970
229,532,405520,6212,405520
229,532,405520,6212,405520
229,532,405680,6212,405680
229,532,406000,6212,406000
229,532,406810,6212,406810
229,532,407280,6212,407280
230,536,408280,6212,408280
230,536,409090,6212,409090
230,536,409560,6212,409560
231,538,410020,6212,410020
231,538,411020,6212,411020
231,538,412020,6212,412020
232,542,413020,6212,413020
232,542,413240,6212,413240
232,542,413240,6212,413240
232,542,414240,6212,414240
233,550,422240,6212,422240
233,550,423240,6212,423240
233,550,424050,6212,424050
233,550,424050,6212,424050
234,554,425050,6212,425050
234,554,426050,6212,426050
234,554,426270,6212,426270
234,554,426920,6212,426920
234,554,427920,6212,427920
234,554,428920,6212,428920
235,558,429920,6212,429920
235,558,430570,6212,430570
235,558,431380,6212,431380
235,558,432380,6212,432380
236,560,433030,6212,433030
236,560,433500,6212,433500
236,560,433500,6212,433500
237,564,434310,6212,434310
237,564,434780,6212,434780
237,564,435250,6212,435250
237,564,435720,6212,435720
237,564,435720,6212,436190
237,564,436530,6212,437000
237,564,437530,6212,438000
237,564,437850,6212,438320
238,568,438850,6212,439320
238,568,439660,6212,440130
238,568,440130,6212,440600
238,568,441130,6212,441600
238,568,441450,6212,441920
239,572,442260,6212,442730
239,572,442420,6212,442890
239,572,443420,6212,443890
240,574,444070,6212,444540
240,574,444070,6212,444540
240,574,445070,6212,445540
240,574,445540,6212,446010
240,574,446540,6212,447010
240,574,446860,6212,447330
240,574,447860,6212,448330
240,574,448860,6212,449330
240,574,448860,6212,449700
240,574,449860,6212,450700
240,574,450860,6212,451700
241,576,451860,6212,452700
241,576,452860,6212,453700
241,576,453860,6212,454700
242,578,454860,6212,455700
242,578,455860,6212,456700
242,578,455860,6212,456700
242,578,455860,6212,456700
242,578,456090,6212,456930
243,580,457090,6212,457930
243,580,457090,6212,457930
243,580,457090,6212,458250
243,580,457560,6212,458720
243,580,458560,6212,459720
244,588,459560,6212,460720
245,590,460560,6212,461720
245,590,461370,6212,462530
246,592,462180,6212,463340
246,592,462660,6212,463820
247,600,463660,6212,464820
248,608,464660,6212,465820
248,608,465660,6212,466820
248,608,465660,6212,466820
249,610,466660,6212,467820
249,610,467660,6212,468820
250,612,468470,6212,469630
250,612,469470,6212,470630
251,614,469940,6212,471100
251,614,470940,6212,472100
252,616,471750,6212,472910
252,616,472560,6212,473720
253,618,473560,6212,474720
253,618,474560,6212,475720
253,618,475560,6212,476720
254,620,476370,6212,477530
254,620,476600,6212,477760
254,620,477600,6212,478760
254,620,477600,6212,478760
255,622,478600,6212,479760
255,622,478600,6212,479980
255,622,479070,6212,480450
256,624,479880,6212,481260
256,624,480880,6212,482260
257,632,481880,6212,483260
257,632,482880,6212,484260
257,632,483690,6212,485070
257,632,484280,6212,485660
257,632,485280,6212,486660
258,640,493280,6212,494660
258,640,493830,6212,495210
258,640,494640,6212,496020
258,640,494640,6212,496020
258,640,495640,6212,497020
258,640,496640,6212,498020
258,640,496640,6212,498020
259,642,497640,6212,499020
259,642,498640,6212,500020
259,642,498870,6212,500250
259,642,499870,6212,501250
259,642,500030,6212,501410
260,644,501030,6212,502410
260,644,502030,6212,503410
261,646,503030,6212,504410
261,646,503500,6212,504880
261,646,503970,6212,505350
261,646,504440,6212,505820
262,648,505440,6212,506820
262,648,505440,6212,507630
262,648,506440,6212,508630
262,648,507440,6212,509630
262,648,507440,6212,509950
263,650,508250,6212,510760
263,650,508250,6212,511080
263,650,508720,6212,511550
264,652,509530,6212,512360
264,652,510000,6212,512830
264,652,511000,6212,513830
265,654,511470,6212,514300
265,654,511470,6212,514300
265,654,511790,6212,514620
265,654,512790,6212,515620
266,656,513790,6212,516620
266,656,514600,6212,517430
267,664,515600,6212,518430
267,664,516070,6212,518900
267,664,516390,6212,519220
268,666,516860,6212,519690
268,666,517670,6212,520500
268,666,518140,6212,520970
269,668,519140,6212,521970
269,668,520140,6212,522970
270,670,521140,6212,523970
270,670,521140,6212,523970
270,670,521790,6212,524620
270,670,522790,6212,525620
270,670,523600,6212,526430
270,670,523600,6212,526430
270,670,524410,6212,527240
270,670,525410,6212,528240
271,672,526410,6212,529240
271,672,526880,6212,529710
271,672,526880,6212,529710
271,672,526880,6212,529710
271,672,527880,6212,530710
271,672,528880,6212,531710
272,674,529880,6212,532710
272,674,530880,6212,533710
272,674,531880,6212,534710
272,674,531880,6212,535030
273,682,532880,6212,536030
273,682,533880,6212,537030
273,682,533880,6212,537030
273,682,533880,6212,537030
273,682,534880,6212,538030
274,684,535880,6212,539030
274,684,536350,6212,539500
275,686,537350,6212,540500
275,686,537350,6212,540500
275,686,538000,6212,541150
276,688,539000,6212,542150
276,688,539470,6212,542620
276,688,539470,6212,542620
276,688,539580,6212,542730
276,688,540050,6212,543200
277,690,541050,6212,544200
277,690,541050,6212,544200
277,690,542050,6212,545200
278,692,543050,6212,546200
278,692,544050,6212,547200
279,694,545050,6212,548200
279,694,546050,6212,549200
280,696,547050,6212,550200
280,696,548050,6212,551200
280,696,548280,6212,551430
280,696,549280,6212,552430
280,696,550280,6212,553430
281,698,551090,6212,554240
281,698,552090,6212,555240
281,698,553090,6212,556240
281,698,553550,6212,556700
281,698,554550,6212,557700
281,698,555010,6212,558160
281,698,556010,6212,559160
282,700,556820,6212,559970
282,700,556820,6212,559970
282,700,557820,6212,560970
282,700,558820,6212,561970
282,700,559820,6212,562970
283,702,560630,6212,563780
283,702,561220,6212,564370
283,702,561690,6212,564840
284,704,562690,6212,565840
285,712,566690,6212,569840
285,712,566690,6212,569840
285,712,567160,6212,570310
285,712,567160,6212,570310
285,712,567160,6212,570630
285,712,567970,6212,571440
285,712,568970,6212,572440
286,714,569970,6212,573440
286,714,569970,6212,573440
286,714,570970,6212,574440
286,714,571200,6212,574670
287,716,572200,6212,575670
287,716,573200,6212,576670
288,718,574200,6212,577670
288,718,574200,6212,577670
288,718,575200,6212,578670
289,720,575670,6212,579140
289,720,576320,6212,579790
290,722,577320,6212,580790
291,730,578320,6212,581790
291,730,578320,6212,581790
291,730,579320,6212,582790
291,730,579790,6212,583260
291,730,580110,6212,583580
291,730,580920,6212,584390
291,730,580920,6212,585200
291,730,580920,6212,585670
292,732,581920,6212,586670
292,732,581920,6212,586670
293,740,582920,6212,587670
293,740,583920,6212,588670
293,740,584920,6212,589670
294,742,585920,6212,590670
294,742,586140,6212,590890
294,742,587140,6212,591890
294,742,588140,6212,592890
295,744,589140,6212,593890
295,744,589950,6212,594700
295,744,589950,6212,594700
296,746,590410,6212,595160
296,746,590630,6212,595380
296,746,591630,6212,596380
297,748,592630,6212,597380
297,748,593100,6212,597850
297,748,594100,6212,598850
297,748,595100,6212,599850
298,750,596100,6212,600850
299,758,604100,6212,608850
299,758,604420,6212,609170
299,758,604420,6212,609720
299,758,605420,6212,610720
299,758,605420,6212,610720
300,760,606420,6212,611720
300,760,606420,6212,612530
300,760,606890,6212,613000
301,762,607700,6212,613810
301,762,608700,6212,614810
301,762,608920,6212,615030
302,764,609920,6212,616030
