ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
842059.06,13.89,0.3,207943.91,3.43
842109.5,13.89,0.3,207823.57,3.43
841973.6,13.89,0.3,208732.34,3.44
841837.69,13.89,0.3,208604.32,3.44
842053.35,13.9,0.31,208603.9,3.44
841858.71,13.9,0.3,208603.9,3.44
842099.28,13.9,0.31,208616.2,3.44
842149.73,13.9,0.31,208612.72,3.44
842200.18,13.91,0.31,208606.54,3.44
842200.18,13.91,0.31,208606.54,3.44
842200.18,13.91,0.31,208522.76,3.44
842102.55,13.9,0.31,208526.86,3.44
842282.25,13.91,0.32,208520.11,3.44
842026.64,13.91,0.32,209012.45,3.45
841817.8,13.9,0.31,208670.92,3.45
841868.25,13.91,0.31,208574.51,3.45
842064.81,13.91,0.32,208614.92,3.45
842064.81,13.91,0.32,208485.16,3.44
842098.74,13.91,0.32,209731.87,3.46
842098.74,13.91,0.32,209821.62,3.47
841879.8,13.91,0.32,209463.93,3.46
842117.8,13.91,0.32,209246.46,3.46
841880.43,13.91,0.32,209610.11,3.46
842060.14,13.91,0.32,209592.55,3.46
841950.5,13.91,0.32,209592.55,3.46
842166.16,13.92,0.33,210162.71,3.47
842166.16,13.92,0.33,209947.15,3.47
842166.16,13.92,0.33,210163.99,3.47
842102.73,13.92,0.33,210040.77,3.47
842153.18,13.92,0.33,210040.77,3.47
842349.74,13.92,0.33,210040.77,3.47
842031.86,13.92,0.33,209715.79,3.47
842082.31,13.92,0.33,209715.79,3.47
842132.76,13.92,0.33,209715.79,3.47
842183.21,13.93,0.34,209715.79,3.47
841985.07,13.92,0.33,209558.13,3.47
841985.07,13.92,0.33,209521.05,3.46
841858.57,13.92,0.33,209706.06,3.47
841858.57,13.92,0.33,209746.97,3.47
842018.25,13.93,0.34,209827.73,3.47
842197.95,13.93,0.34,209882.94,3.47
842248.4,13.93,0.34,210499.52,3.48
841982.82,13.93,0.34,211013.05,3.49
842142.49,13.93,0.34,211103.02,3.49
842142.49,13.93,0.34,211095.73,3.49
842142.49,13.93,0.34,210920.31,3.49
842192.94,13.94,0.35,211060.37,3.49
841927.36,13.93,0.34,210889.62,3.49
842087.04,13.94,0.35,210889.2,3.49
841821.45,13.93,0.34,210889.2,3.49
841871.9,13.94,0.35,210889.2,3.49
842031.58,13.94,0.35,210941.6,3.49
842082.03,13.94,0.35,210921.76,3.49
841906.44,13.94,0.35,210895.51,3.49
841770.53,13.94,0.35,211284.47,3.5
841660.89,13.94,0.35,211191.68,3.5
841711.34,13.94,0.35,211235.71,3.5
841761.79,13.95,0.36,211471.62,3.5
841761.79,13.95,0.36,211678.39,3.51
841947.45,13.95,0.36,211723.71,3.51
841695.89,13.95,0.36,211976.12,3.51
841875.59,13.95,0.36,211976.09,3.51
841875.59,13.95,0.36,211964.37,3.51
841926.04,13.95,0.36,211963.98,3.51
841976.49,13.96,0.37,211963.98,3.51
842026.94,13.96,0.37,211963.98,3.51
842077.39,13.96,0.37,211963.98,3.51
841821.77,13.96,0.37,212153.57,3.52
841995.53,13.96,0.37,211963.98,3.51
841955.41,13.96,0.37,212669.88,3.53
842005.86,13.97,0.37,213069.96,3.53
841869.96,13.97,0.37,213225.32,3.54
841869.96,13.97,0.37,213175.48,3.54
842066.52,13.97,0.38,213112.97,3.54
842066.52,13.97,0.38,213028.17,3.53
841764.05,13.97,0.37,213246.02,3.54
841960.62,13.97,0.38,213363.32,3.54
842011.06,13.97,0.38,213489.93,3.54
841884.56,13.97,0.38,213357.56,3.54
841884.56,13.97,0.38,213391.21,3.54
842044.24,13.98,0.38,213499.94,3.54
842094.69,13.98,0.39,213626.55,3.55
842274.4,13.98,0.39,213683.53,3.55
842028.78,13.98,0.39,213603.55,3.55
841872.43,13.98,0.39,213433.06,3.54
841736.52,13.98,0.39,213432.64,3.54
841975.21,13.98,0.39,213433.46,3.54
841709.62,13.98,0.39,213262.7,3.54
841760.07,13.98,0.39,213262.18,3.54
841465.48,13.98,0.39,213261.88,3.54
841515.93,13.98,0.39,213261.88,3.54
841695.63,13.98,0.39,213345.03,3.54
841746.08,13.99,0.4,213460.14,3.55
841796.53,13.99,0.4,213744.22,3.55
841540.92,13.99,0.4,213576.54,3.55
841720.62,13.99,0.4,213919.09,3.56
841720.62,13.99,0.4,213907.36,3.56
841610.98,13.99,0.4,214346.68,3.56
841796.64,13.99,0.4,214346.25,3.56
841847.09,14.0,0.41,214346.25,3.56
842006.77,14.0,0.41,214346.25,3.56
842166.45,14.0,0.41,214406.55,3.57
842216.9,14.01,0.42,214400.96,3.57
842216.9,14.01,0.42,214374.94,3.57
842216.9,14.01,0.42,214246.32,3.56
841975.33,14.0,0.41,214197.42,3.56
842025.78,14.01,0.42,214191.62,3.56
842025.78,14.01,0.42,214175.02,3.56
842076.23,14.01,0.42,214175.02,3.56
842255.93,14.01,0.42,215893.92,3.59
842000.32,14.01,0.42,215624.27,3.59
841805.79,14.01,0.42,215585.92,3.59
841856.24,14.01,0.42,215585.87,3.59
842015.91,14.02,0.42,215585.5,3.59
842195.62,14.02,0.43,215585.5,3.59
842195.62,14.02,0.43,215592.97,3.59
842246.07,14.02,0.43,215592.97,3.59
842296.52,14.02,0.43,215732.08,3.59
842296.52,14.02,0.43,215738.9,3.59
842160.61,14.02,0.43,216010.97,3.6
841915.0,14.02,0.43,215796.7,3.59
842094.7,14.03,0.44,215810.28,3.59
841941.99,14.02,0.43,215664.09,3.59
841696.38,14.02,0.43,216481.81,3.61
841935.06,14.03,0.44,216667.07,3.61
842114.77,14.03,0.44,216605.06,3.61
841978.86,14.03,0.44,216606.27,3.61
842029.31,14.03,0.44,216324.37,3.61
841763.73,14.03,0.44,215829.93,3.6
841498.14,14.03,0.43,215830.95,3.6
841657.82,14.03,0.44,215832.12,3.6
841363.22,14.03,0.43,215687.56,3.6
841421.14,14.03,0.44,215526.07,3.59
841619.06,14.03,0.44,216390.67,3.61
841619.06,14.03,0.44,216359.42,3.61
841374.9,14.03,0.44,216037.93,3.6
841425.35,14.03,0.44,216035.14,3.6
841475.8,14.04,0.44,216035.14,3.6
841526.25,14.04,0.45,216035.14,3.6
841526.25,14.04,0.45,216068.2,3.6
841576.7,14.04,0.45,216645.45,3.61
841756.4,14.05,0.45,216706.19,3.62
841756.4,14.05,0.45,216673.13,3.62
841580.82,14.04,0.45,216407.07,3.61
841631.27,14.05,0.45,216994.01,3.62
841375.81,14.04,0.45,216740.81,3.62
841426.25,14.04,0.45,216740.76,3.62
841476.7,14.05,0.46,216740.39,3.62
841318.02,14.05,0.45,216884.72,3.62
841477.7,14.05,0.46,216884.72,3.62
841716.39,14.06,0.46,216945.63,3.62
841896.09,14.06,0.47,216914.91,3.62
841946.54,14.06,0.47,216976.66,3.62
841996.99,14.06,0.47,217186.4,3.63
841741.38,14.06,0.47,216884.72,3.62
841901.06,14.07,0.48,218722.14,3.65
841765.15,14.07,0.48,218721.72,3.65
841629.24,14.07,0.48,218740.24,3.66
841363.66,14.06,0.47,218462.99,3.65
841414.11,14.06,0.47,218457.23,3.65
841414.11,14.06,0.47,218630.64,3.65
841464.56,14.07,0.48,218495.26,3.65
841644.26,14.07,0.48,219742.09,3.67
841644.26,14.07,0.48,219776.82,3.67
841468.68,14.07,0.48,219404.97,3.67
841519.12,14.07,0.48,219038.76,3.66
841569.57,14.07,0.48,218913.31,3.66
841311.43,14.07,0.48,219250.83,3.67
840224.17,14.07,0.48,219250.41,3.67
839979.57,14.07,0.48,219124.94,3.67
839823.22,14.07,0.48,218939.11,3.67
839557.63,14.06,0.47,218655.99,3.66
839600.62,14.07,0.48,218508.51,3.66
839780.32,14.07,0.48,218499.64,3.66
839670.68,14.07,0.48,218361.2,3.66
839670.68,14.07,0.48,218355.62,3.66
839721.13,14.07,0.48,218743.4,3.67
839721.13,14.07,0.48,218693.58,3.66
839906.79,14.08,0.49,218677.04,3.66
840066.47,14.08,0.49,218677.04,3.67
840116.92,14.08,0.49,218677.04,3.67
840116.92,14.08,0.49,218633.89,3.66
840167.37,14.09,0.49,219580.61,3.68
839925.8,14.08,0.49,219281.53,3.68
839925.8,14.08,0.49,219290.45,3.68
839789.89,14.08,0.49,219005.18,3.67
839524.31,14.08,0.49,218771.54,3.67
839589.68,14.08,0.49,218531.86,3.67
839825.28,14.09,0.5,219286.8,3.68
840004.99,14.09,0.5,219286.77,3.68
840004.99,14.09,0.5,219342.78,3.68
839749.38,14.09,0.5,219342.39,3.68
