ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
187,398,190060,6212,190060
187,398,190530,6212,190530
187,398,190850,6212,190850
187,398,191170,6212,191170
187,398,191980,6212,191980
187,398,192570,6212,192570
188,400,193380,6212,193380
188,400,193380,6212,193380
189,404,193850,6212,193850
189,404,194320,6212,194320
189,404,194870,6212,194870
190,408,195340,6212,195340
191,410,196150,6212,196150
191,410,196620,6212,196620
191,410,196620,6212,196620
191,410,196620,6212,196620
191,410,197080,6212,197080
191,410,197890,6212,197890
191,410,197890,6212,197890
191,410,198120,6212,198120
192,412,198580,6212,198580
192,412,199390,6212,199390
193,414,200200,6212,200200
193,414,200660,6212,200660
194,418,201130,6212,201130
194,418,201450,6212,201450
194,418,201450,6212,201450
194,418,201770,6212,201770
194,418,202420,6212,202420
195,422,202420,6212,202420
196,426,202890,6212,202890
196,426,203210,6212,203210
196,426,203430,6212,203430
196,426,204080,6212,204080
196,426,204890,6212,204890
196,426,205700,6212,205700
197,430,206170,6212,206170
197,430,206280,6212,206280
197,430,206750,6212,206750
198,432,207560,6212,207560
198,432,208370,6212,208370
199,434,209180,6212,209180
199,434,209990,6212,209990
200,436,210800,6212,210800
200,436,211610,6212,211610
200,436,211610,6212,211610
200,436,212080,6212,212080
200,436,212890,6212,212890
200,436,213360,6212,213360
201,440,213830,6212,213830
201,440,213830,6212,213830
