ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1561301.44,25.86,0.28,220616.91,3.65
1561301.44,25.86,0.28,220614.39,3.65
1561045.7,25.86,0.28,220292.18,3.65
1561045.7,25.86,0.28,220292.18,3.65
1561431.88,25.86,0.29,219428.45,3.63
1561412.47,25.87,0.29,218406.79,3.62
1561601.92,25.87,0.3,219442.22,3.64
1561346.74,25.87,0.3,220483.0,3.65
1561091.0,25.87,0.3,219959.94,3.65
1561164.86,25.88,0.3,219780.37,3.64
1561164.86,25.88,0.3,219970.68,3.65
1560930.77,25.87,0.3,222962.81,3.7
1560652.55,25.87,0.3,222463.35,3.69
1560726.42,25.88,0.3,222455.95,3.69
1560925.23,25.88,0.31,222312.69,3.69
1560558.91,25.88,0.31,221974.52,3.68
1560558.91,25.88,0.31,221974.52,3.68
1560570.42,25.88,0.31,222676.54,3.69
1560438.62,25.88,0.31,222445.86,3.69
1560182.88,25.88,0.31,223317.09,3.7
1559927.14,25.88,0.31,223244.15,3.7
1559671.4,25.88,0.31,223236.75,3.7
1559415.66,25.88,0.31,222684.0,3.7
1559415.66,25.88,0.31,222684.0,3.7
1559415.66,25.88,0.31,223799.57,3.71
1559159.92,25.88,0.31,224424.67,3.73
1559159.92,25.88,0.31,224421.33,3.73
1559159.92,25.88,0.31,224767.98,3.73
1559128.81,25.88,0.31,224291.33,3.72
1558818.58,25.88,0.31,224314.88,3.72
1558562.84,25.88,0.31,224310.82,3.73
1558307.1,25.88,0.31,224697.54,3.73
1558051.37,25.88,0.31,224594.09,3.73
1558031.29,25.89,0.31,223778.54,3.72
1557775.55,25.89,0.31,225013.16,3.74
1557519.81,25.89,0.31,225008.28,3.74
1557274.99,25.89,0.31,224296.9,3.73
1557019.25,25.89,0.31,224294.37,3.73
1557019.25,25.89,0.31,224294.37,3.73
1556766.45,25.88,0.31,223588.6,3.72
1556766.45,25.88,0.31,224498.52,3.73
1556424.24,25.88,0.31,224103.94,3.73
1556168.5,25.88,0.31,224099.11,3.73
1555912.76,25.88,0.31,224096.54,3.73
1555657.02,25.88,0.31,224349.3,3.73
1555730.89,25.89,0.31,224250.18,3.73
1555730.89,25.89,0.31,224121.84,3.73
1555730.89,25.89,0.31,224117.33,3.73
1555701.45,25.89,0.32,223675.42,3.72
1555701.45,25.89,0.32,223672.54,3.72
1555445.71,25.89,0.32,223672.54,3.72
1555369.47,25.89,0.32,222964.07,3.71
1555330.66,25.9,0.32,224343.65,3.74
1555074.93,25.9,0.32,225158.5,3.75
1555311.18,25.9,0.33,225282.11,3.75
1555046.08,25.9,0.33,224394.98,3.74
1554998.25,25.9,0.33,223683.78,3.73
1554704.74,25.9,0.33,223916.57,3.73
1554449.0,25.9,0.33,223741.29,3.73
1554419.56,25.91,0.33,225717.1,3.76
1554163.82,25.91,0.33,225354.43,3.76
1554163.82,25.91,0.33,225310.66,3.76
1554087.58,25.91,0.33,224550.93,3.74
1553842.76,25.91,0.33,223839.54,3.73
1553543.16,25.91,0.33,226010.58,3.77
1553200.95,25.9,0.33,225616.0,3.76
1552945.21,25.9,0.33,225616.0,3.76
1552659.05,25.9,0.33,224151.91,3.74
1552403.32,25.9,0.33,224151.91,3.74
1552147.58,25.9,0.33,224108.14,3.74
1551891.84,25.9,0.33,224108.14,3.74
1551636.1,25.9,0.33,224121.73,3.74
1551380.36,25.9,0.33,224064.37,3.74
1549334.45,25.9,0.33,224056.97,3.75
1549334.45,25.9,0.33,224056.97,3.75
1549069.35,25.9,0.33,226469.92,3.79
1549069.35,25.9,0.33,226469.92,3.79
1548813.61,25.9,0.33,226465.1,3.79
1548557.87,25.9,0.33,226462.53,3.79
1548557.87,25.9,0.33,226462.53,3.79
1548557.87,25.9,0.33,226462.53,3.79
1548538.46,25.9,0.33,225670.86,3.78
1548538.46,25.9,0.33,225670.86,3.78
1548538.46,25.9,0.33,225670.86,3.78
1548282.72,25.9,0.33,226118.39,3.78
1548226.76,25.91,0.33,225514.03,3.77
1548226.76,25.91,0.33,225514.03,3.77
1547889.12,25.91,0.33,225911.01,3.78
1547869.71,25.91,0.34,226111.49,3.78
1547624.89,25.91,0.34,225224.91,3.77
1547471.54,25.91,0.34,225228.51,3.77
1547215.8,25.91,0.34,225209.22,3.77
1547433.33,25.92,0.34,224993.39,3.77
1546940.58,25.92,0.34,225527.49,3.78
1546940.58,25.92,0.34,225527.49,3.78
1546940.58,25.92,0.34,225527.49,3.78
1546884.61,25.92,0.35,225008.55,3.77
1546699.67,25.92,0.34,224305.95,3.76
1546591.96,25.92,0.34,224226.64,3.76
1546250.89,25.92,0.34,223829.61,3.75
1546230.81,25.92,0.34,223581.25,3.75
1545975.07,25.92,0.34,223573.85,3.75
1545975.07,25.92,0.34,223573.85,3.75
1545975.07,25.92,0.34,223573.85,3.75
1545970.25,25.92,0.35,222250.1,3.73
1546044.12,25.92,0.35,222250.1,3.73
1545788.38,25.92,0.35,222402.09,3.73
1545749.58,25.93,0.35,221684.61,3.72
1545967.11,25.93,0.36,223757.98,3.75
1545967.11,25.93,0.36,223757.98,3.75
1545711.37,25.93,0.36,223640.14,3.75
1545711.37,25.93,0.36,223640.14,3.75
1545711.37,25.93,0.36,223632.93,3.75
1545455.63,25.93,0.36,224942.07,3.77
1545455.63,25.93,0.36,224898.3,3.77
1545455.63,25.93,0.36,224898.3,3.77
1545199.89,25.93,0.36,225005.73,3.78
1544944.15,25.93,0.36,224898.3,3.77
1544672.63,25.93,0.36,224286.97,3.76
1544653.22,25.93,0.36,223615.58,3.75
