ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
122,534,437810,6212,437810
122,534,438620,6212,438620
123,536,439620,6212,439620
123,536,440620,6212,440620
123,536,441620,6212,441620
123,536,442620,6212,442620
124,538,443090,6212,443090
124,538,444090,6212,444090
125,540,445090,6212,445090
125,540,446090,6212,446090
125,540,446090,6212,446090
126,548,447090,6212,447090
126,548,447900,6212,447900
126,548,448900,6212,448900
126,548,449490,6212,449490
126,548,450490,6212,450490
126,548,450810,6212,450810
126,548,450810,6212,450810
126,548,451130,6212,451130
126,548,452130,6212,452130
126,548,453130,6212,453130
126,548,453130,6212,453130
126,548,453130,6212,453130
127,556,455130,6212,455130
127,556,455600,6212,455600
127,556,456070,6212,456070
127,556,456070,6212,456070
127,556,456540,6212,456540
127,556,456540,6212,456540
127,556,457540,6212,457540
127,556,458010,6212,458010
127,556,458480,6212,458480
127,556,458480,6212,458480
127,556,458480,6212,458480
128,564,459480,6212,459480
128,564,459480,6212,459480
128,564,459480,6212,459480
128,564,459710,6212,459710
128,564,460710,6212,460710
128,564,461710,6212,461710
128,564,461710,6212,461710
128,564,462710,6212,462710
128,564,462710,6212,462710
128,564,463180,6212,463180
128,564,463180,6212,463180
128,564,463340,6212,463340
129,572,464340,6212,464340
129,572,464340,6212,464340
129,572,465340,6212,465340
129,572,465810,6212,465810
129,572,466810,6212,466810
129,572,467810,6212,467810
129,572,468810,6212,468810
130,574,469810,6212,469810
130,574,470460,6212,470460
130,574,470460,6212,470460
130,574,470460,6212,470460
130,574,471460,6212,471460
131,582,472460,6212,472460
131,582,472460,6212,472460
131,582,472460,6212,472460
131,582,473460,6212,473460
131,582,474460,6212,474460
131,582,475270,6212,475270
131,582,476270,6212,476270
131,582,477270,6212,477270
131,582,477270,6212,477270
131,582,478270,6212,478270
131,582,479270,6212,479270
131,582,479740,6212,479740
131,582,480740,6212,480740
131,582,481740,6212,481740
131,582,482740,6212,482740
131,582,483740,6212,483740
131,582,483740,6212,483740
131,582,484550,6212,484550
131,582,484550,6212,484550
132,590,485550,6212,485550
132,590,485710,6212,485710
132,590,486710,6212,486710
132,590,487710,6212,487710
132,590,488180,6212,488180
132,590,489180,6212,489180
133,598,490180,6212,490180
133,598,491180,6212,491180
133,598,491650,6212,491650
133,598,491970,6212,491970
133,598,492970,6212,492970
133,598,493290,6212,493290
133,598,494290,6212,494290
133,598,494290,6212,494290
133,598,495290,6212,495290
133,598,496290,6212,496290
133,598,496290,6212,496290
133,598,496290,6212,496290
133,598,497100,6212,497100
133,598,497570,6212,497570
133,598,497570,6212,497570
133,598,498570,6212,498570
134,606,499570,6212,499570
134,606,500570,6212,500570
134,606,501160,6212,501160
134,606,501630,6212,501630
134,606,502630,6212,502630
134,606,503090,6212,503090
134,606,503090,6212,503090
134,606,503410,6212,503410
134,606,504410,6212,504410
134,606,504880,6212,504880
135,608,505690,6212,505690
135,608,506690,6212,506690
135,608,507690,6212,507690
135,608,508690,6212,508690
135,608,509690,6212,509690
135,608,510690,6212,510690
136,616,511690,6212,511690
136,616,512690,6212,512690
136,616,513690,6212,513690
136,616,514690,6212,514690
136,616,514920,6212,514920
136,616,515730,6212,515730
136,616,515730,6212,515730
136,616,516540,6212,516540
136,616,516540,6212,516540
136,616,517190,6212,517190
